Frame,ObjectName,Position,RotationEuler,RotationQuat,RendererCenter,RendererSize,ColliderCenter,ColliderSize
18,Environment/====== LIGHTS ======,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/====== DYNAMIC ======,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/DecoratorContext,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/SceneSetup,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/Floor/FloorSetDepth,"[0.000,0.000,7.500]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[0.000,0.000,53.875]","[15.700,0.000,92.250]",[],[]
18,Environment/Floor,"[0.000,0.000,7.500]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[0.000,0.000,53.875]","[15.700,0.000,92.250]",[],[]
18,Environment/====== STATIC ======,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/Construction,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[0.000,-80.100,12.000]","[16.700,160.800,500.000]",[],[]
18,Environment/GradientBackground,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/CoreLighting/LightWrapper1/DirectionalLight,"[0.000,5.000,40.000]","[4.000,145.000,180.000]","[0.953,-0.010,0.301,0.033]",[],[],[],[]
18,Environment/CoreLighting/LightWrapper0/DirectionalLight,"[0.000,5.000,40.000]","[4.000,215.000,180.000]","[0.953,0.010,-0.301,0.033]",[],[],[],[]
18,Environment/BasicGameHUD/RightPanel/MultiplierCanvas/BGCircle,"[3.200,1.700,7.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/BasicGameHUD/LeftPanel/ScoreCanvas/ImmediateRankText,"[-3.200,0.890,7.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/RotatingLasersPair (2)/BaseR,"[8.000,0.000,45.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/RotatingLasersPair (1)/BaseR,"[8.000,0.000,40.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/RotatingLasersPair (3)/BaseR,"[8.000,0.000,50.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/RotatingLasersPair/BaseR,"[8.000,0.000,35.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/BasicGameHUD/RightPanel/MultiplierCanvas,"[3.200,1.700,7.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/BackColumns/BackColumnNeon/BoxLight,"[3.000,0.239,-19.100]","[340.000,0.000,0.000]","[-0.174,0.000,0.000,0.985]","[3.000,0.239,-19.100]","[0.200,94.038,34.390]",[],[]
18,Environment/BasicGameHUD/RightPanel/MultiplierCanvas/TextPanel/NumText,"[2.987,1.642,7.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/BasicGameHUD/LeftPanel/ScoreCanvas/ScoreText,"[-3.200,1.300,7.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/DoubleColorLaser (1)/TopBoxLight,"[28.695,119.710,88.214]","[359.289,342.582,344.962]","[0.014,-0.151,-0.130,0.980]","[28.695,119.710,88.214]","[62.911,241.447,16.682]",[],[]
18,Environment/DoubleColorLaser (8)/TopBoxLight,"[-28.695,119.710,48.344]","[359.289,17.418,15.038]","[0.014,0.151,0.130,0.980]","[-28.695,119.710,48.344]","[62.911,241.447,16.682]",[],[]
18,Environment/DoubleColorLaser (9)/TopBoxLight,"[28.695,119.710,48.344]","[359.289,342.582,344.962]","[0.014,-0.151,-0.130,0.980]","[28.695,119.710,48.344]","[62.911,241.447,16.682]",[],[]
18,Environment/DoubleColorLaser/TopBoxLight,"[-28.695,119.710,88.214]","[359.289,17.418,15.038]","[0.014,0.151,0.130,0.980]","[-28.695,119.710,88.214]","[62.911,241.447,16.682]",[],[]
18,Environment/DoubleColorLaser (3)/TopBoxLight,"[28.695,119.710,78.246]","[359.289,342.582,344.962]","[0.014,-0.151,-0.130,0.980]","[28.695,119.710,78.246]","[62.911,241.447,16.682]",[],[]
18,Environment/DoubleColorLaser (7)/TopBoxLight,"[28.695,119.710,58.311]","[359.289,342.582,344.962]","[0.014,-0.151,-0.130,0.980]","[28.695,119.710,58.311]","[62.911,241.447,16.682]",[],[]
18,Environment/DoubleColorLaser (4)/TopBoxLight,"[-28.695,119.710,68.279]","[359.289,17.418,15.038]","[0.014,0.151,0.130,0.980]","[-28.695,119.710,68.279]","[62.911,241.447,16.682]",[],[]
18,Environment/DoubleColorLaser (2)/TopBoxLight,"[-28.695,119.710,78.246]","[359.289,17.418,15.038]","[0.014,0.151,0.130,0.980]","[-28.695,119.710,78.246]","[62.911,241.447,16.682]",[],[]
18,Environment/DoubleColorLaser (5)/TopBoxLight,"[28.695,119.710,68.279]","[359.289,342.582,344.962]","[0.014,-0.151,-0.130,0.980]","[28.695,119.710,68.279]","[62.911,241.447,16.682]",[],[]
18,Environment/DoubleColorLaser (6)/TopBoxLight,"[-28.695,119.710,58.311]","[359.289,17.418,15.038]","[0.014,0.151,0.130,0.980]","[-28.695,119.710,58.311]","[62.911,241.447,16.682]",[],[]
18,Environment/RotatingLasersPair,"[0.000,0.000,35.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/RotatingLasersPair (3),"[0.000,0.000,50.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/RotatingLasersPair (1),"[0.000,0.000,40.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/RotatingLasersPair (2),"[0.000,0.000,45.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/BasicGameHUD/EnergyPanel/EnergyIconFull,"[1.140,-0.640,7.750]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/BasicGameHUD/LeftPanel/ComboPanel/ComboCanvas/NumText,"[-3.200,1.870,7.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/LightEffects,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Environment/RotatingLasersPair/BaseL,"[-8.000,0.000,35.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
