ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
Environment/SceneSetup,DefaultEnvironment,Environment,1,Empty,Environment,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|EnvironmentSceneSetup
Environment/====== STATIC ======,DefaultEnvironment,Environment,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform
Environment/====== DYNAMIC ======,DefaultEnvironment,Environment,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform
Environment/TrackMirror/SetDepthOnly,DefaultEnvironment,Environment/TrackMirror,2,Mesh,Water,False,"[0.000,0.000,7.800]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer|DisableWhenMirrorIsEnabled
Environment/====== LIGHTS ======,DefaultEnvironment,Environment,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform
Environment/TrackMirror,DefaultEnvironment,Environment,1,Mesh,Water,False,"[0.000,0.000,7.800]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer|Mirror
Environment/GradientBackground,DefaultEnvironment,Environment,1,Empty,NeonLight,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|BloomPrePassBackgroundColorsGradient|BloomPrePassBackgroundColorsGradientFromColorSchemeColors
Environment/CoreLighting,DefaultEnvironment,Environment,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform
Environment/DecoratorContext,DefaultEnvironment,Environment,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|SceneDecoratorContext
Environment/TrackConstruction,DefaultEnvironment,Environment,1,Mesh,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer
