ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
GameCore/DisableGCWhileEnabled,GameCore,GameCore,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|DisableGCWhileEnabled
GameCore/BloomFogParamsAnimator,GameCore,GameCore,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|BloomFogParamsAnimator|ZenjectBinding
GameCore/SceneSetup,GameCore,GameCore,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|GameCoreSceneSetup
GameCore/====== RENDERING ======,GameCore,GameCore,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform
GameCore,GameCore,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform
GameCore/SceneContext,GameCore,GameCore,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|SceneContext
GameCore/====== FADE IN / OUT ======,GameCore,GameCore,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform
GameCore/BloomSkyboxQuad,GameCore,GameCore,1,Mesh,Skybox,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|AlwaysVisibleQuad
GameCore/FadeInOnSceneTransitionFinished,GameCore,GameCore,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|FadeInOnSceneTransitionFinished
GameCore/BasicUIAudioManager,GameCore,GameCore,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|BasicUIAudioManager|AudioSource
GameCore/FadeOutOnSceneTransition,GameCore,GameCore,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|FadeOutOnSceneTransitionStart
GameCore/BlueNoiseHelper,GameCore,GameCore,1,Empty,Default,False,"[-1.715,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|BlueNoiseDitheringUpdater
GameCore/SceneCameraBloomPrePass,GameCore,GameCore,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|SceneCameraBloomPrePass
GameCore/GrabPassTexture1,GameCore,GameCore,1,Mesh,GrabPassTexture1,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|OnWillRenderObjectTrigger|MeshRenderer|MeshFilter|SortingLayer|GraphicSettingsConditionalActivator
GameCore/VRRenderingParamsSetup,GameCore,GameCore,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|VRRenderingParamsSetup
GameCore/EnvironmentColorManager,GameCore,GameCore,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|EnvironmentColorManager|ZenjectBinding
SaberTrailRenderer(Clone),GameCore,None,0,Mesh,Saber,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshRenderer|MeshFilter|SaberTrailRenderer|ConditionalMaterialSwitcher
BurnPS(Clone),GameCore,None,0,Empty,NonReflectedParticles,True,"[0.000,0.000,0.000]","[270.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|ParticleSystemRenderer|ParticleSystem|SetParticleSystemSeed
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BoxLight,GameCore,BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3),2,Mesh,NeonLight,True,"[-16.363,21.376,119.000]","[0.000,0.000,134.976]","[0.070,3.000,0.070]",True,True,False,Transform|MeshRenderer|MeshFilter|ParametricBoxController
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BakedBloom,GameCore,BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3),2,Mesh,NeonLight,True,"[-16.363,21.376,119.000]","[42.570,113.391,196.310]","[1.000,1.000,1.000]",True,True,False,Transform|MeshRenderer|MeshFilter|Parametric3SliceSpriteController
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3),GameCore,BigTrackLaneRing(Clone),1,Empty,NeonLight,True,"[-16.363,21.376,119.000]","[0.000,0.000,134.976]","[1.000,1.000,1.000]",True,False,False,Transform|TubeBloomPrePassLight|TubeBloomPrePassLightWithId
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BoxLight,GameCore,BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2),2,Mesh,NeonLight,True,"[16.363,-11.376,119.000]","[0.000,0.000,314.976]","[0.070,3.000,0.070]",True,True,False,Transform|MeshRenderer|MeshFilter|ParametricBoxController
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BakedBloom,GameCore,BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2),2,Mesh,NeonLight,True,"[16.363,-11.376,119.000]","[317.430,246.609,16.310]","[1.000,1.000,1.000]",True,True,False,Transform|MeshRenderer|MeshFilter|Parametric3SliceSpriteController
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2),GameCore,BigTrackLaneRing(Clone),1,Empty,NeonLight,True,"[16.363,-11.376,119.000]","[0.000,0.000,314.976]","[1.000,1.000,1.000]",True,False,False,Transform|TubeBloomPrePassLight|TubeBloomPrePassLightWithId
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BoxLight,GameCore,BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1),2,Mesh,NeonLight,True,"[-16.376,-11.363,119.000]","[0.000,0.000,44.976]","[0.070,3.000,0.070]",True,True,False,Transform|MeshRenderer|MeshFilter|ParametricBoxController
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BakedBloom,GameCore,BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1),2,Mesh,NeonLight,True,"[-16.376,-11.363,119.000]","[42.526,293.373,16.285]","[1.000,1.000,1.000]",True,True,False,Transform|MeshRenderer|MeshFilter|Parametric3SliceSpriteController
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1),GameCore,BigTrackLaneRing(Clone),1,Empty,NeonLight,True,"[-16.376,-11.363,119.000]","[0.000,0.000,44.976]","[1.000,1.000,1.000]",True,False,False,Transform|TubeBloomPrePassLight|TubeBloomPrePassLightWithId
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BoxLight,GameCore,BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional,2,Mesh,NeonLight,True,"[16.376,21.363,119.000]","[0.000,0.000,44.976]","[0.070,3.000,0.070]",True,True,False,Transform|MeshRenderer|MeshFilter|ParametricBoxController
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BakedBloom,GameCore,BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional,2,Mesh,NeonLight,True,"[16.376,21.363,119.000]","[42.526,246.627,343.716]","[1.000,1.000,1.000]",True,True,False,Transform|MeshRenderer|MeshFilter|Parametric3SliceSpriteController
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional,GameCore,BigTrackLaneRing(Clone),1,Empty,NeonLight,True,"[16.376,21.363,119.000]","[0.000,0.000,44.976]","[1.000,1.000,1.000]",True,False,False,Transform|TubeBloomPrePassLight|TubeBloomPrePassLightWithId
BigTrackLaneRing(Clone)/Ring,GameCore,BigTrackLaneRing(Clone),1,Mesh,Environment,True,"[0.000,5.000,119.000]","[315.024,90.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
BigTrackLaneRing(Clone),GameCore,None,0,Empty,Environment,True,"[0.000,5.000,119.000]","[0.000,0.000,44.976]","[1.000,1.000,1.000]",True,False,False,Transform|TrackLaneRing
CubeNoteSliceDebrisHD(Clone)/NoteDebrisMesh,GameCore,CubeNoteSliceDebrisHD(Clone),1,Mesh,NoteDebris,False,"[0.000,1.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer
CubeNoteSliceDebrisHD(Clone),GameCore,None,0,PhysicsBody,NoteDebris,False,"[0.000,1.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,True,Transform|NoteDebris|NoteDebrisRigidbodyPhysics|NoteDebrisSimplePhysics|Rigidbody|MaterialPropertyBlockController|SphereCollider
CubeNoteHalfDebrisHD(Clone)/NoteDebrisMesh,GameCore,CubeNoteHalfDebrisHD(Clone),1,Mesh,NoteDebris,False,"[0.000,1.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer
CubeNoteHalfDebrisHD(Clone),GameCore,None,0,PhysicsBody,NoteDebris,False,"[0.000,1.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,True,Transform|NoteDebris|NoteDebrisRigidbodyPhysics|NoteDebrisSimplePhysics|Rigidbody|MaterialPropertyBlockController|SphereCollider
NoteDebrisHD(Clone)/NoteDebrisMesh,GameCore,NoteDebrisHD(Clone),1,Mesh,NoteDebris,False,"[0.000,1.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer
