ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
MenuCore/UI/EventSystem/VRCursor(Clone),HealthWarning,MenuCore/UI/EventSystem,3,Mesh,Default,False,"[0.000,0.000,-2.000]","[0.000,0.000,0.000]","[0.030,0.030,0.030]",False,True,False,Transform|MeshFilter|MeshRenderer
MenuCore/Origin/MenuControllers/ControllerRight/MenuHandle/VRLaserPointer(Clone)/OnlyDepth,HealthWarning,MenuCore/Origin/MenuControllers/ControllerRight/MenuHandle/VRLaserPointer(Clone),6,Mesh,Saber,True,"[0.000,0.000,2.500]","[0.000,0.000,0.000]","[1.000,1.000,0.500]",True,True,False,Transform|MeshRenderer|MeshFilter
MenuCore/Origin/MenuControllers/ControllerRight/MenuHandle/VRLaserPointer(Clone),HealthWarning,MenuCore/Origin/MenuControllers/ControllerRight/MenuHandle,5,Mesh,Saber,True,"[0.000,0.000,2.500]","[0.000,0.000,0.000]","[0.003,0.003,5.000]",True,True,False,Transform|VRLaserPointer|MeshRenderer|MeshFilter
MenuCore/Origin/MenuControllers/ControllerLeft/MenuHandle/VRLaserPointer(Clone)/OnlyDepth,HealthWarning,MenuCore/Origin/MenuControllers/ControllerLeft/MenuHandle/VRLaserPointer(Clone),6,Mesh,Saber,False,"[0.197,2.012,2.534]","[335.583,3.008,314.872]","[1.000,1.000,0.500]",True,True,False,Transform|MeshRenderer|MeshFilter
MenuCore/Origin/MenuControllers/ControllerLeft/MenuHandle/VRLaserPointer(Clone),HealthWarning,MenuCore/Origin/MenuControllers/ControllerLeft/MenuHandle,5,Mesh,Saber,False,"[0.197,2.012,2.534]","[335.583,3.008,314.872]","[0.003,0.003,5.000]",True,True,False,Transform|VRLaserPointer|MeshRenderer|MeshFilter
MenuCore/UI/HoverHintController/HoverHintPanel(Clone)/Text,HealthWarning,MenuCore/UI/HoverHintController/HoverHintPanel(Clone),4,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|CurvedTextMeshPro
MenuCore/UI/HoverHintController/HoverHintPanel(Clone),HealthWarning,MenuCore/UI/HoverHintController,3,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|Canvas|ImageView|HoverHintPanel
ViewControllers/EulaViewController/BottomPanel/Buttons,HealthWarning,ViewControllers/EulaViewController/BottomPanel,3,Empty,UI,False,"[0.000,-0.600,2.600]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|HorizontalLayoutGroup|ContentSizeFitter
SceneContext,HealthWarning,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|SceneContext|SceneKernel
SceneSetup,HealthWarning,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|HealthWarningSceneSetup
ViewControllers/HealthWarningViewController/HealthWarningText,HealthWarning,ViewControllers/HealthWarningViewController,2,Empty,UI,False,"[0.000,0.070,2.600]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|CurvedTextMeshPro
FlowCoordinators/HealthWarning,HealthWarning,FlowCoordinators,1,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|HealthWarningFlowCoordinator
ViewControllers/HealthWarningViewController,HealthWarning,ViewControllers,1,Empty,UI,False,"[0.000,0.000,2.600]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|Canvas|VRGraphicRaycaster|HealthWarningViewController|CanvasGroup|CanvasRenderer|Touchable
====== ENVIRONMENT ======,HealthWarning,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform
ViewControllers/HealthWarningViewController/BottomPanel/Buttons,HealthWarning,ViewControllers/HealthWarningViewController/BottomPanel,3,Empty,UI,False,"[0.000,-0.800,2.600]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|HorizontalLayoutGroup|ContentSizeFitter
ViewControllers/EulaViewController/BottomPanel,HealthWarning,ViewControllers/EulaViewController,2,Empty,UI,False,"[0.000,-0.800,2.600]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform
ViewControllers,HealthWarning,None,0,Empty,Default,True,"[0.000,0.000,2.600]","[0.000,0.000,0.000]","[0.020,0.020,0.020]",True,False,False,RectTransform|Canvas|CanvasScaler
ViewControllers/PrivacyPolicyViewController,HealthWarning,ViewControllers,1,Empty,UI,False,"[0.000,0.000,2.600]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|Canvas|VRGraphicRaycaster|PrivacyPolicyViewController|CanvasGroup
NoTransition,HealthWarning,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|NoTransitionContext|HealthWarningNoTransitionInstaller
ViewControllers/HealthWarningViewController/BottomPanel/SafeAreaConfirmationText,HealthWarning,ViewControllers/HealthWarningViewController/BottomPanel,3,Empty,UI,False,"[0.000,-0.700,2.600]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|CurvedTextMeshPro|LocalizedTextMeshProUGUI
ViewControllers/EulaViewController,HealthWarning,ViewControllers,1,Empty,UI,False,"[0.000,0.000,2.600]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|Canvas|VRGraphicRaycaster|EulaViewController|CanvasRenderer|CanvasGroup
FlowCoordinators,HealthWarning,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform
====== UI ======,HealthWarning,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform
