ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
SplashRootObject/Quad,NoScene,SplashRootObject,1,Mesh,Default,True,"[0.000,0.000,2.000]","[0.000,0.000,0.000]","[1.000,0.250,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
SplashRootObject,NoScene,None,0,Empty,Default,True,"[0.000,0.000,1.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
camera,NoScene,None,0,Camera,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|Camera
ProjectContext,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|ProjectContext|ZenjectBinding|GameScenesManager|AppInitSetupInstaller|FileStorageInstaller|AppStaticSettingsInstaller|LocalLeaderboardsInstaller|TimeHelper
CoroutineStarter,NoScene,None,0,Empty,Default,False,"[-0.036,0.216,-0.113]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|CoroutineStarter
DevicelessVRHelper,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|DevicelessVRHelper
UnityXRHelper,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|UnityXRHelper
PSVRHelper,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PSVRHelper
CampaignProgressModel,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|CampaignProgressModel
MultiplayerSessionManager,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|MultiplayerSessionManager
OculusNetworkPlayerModel,NoScene,None,0,Empty,Default,False,"[-0.646,-1.533,2.972]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|OculusNetworkPlayerModel
PlatformLeaderboardsModel,NoScene,None,0,Empty,Default,False,"[0.836,1.831,0.127]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PlatformLeaderboardsModel
PersistentAudioNoise,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PersistentAudioNoiseController|AudioSource
EnvironmentAudioEffectsPlayer,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|EnvironmentAudioEffectsPlayer|AudioSource
LeaderboardScoreUploader,NoScene,None,0,Empty,Default,False,"[0.836,1.831,0.127]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|LeaderboardScoreUploader
RichPresenceManager,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|RichPresenceManager
VoipManager,NoScene,None,0,Empty,Default,False,"[-12.874,6.950,50.907]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|VoipManager
HapticFeedbackController,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|HapticFeedbackManager|RumbleHapticFeedbackPlayer
SonyNetworkPlayerModel,NoScene,None,0,Empty,Default,False,"[-0.646,-1.533,2.972]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|SonyNetworkPlayerModel
SteamNetworkPlayerModel,NoScene,None,0,Empty,Default,False,"[-0.646,-1.533,2.972]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|SteamNetworkPlayerModel
PlayerDataModel,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PlayerDataModel
TimeTweeningManager,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|TimeTweeningManager
ExternalCamerasManager,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|ExternalCamerasManager|VRCenterAdjust
CustomLevelLoader,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|CustomLevelLoader
BloomPrePassLightsUpdateSystem,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|BloomPrePassLightsUpdateSystem
GameLiftNetworkPlayerModel,NoScene,None,0,Empty,Default,False,"[-1.868,0.744,2.608]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|GameLiftNetworkPlayerModel
MultiplayerNodePoseSyncStateManager,NoScene,None,0,Empty,Default,False,"[0.000,1.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|NodePoseSyncStateManager
MenuTransitionsHelper,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|MenuTransitionsHelper|ZenjectBinding
PSVR2Helper,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PSVR2Helper
NetworkPlayerEntitlementChecker,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|NetworkPlayerEntitlementChecker
ExternalCamerasManager/OculusMRCManager,NoScene,ExternalCamerasManager,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|OculusMRCManager
SplashRootObject/Quad,NoScene,SplashRootObject,1,Mesh,Default,True,"[0.000,0.000,2.000]","[0.000,0.000,0.000]","[1.000,0.250,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
SplashRootObject,NoScene,None,0,Empty,Default,True,"[0.000,0.000,1.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
camera,NoScene,None,0,Camera,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|Camera
ProjectContext,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|ProjectContext|ZenjectBinding|GameScenesManager|AppInitSetupInstaller|FileStorageInstaller|AppStaticSettingsInstaller|LocalLeaderboardsInstaller|TimeHelper
CoroutineStarter,NoScene,None,0,Empty,Default,False,"[-0.036,0.216,-0.113]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|CoroutineStarter
DevicelessVRHelper,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|DevicelessVRHelper
UnityXRHelper,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|UnityXRHelper
PSVRHelper,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PSVRHelper
CampaignProgressModel,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|CampaignProgressModel
MultiplayerSessionManager,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|MultiplayerSessionManager
OculusNetworkPlayerModel,NoScene,None,0,Empty,Default,False,"[-0.646,-1.533,2.972]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|OculusNetworkPlayerModel
PlatformLeaderboardsModel,NoScene,None,0,Empty,Default,False,"[0.836,1.831,0.127]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PlatformLeaderboardsModel
PersistentAudioNoise,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PersistentAudioNoiseController|AudioSource
EnvironmentAudioEffectsPlayer,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|EnvironmentAudioEffectsPlayer|AudioSource
LeaderboardScoreUploader,NoScene,None,0,Empty,Default,False,"[0.836,1.831,0.127]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|LeaderboardScoreUploader
RichPresenceManager,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|RichPresenceManager
VoipManager,NoScene,None,0,Empty,Default,False,"[-12.874,6.950,50.907]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|VoipManager
HapticFeedbackController,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|HapticFeedbackManager|RumbleHapticFeedbackPlayer
SonyNetworkPlayerModel,NoScene,None,0,Empty,Default,False,"[-0.646,-1.533,2.972]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|SonyNetworkPlayerModel
SteamNetworkPlayerModel,NoScene,None,0,Empty,Default,False,"[-0.646,-1.533,2.972]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|SteamNetworkPlayerModel
PlayerDataModel,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PlayerDataModel
TimeTweeningManager,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|TimeTweeningManager
ExternalCamerasManager,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|ExternalCamerasManager|VRCenterAdjust
CustomLevelLoader,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|CustomLevelLoader
BloomPrePassLightsUpdateSystem,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|BloomPrePassLightsUpdateSystem
GameLiftNetworkPlayerModel,NoScene,None,0,Empty,Default,False,"[-1.868,0.744,2.608]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|GameLiftNetworkPlayerModel
MultiplayerNodePoseSyncStateManager,NoScene,None,0,Empty,Default,False,"[0.000,1.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|NodePoseSyncStateManager
