ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
Init,PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PCAppInit
Init/MainSystemInit/SpatializerInit,PCInit,Init/MainSystemInit,2,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|AudioSource|DisableSpatializerOnUnsupportedPlatforms
Init/DefaultScenesTransitionsFromInit,PCInit,Init,1,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|DefaultScenesTransitionsFromInit
Init/MainSystemInit/Noise3DTextureGenerator,PCInit,Init/MainSystemInit,2,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|Noise3DTexturesGenerator
AppCoreSceneContext/Global,PCInit,AppCoreSceneContext,1,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|InputActions
Init/MainSystemInit,PCInit,Init,1,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|MainSystemInit
Init/AppInitCamera,PCInit,Init,1,Camera,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|Camera|FadeOutInstantly|AudioListener
AppCoreSceneContext,PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|AsyncSceneContext|AvatarsAsyncInstaller|MainSettingsAsyncLoader|LocalLeaderboardsAsyncLoader|PlayerDataAsyncLoader|LocalizationAsyncInstaller|EnvironmentsAsyncInstaller|ColorSchemesAsyncInstaller|EnvironmentTracksDefinitionsAsyncInstaller|TextMeshProInstaller|FadeInOutController|ZenjectBinding|PackDefinitionAsyncInstaller|BeatmapCharacteristicInstaller|FeatureAsyncInstaller|FeatureAsyncPreloader|CustomLevelsSettingsAsyncInstaller|MetaRemoteAssetsPreloader
IPAPluginsDirDeleter,PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|IPAPluginsDirDeleter
Init,PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PCAppInit
Init/MainSystemInit/SpatializerInit,PCInit,Init/MainSystemInit,2,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|AudioSource|DisableSpatializerOnUnsupportedPlatforms
Init/DefaultScenesTransitionsFromInit,PCInit,Init,1,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|DefaultScenesTransitionsFromInit
Init/MainSystemInit/Noise3DTextureGenerator,PCInit,Init/MainSystemInit,2,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|Noise3DTexturesGenerator
AppCoreSceneContext/Global,PCInit,AppCoreSceneContext,1,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|InputActions
Init/MainSystemInit,PCInit,Init,1,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|MainSystemInit
Init/AppInitCamera,PCInit,Init,1,Camera,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|Camera|FadeOutInstantly|AudioListener
AppCoreSceneContext,PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|AsyncSceneContext|AvatarsAsyncInstaller|MainSettingsAsyncLoader|LocalLeaderboardsAsyncLoader|PlayerDataAsyncLoader|LocalizationAsyncInstaller|EnvironmentsAsyncInstaller|ColorSchemesAsyncInstaller|EnvironmentTracksDefinitionsAsyncInstaller|TextMeshProInstaller|FadeInOutController|ZenjectBinding|PackDefinitionAsyncInstaller|BeatmapCharacteristicInstaller|FeatureAsyncInstaller|FeatureAsyncPreloader|CustomLevelsSettingsAsyncInstaller|MetaRemoteAssetsPreloader
IPAPluginsDirDeleter,PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|IPAPluginsDirDeleter
MenuTransitionsHelper(Clone),PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|MenuTransitionsHelper|ZenjectBinding
PersistentAudioNoise(Clone),PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PersistentAudioNoiseController|AudioSource
EnvironmentAudioEffectsPlayer(Clone),PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|EnvironmentAudioEffectsPlayer|AudioSource
BloomPrePassLightsUpdateSystem(Clone),PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|BloomPrePassLightsUpdateSystem
NetworkPlayerEntitlementChecker(Clone),PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|NetworkPlayerEntitlementChecker
HapticFeedbackController(Clone),PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|HapticFeedbackManager|RumbleHapticFeedbackPlayer
ExternalCamerasManager(Clone)/OculusMRCManager,PCInit,ExternalCamerasManager(Clone),1,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|OculusMRCManager
ExternalCamerasManager(Clone),PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|ExternalCamerasManager|VRCenterAdjust
MultiplayerSessionManager(Clone),PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|MultiplayerSessionManager
SteamNetworkPlayerModel(Clone),PCInit,None,0,Empty,Default,True,"[-0.646,-1.533,2.972]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|SteamNetworkPlayerModel
GameLiftNetworkPlayerModel(Clone),PCInit,None,0,Empty,Default,True,"[-1.868,0.744,2.608]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|GameLiftNetworkPlayerModel
CoroutineStarter(Clone),PCInit,None,0,Empty,Default,True,"[-0.036,0.216,-0.113]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|CoroutineStarter
PlayerDataModel(Clone),PCInit,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PlayerDataModel
