Frame,ObjectName,Position,RotationEuler,RotationQuat,RendererCenter,RendererSize,ColliderCenter,ColliderSize
9,ShaderWarmup/StencilWrite,"[4.000,0.000,4.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[4.000,0.000,4.000]","[4.000,20.000,0.000]",[],[]
9,ShaderWarmup/ParametricFakeGlow,"[0.000,-2.500,5.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[0.000,-2.500,5.000]","[1.000,1.000,0.000]",[],[]
9,ShaderWarmup/EnvLightBillboardSpriteGlow,"[4.500,-2.500,5.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[4.500,-2.500,5.000]","[1.000,1.000,0.000]",[],[]
9,ShaderWarmup/BombLW,"[2.000,3.500,5.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[2.000,3.500,5.000]","[1.000,1.000,0.000]",[],[]
9,ShaderWarmup/TrackMirror-AlsoToRenderSliderBehindIt/SetDepthOnly,"[-3.000,-1.000,4.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[-3.000,-1.000,4.000]","[4.000,2.000,0.000]",[],[]
9,SceneContext,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
9,ShaderWarmup/MultiplayerGameBigAvatar/HologramAvatarMaterial,"[-4.610,2.000,5.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[-4.610,2.000,5.000]","[1.000,1.000,0.000]",[],[]
9,ShaderWarmup/FadeQuad,"[0.000,0.000,5.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[0.000,0.000,5.000]","[2.000,2.000,0.000]",[],[]
9,ShaderWarmup/TransparentNeonLightFog,"[3.000,-2.500,5.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[3.000,-2.500,5.000]","[1.000,1.000,0.000]",[],[]
9,ShaderWarmup/Sparkle,"[0.000,2.000,5.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[0.000,2.000,5.000]","[1.000,1.000,0.000]",[],[]
9,ShaderWarmup/Line,"[0.000,0.000,5.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[0.000,0.000,5.000]","[0.320,0.040,0.200]",[],[]
9,VRRenderingParamsSetup,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
9,ShaderWarmup/SaberBurnMarkSparkle,"[1.500,2.000,5.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[1.500,2.000,5.000]","[1.000,1.000,0.000]",[],[]
9,ShaderWarmup/BombHD,"[0.000,3.500,5.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[0.000,3.500,5.000]","[1.000,1.000,0.000]",[],[]
9,ShaderWarmup/FailSprite,"[-1.500,2.000,5.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[-1.500,2.000,5.000]","[1.000,1.000,0.000]",[],[]
9,ShaderWarmup/TrackMirror-AlsoToRenderSliderBehindIt,"[-3.000,-1.000,4.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[-3.000,-1.000,4.000]","[4.000,2.000,0.000]",[],[]
9,ShaderWarmup/BigTrackLaneRing(SimpleLitVariant),"[1.250,-2.500,5.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[1.250,-2.500,5.000]","[1.000,1.000,0.000]",[],[]
9,ShaderWarmup,"[0.000,0.000,5.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
