ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
ShaderWarmup/StencilWrite,ShaderWarmup,ShaderWarmup,1,Mesh,Default,True,"[4.000,0.000,4.000]","[0.000,0.000,0.000]","[4.000,20.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/ParametricFakeGlow,ShaderWarmup,ShaderWarmup,1,Mesh,Default,True,"[0.000,-2.500,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/EnvLightBillboardSpriteGlow,ShaderWarmup,ShaderWarmup,1,Mesh,Default,True,"[4.500,-2.500,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/BombLW,ShaderWarmup,ShaderWarmup,1,Mesh,Default,True,"[2.000,3.500,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/TrackMirror-AlsoToRenderSliderBehindIt/SetDepthOnly,ShaderWarmup,ShaderWarmup/TrackMirror-AlsoToRenderSliderBehindIt,2,Mesh,Water,True,"[-3.000,-1.000,4.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/MultiplayerGameBigAvatar/HologramAvatarMaterial,ShaderWarmup,ShaderWarmup/MultiplayerGameBigAvatar,2,Mesh,Default,True,"[-4.610,2.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/FadeQuad,ShaderWarmup,ShaderWarmup,1,Mesh,Default,True,"[0.000,0.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer|SortingGroup
ShaderWarmup/TransparentNeonLightFog,ShaderWarmup,ShaderWarmup,1,Mesh,Default,True,"[3.000,-2.500,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/Sparkle,ShaderWarmup,ShaderWarmup,1,Mesh,Default,True,"[0.000,2.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/Line,ShaderWarmup,ShaderWarmup,1,Empty,Default,True,"[0.000,0.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|SpriteRenderer
VRRenderingParamsSetup,ShaderWarmup,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|VRRenderingParamsSetup
ShaderWarmup/SaberBurnMarkSparkle,ShaderWarmup,ShaderWarmup,1,Mesh,Default,True,"[1.500,2.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/BombHD,ShaderWarmup,ShaderWarmup,1,Mesh,Default,True,"[0.000,3.500,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/FailSprite,ShaderWarmup,ShaderWarmup,1,Mesh,Default,True,"[-1.500,2.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/TrackMirror-AlsoToRenderSliderBehindIt,ShaderWarmup,ShaderWarmup,1,Mesh,Water,True,"[-3.000,-1.000,4.000]","[0.000,0.000,0.000]","[4.000,2.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/BigTrackLaneRing(SimpleLitVariant),ShaderWarmup,ShaderWarmup,1,Mesh,Default,True,"[1.250,-2.500,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup,ShaderWarmup,None,0,Empty,Default,True,"[0.000,0.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform|AnchorIntoParent
ShaderWarmup/ProModeGameNote,ShaderWarmup,ShaderWarmup,1,Empty,Note,True,"[2.500,-1.000,5.000]","[90.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
ShaderWarmup/NormalGameNote,ShaderWarmup,ShaderWarmup,1,Empty,Note,True,"[2.500,0.000,5.000]","[90.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
ShaderWarmup/MirroredObstacle,ShaderWarmup,ShaderWarmup,1,Empty,Obstacle,True,"[4.000,0.500,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
ShaderWarmup/BeatEffect,ShaderWarmup,ShaderWarmup,1,Empty,Default,True,"[1.000,-1.000,5.000]","[0.000,0.000,90.000]","[1.000,1.000,1.000]",True,False,False,Transform
ShaderWarmup/FarNote,ShaderWarmup,ShaderWarmup,1,Empty,Note,True,"[2.500,1.000,5.000]","[90.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
ShaderWarmup/NormalGameNote/NoteCube/NoteArrow,ShaderWarmup,ShaderWarmup/NormalGameNote/NoteCube,3,Mesh,Note,True,"[2.500,0.108,4.747]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer|MaterialPropertyBlockController|ConditionalMaterialSwitcher|CutoutEffect
ShaderWarmup/Obstacle,ShaderWarmup,ShaderWarmup,1,Empty,Obstacle,True,"[0.000,0.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform|ObstacleMaterialSetter|ObstacleShaderWarmup
ShaderWarmup/MirroredGameNote,ShaderWarmup,ShaderWarmup,1,Empty,Note,True,"[4.000,-1.000,5.000]","[90.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
MenuMainCamera,ShaderWarmup,None,0,Camera,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|Camera|AudioListener|MainCamera|MainEffectController|DepthTextureController|ImageEffectController|BloomPrePass|TrackedPoseDriver
ShaderWarmup/FarCubeNoteDebrisHD,ShaderWarmup,ShaderWarmup,1,Empty,NoteDebris,True,"[3.500,2.500,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
ShaderWarmup/NoteDebrisHD,ShaderWarmup,ShaderWarmup,1,Empty,NoteDebris,True,"[1.500,0.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
ShaderWarmup/MirroredBombNote,ShaderWarmup,ShaderWarmup,1,Empty,Note,True,"[4.000,0.000,5.000]","[90.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
MenuMainCamera/DustPS,ShaderWarmup,MenuMainCamera,1,Empty,DontShowInExternalMRCamera,True,"[0.000,0.000,0.000]","[90.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|ParticleSystem|ParticleSystemRenderer
ShaderWarmup/FlyingScoreEffect/Line,ShaderWarmup,ShaderWarmup/FlyingScoreEffect,2,Empty,Default,True,"[2.000,-2.150,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|SpriteRenderer
BloomSkyboxQuad,ShaderWarmup,None,0,Mesh,Skybox,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|AlwaysVisibleQuad
ShaderWarmup/Obstacle/HideWrapper/ObstacleFakeGlow,ShaderWarmup,ShaderWarmup/Obstacle/HideWrapper,3,Mesh,Default,False,"[0.000,0.500,5.500]","[0.000,0.000,0.000]","[0.505,0.505,0.505]",True,True,False,Transform|MeshFilter|MeshRenderer|MaterialPropertyBlockController|ParametricBoxFakeGlowController|ConditionalActivation|CutoutEffect
ShaderWarmup/Obstacle/ObstacleCore/Collider,ShaderWarmup,ShaderWarmup/Obstacle/ObstacleCore,3,Empty,Obstacle,True,"[0.000,0.500,5.500]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,True,Transform|BoxCollider
ShaderWarmup/MirroredBombNote/Mesh,ShaderWarmup,ShaderWarmup/MirroredBombNote,2,Mesh,Note,True,"[4.000,0.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer|MaterialPropertyBlockController|CutoutEffect
ShaderWarmup/NormalGameNote/NoteCube/BigCuttable,ShaderWarmup,ShaderWarmup/NormalGameNote/NoteCube,3,Empty,Note,True,"[2.500,0.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,True,Transform|BoxCollider|BoxCuttableBySaber
ShaderWarmup/Obstacle/ObstacleCore/DepthWrite,ShaderWarmup,ShaderWarmup/Obstacle/ObstacleCore,3,Mesh,DontShowInExternalMRCamera,True,"[0.000,0.500,5.500]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer|MaterialPropertyBlockController|CutoutEffect|GraphicSettingsConditionalActivator
ShaderWarmup/MirroredObstacle/ObstacleFrame,ShaderWarmup,ShaderWarmup/MirroredObstacle,2,Mesh,Obstacle,True,"[4.000,1.000,5.500]","[0.000,0.000,0.000]","[0.500,0.500,0.500]",True,True,False,Transform|MeshRenderer|MeshFilter|ParametricBoxFrameController|MaterialPropertyBlockController|CutoutEffect
ShaderWarmup/Obstacle/HideWrapper/ObstacleFrame,ShaderWarmup,ShaderWarmup/Obstacle/HideWrapper,3,Mesh,Obstacle,True,"[0.000,0.500,5.500]","[0.000,0.000,0.000]","[0.500,0.500,0.500]",True,True,False,Transform|MeshRenderer|MeshFilter|ParametricBoxFrameController|MaterialPropertyBlockController|CutoutEffect|ConditionalActivation
ShaderWarmup/NoteDebrisHD/NoteDebrisMesh,ShaderWarmup,ShaderWarmup/NoteDebrisHD,2,Mesh,NoteDebris,True,"[1.500,0.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/FarCubeNoteDebrisHD/NoteDebrisMesh,ShaderWarmup,ShaderWarmup/FarCubeNoteDebrisHD,2,Mesh,NoteDebris,True,"[3.500,2.500,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
ShaderWarmup/Obstacle/ObstacleCore,ShaderWarmup,ShaderWarmup/Obstacle,2,Mesh,DontShowInExternalMRCamera,True,"[0.000,0.500,5.500]","[0.000,0.000,0.000]","[0.990,0.990,0.990]",True,True,False,Transform|MeshFilter|MeshRenderer|MaterialPropertyBlockController|CutoutEffect
BlueNoiseHelper,ShaderWarmup,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|BlueNoiseDitheringUpdater
ShaderWarmup/FlyingScoreEffect,ShaderWarmup,ShaderWarmup,1,Empty,Default,True,"[2.000,-2.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
ShaderWarmup/FlyingScoreEffect/Text,ShaderWarmup,ShaderWarmup/FlyingScoreEffect,2,Mesh,UI,True,"[1.990,-2.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,RectTransform|MeshRenderer|TextMeshPro|MeshFilter
ShaderWarmup/NormalGameNote/NoteCube/SmallCuttable,ShaderWarmup,ShaderWarmup/NormalGameNote/NoteCube,3,Empty,Note,True,"[2.500,0.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,True,Transform|BoxCollider|BoxCuttableBySaber
ShaderWarmup/ProModeGameNote/NoteCube/SmallCuttable,ShaderWarmup,ShaderWarmup/ProModeGameNote/NoteCube,3,Empty,Note,True,"[2.500,-1.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,True,Transform|BoxCollider|BoxCuttableBySaber
ShaderWarmup/BeatEffect/SpriteV,ShaderWarmup,ShaderWarmup/BeatEffect,2,Empty,NeonLight,True,"[0.971,-1.000,5.000]","[0.000,0.000,90.000]","[1.000,3.000,1.000]",True,True,False,Transform|SpriteRenderer
ShaderWarmup/BeatEffect/Light,ShaderWarmup,ShaderWarmup/BeatEffect,2,Empty,NeonLight,True,"[1.000,-1.000,5.000]","[0.000,0.000,90.000]","[1.000,1.000,1.000]",True,False,False,Transform|TubeBloomPrePassLight
SceneCameraBloomPrePass,ShaderWarmup,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|SceneCameraBloomPrePass
ShaderWarmup/Obstacle/HideWrapper,ShaderWarmup,ShaderWarmup/Obstacle,2,Empty,Default,True,"[0.000,0.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
ShaderWarmup/MirroredGameNote/NoteCube,ShaderWarmup,ShaderWarmup/MirroredGameNote,2,Mesh,Note,True,"[4.000,-1.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer|MaterialPropertyBlockController|CutoutEffect
ShaderWarmup/FarNote/NoteCube,ShaderWarmup,ShaderWarmup/FarNote,2,Mesh,Note,True,"[2.500,1.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer|MaterialPropertyBlockController|ConditionalMaterialSwitcher|CutoutEffect
ShaderWarmup/ProModeGameNote/NoteCube,ShaderWarmup,ShaderWarmup/ProModeGameNote,2,Mesh,Note,True,"[2.500,-1.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer|MaterialPropertyBlockController|ConditionalMaterialSwitcher|CutoutEffect
ShaderWarmup/NormalGameNote/NoteCube,ShaderWarmup,ShaderWarmup/NormalGameNote,2,Mesh,Note,True,"[2.500,0.000,5.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer|MaterialPropertyBlockController|ConditionalMaterialSwitcher|CutoutEffect
