Frame,ObjectName,Position,RotationEuler,RotationQuat,RendererCenter,RendererSize,ColliderCenter,ColliderSize
18,Wrapper/StandardGameplay/LevelTransitions/LevelFailedController/LevelFailedTextEffect/Neon2,"[0.370,2.100,11.190]","[90.000,90.000,0.000]","[0.500,0.500,-0.500,0.500]",[],[],[],[]
18,Wrapper/StandardGameplay/PauseController,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/StandardGameplay/LevelTransitions/LevelFailedController/LevelFailedTextEffect/Neon0,"[0.190,1.100,11.190]","[90.000,90.000,0.000]","[0.500,0.500,-0.500,0.500]",[],[],[],[]
18,Wrapper/StandardGameplay/LevelTransitions/LevelFailedController,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/StandardGameplay/PrepareLevelCompletionResults,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/StandardGameplay/LevelTransitions/LevelFailedController/LevelFailedTextEffect,"[0.000,1.100,11.190]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/StandardGameplay/LevelTransitions/RestartLevel,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/StandardGameplay,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/StandardGameplay/LevelTransitions/LevelFinishedController,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/StandardGameplay/LevelTransitions/LevelFailedController/LevelFailedTextEffect/Neon1,"[0.000,0.100,11.190]","[90.000,90.000,0.000]","[0.500,0.500,-0.500,0.500]",[],[],[],[]
18,Wrapper/StandardGameplay/LevelTransitions/ReturnToMenu,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/StandardGameplay/GameplayManager,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/DecoratorContext,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/StandardGameplay/LevelTransitions,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/StandardGameplay/CoreBeatmapObjectInstaller,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/StandardGameplay/PauseMenu,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/StandardGameplay/LocalPlayerGameCore/Origin/VRGameCore/RightHand/RightSaber/Top,"[0.200,0.200,1.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
18,Wrapper/StandardGameplay/PauseMenu/Wrapper/MenuWrapper/Canvas,"[0.000,1.549,2.022]","[5.000,0.000,0.000]","[0.044,0.000,0.000,0.999]",[],[],[],[]
18,Wrapper/StandardGameplay/PauseMenu/Wrapper/MenuWrapper/Canvas/MainBar/LevelBarSimple/BeatmapDataContainer/DifficultyText,"[0.790,1.549,2.022]","[5.000,0.000,0.000]","[0.044,0.000,0.000,0.999]",[],[],[],[]
18,Wrapper/StandardGameplay/PauseMenu/Wrapper/MenuWrapper/Canvas/MainBar/LevelBarSimple/SongNameText,"[-0.150,1.667,2.032]","[5.000,0.000,0.000]","[0.044,0.000,0.000,0.999]",[],[],[],[]
18,Wrapper/StandardGameplay/PauseMenu/Wrapper,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
