ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
Wrapper/StandardGameplay/LevelTransitions/LevelFailedController/LevelFailedTextEffect/Neon2,StandardGameplay,Wrapper/StandardGameplay/LevelTransitions/LevelFailedController/LevelFailedTextEffect,5,Empty,NeonLight,False,"[0.370,2.100,11.190]","[90.000,90.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform|TubeBloomPrePassLight
Wrapper/StandardGameplay/PauseController,StandardGameplay,Wrapper/StandardGameplay,2,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PauseController|ZenjectBinding
Wrapper/StandardGameplay/LevelTransitions/LevelFailedController/LevelFailedTextEffect/Neon0,StandardGameplay,Wrapper/StandardGameplay/LevelTransitions/LevelFailedController/LevelFailedTextEffect,5,Empty,NeonLight,False,"[0.190,1.100,11.190]","[90.000,90.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform|TubeBloomPrePassLight
Wrapper/StandardGameplay/LevelTransitions/LevelFailedController,StandardGameplay,Wrapper/StandardGameplay/LevelTransitions,3,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|StandardLevelFailedController
Wrapper/StandardGameplay/PrepareLevelCompletionResults,StandardGameplay,Wrapper/StandardGameplay,2,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|PrepareLevelCompletionResults|ZenjectBinding
Wrapper/StandardGameplay/LevelTransitions/LevelFailedController/LevelFailedTextEffect,StandardGameplay,Wrapper/StandardGameplay/LevelTransitions/LevelFailedController,4,Empty,UI,False,"[0.000,1.100,11.190]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|LevelFailedTextEffect|LevelFailedText|Animator|CanvasRenderer|ZenjectBinding
Wrapper/StandardGameplay/LevelTransitions/RestartLevel,StandardGameplay,Wrapper/StandardGameplay/LevelTransitions,3,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|StandardLevelRestartController|ZenjectBinding
Wrapper/StandardGameplay,StandardGameplay,Wrapper,1,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform
Wrapper/StandardGameplay/LevelTransitions/LevelFinishedController,StandardGameplay,Wrapper/StandardGameplay/LevelTransitions,3,Empty,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|StandardLevelFinishedController
Wrapper/StandardGameplay/LevelTransitions/LevelFailedController/LevelFailedTextEffect/Neon1,StandardGameplay,Wrapper/StandardGameplay/LevelTransitions/LevelFailedController/LevelFailedTextEffect,5,Empty,NeonLight,False,"[0.000,0.100,11.190]","[90.000,90.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform|TubeBloomPrePassLight
