ObjectName,"ObjectType (from static file, if available)",StartFrame,EndFrame,StartPosition,EndPosition,AvgSpeed,VisibilityRatio,SizeChange,RelativeSize,PathSummary
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BoxLight,Mesh,19,21,"[16.376,21.363,119.0]","[16.788,-10.94,7.0]",63.48107408732717,1.0,shrink,huge,"Overall: moves quickly along a long, primarily horizontal path with large vertical variation. Phases: moves across the scene."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BoxLight,Mesh,19,21,"[-16.376,-11.363,119.0]","[-16.788,20.94,7.0]",63.48107408732717,1.0,shrink,huge,"Overall: moves quickly along a long, primarily horizontal path with large vertical variation. Phases: moves across the scene."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BoxLight,Mesh,19,21,"[16.363,-11.376,119.0]","[-15.94,-11.788,7.0]",63.48107408732717,1.0,shrink,huge,"Overall: moves quickly along a long, primarily horizontal path with large vertical variation. Phases: moves across the scene."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BoxLight,Mesh,19,21,"[-16.363,21.376,119.0]","[15.94,21.788,7.0]",63.48107408732717,1.0,shrink,huge,"Overall: moves quickly along a long, primarily horizontal path with large vertical variation. Phases: moves across the scene."
BigTrackLaneRing(Clone)/Ring,Mesh,19,21,"[0.0,5.0,119.0]","[0.0,5.0,7.0]",56.0,1.0,stable,huge,"Overall: moves quickly along a long, primarily horizontal path with flat vertical variation. Phases: moves across the scene."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional,Empty,19,21,"[16.376,21.363,119.0]","[16.788,-10.94,7.0]",63.48107408732717,0.0,unknown,unknown,"Overall: moves quickly along a long, primarily horizontal path with large vertical variation. Phases: moves across the scene."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1),Empty,19,21,"[-16.376,-11.363,119.0]","[-16.788,20.94,7.0]",63.48107408732717,0.0,unknown,unknown,"Overall: moves quickly along a long, primarily horizontal path with large vertical variation. Phases: moves across the scene."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BakedBloom,Mesh,19,21,"[-16.376,-11.363,119.0]","[-16.788,20.94,7.0]",63.48107408732717,0.0,unknown,unknown,"Overall: moves quickly along a long, primarily horizontal path with large vertical variation. Phases: moves across the scene."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2),Empty,19,21,"[16.363,-11.376,119.0]","[-15.94,-11.788,7.0]",63.48107408732717,0.0,unknown,unknown,"Overall: moves quickly along a long, primarily horizontal path with large vertical variation. Phases: moves across the scene."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BakedBloom,Mesh,19,21,"[16.363,-11.376,119.0]","[-15.94,-11.788,7.0]",63.48107408732717,0.0,unknown,unknown,"Overall: moves quickly along a long, primarily horizontal path with large vertical variation. Phases: moves across the scene."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3),Empty,19,21,"[-16.363,21.376,119.0]","[15.94,21.788,7.0]",63.48107408732717,0.0,unknown,unknown,"Overall: moves quickly along a long, primarily horizontal path with large vertical variation. Phases: moves across the scene."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BakedBloom,Mesh,19,21,"[-16.363,21.376,119.0]","[15.94,21.788,7.0]",63.48107408732717,0.0,unknown,unknown,"Overall: moves quickly along a long, primarily horizontal path with large vertical variation. Phases: moves across the scene."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BakedBloom,Mesh,19,21,"[16.376,21.363,119.0]","[16.788,-10.94,7.0]",63.48107408732717,0.0,unknown,unknown,"Overall: moves quickly along a long, primarily horizontal path with large vertical variation. Phases: moves across the scene."
BigTrackLaneRing(Clone),Empty,19,21,"[0.0,5.0,119.0]","[0.0,5.0,7.0]",56.0,0.0,unknown,unknown,"Overall: moves quickly along a long, primarily horizontal path with flat vertical variation. Phases: moves across the scene."
BombNote(Clone)/Mesh,Mesh,19,21,"[-0.9,0.25,35.56]","[0.0,0.463,0.0]",0.0,1.0,stable,medium,"Overall: moves quickly along a long, primarily horizontal path with flat vertical variation. Phases: moves across the scene; remains nearly still."
NormalGameNote(Clone)/NoteCube,Mesh,19,21,"[-0.3,0.25,32.858]","[0.0,1.0,0.0]",0.0,1.0,stable,small,"Overall: moves quickly along a long, primarily horizontal path with moderate vertical variation. Phases: ascends and moves across the scene; remains nearly still."
