ObjectName (Name of the Object),ObjectCategory (Potential Object Type),StartFrame (Frame where the object first appears),EndFrame (Frame where the object last appears),"StartPosition [x,y,z] at first valid position","EndPosition [x,y,z] at last valid position","PathLength (Sum of all displacements, added stepwise with abs value)",NetDisplacement (Vector value of end position - start position),AvgSpeed (Mean step speed over valid steps),VisibilityRatio (Percentage of frames where the object is visible),"SizeChange (Change in perceived size of the object, can be due to camera movement)",RelativeSize (Compared to other objects in the game),"MotionPhases (Symbolic phase sequence, e.g. STILL_LOW;ASCEND_MID)",PhaseTimeline (Motion phases with approximate relative durations),PathTrace (Downsampled key positions along the trajectory),MaxSpeedEvent (Notable peak speed moment),LargestVerticalChangeEvent (Notable vertical excursion),DistBand (Categorical range of total distance covered: none/short/medium/long),SpeedBand (Categorical range of average movement speed: none/slow/medium/fast),VertBand (Categorical range of vertical displacement: none/flat/moderate/large),"PathSummary (Short, deterministic natural-language description from core stats)",SemanticRole (Heuristic high-level role: Player/Enemy/Projectile/etc.),InteractionSummary (Close-approach / touch events with other objects),"NarrativeSummary (Compact narrative description using motion, phases & interactions)"
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BoxLight,Mesh,14,16,"[16.37,-11.37,119.0]","[-15.921,21.807,7.0]",226.6076282652748,121.1916746728091,113.3038141326374,1.0,stable,huge,HORIZ_LOW;HORIZ_HIGH,HORIZ_LOW:0.50;HORIZ_HIGH:0.50,"f14:[16.370,-11.370,119.000];f14:[16.370,-11.370,87.000];f14:[16.370,-11.370,55.000];f14:[16.370,-11.370,23.000];f15:[22.885,8.494,111.000];f15:[21.774,12.862,79.000];f15:[19.838,16.932,47.000];f15:[13.011,24.148,15.000];f16:[-4.734,27.661,103.000];f16:[-8.826,26.401,71.000];f16:[-12.594,24.424,39.000];f16:[-15.921,21.807,7.000]",Peak speed ~113.753 between frames 14-15.,Vertical span from -11.370 (f14) to 28.003 (f16).,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: moves across the scene in a low region; moves across the scene in a high region.,Enemy,touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2); touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BakedBloom.,"As a Enemy, this object moves steadily over a medium distance with strong changes in height. Its motion phases over time: HORIZ_LOW:0.50;HORIZ_HIGH:0.50. Key positions along its path: f14:[16.370,-11.370,119.000];f14:[16.370,-11.370,87.000];f14:[16.370,-11.370,55.000];f14:[16.370,-11.370,23.000];f15:[22.885,8.494,111.000];f15:[21.774,12.862,79.000];f15:[19.838,16.932,47.000];f15:[13.011,24.148,15.000];f16:[-4.734,27.661,103.000];f16:[-8.826,26.401,71.000];f16:[-12.594,24.424,39.000];f16:[-15.921,21.807,7.000]. It touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2); touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BakedBloom. Notable moments: Peak speed ~113.753 between frames 14-15. Vertical span from -11.370 (f14) to 28.003 (f16)."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BoxLight,Mesh,14,16,"[-16.37,-11.37,119.0]","[16.807,20.921,7.0]",226.6076282652748,121.1916746728091,113.3038141326374,1.0,stable,huge,HORIZ_LOW;HORIZ_MID,HORIZ_LOW:0.50;HORIZ_MID:0.50,"f14:[-16.370,-11.370,119.000];f14:[-16.370,-11.370,87.000];f14:[-16.370,-11.370,55.000];f14:[-16.370,-11.370,23.000];f15:[3.494,-17.885,111.000];f15:[7.862,-16.774,79.000];f15:[11.932,-14.838,47.000];f15:[19.148,-8.011,15.000];f16:[22.661,9.734,103.000];f16:[21.401,13.826,71.000];f16:[19.424,17.594,39.000];f16:[16.807,20.921,7.000]",Peak speed ~113.753 between frames 14-15.,Vertical span from -18.028 (f15) to 20.921 (f16).,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: moves across the scene in a low region; moves across the scene in a mid-height region.,Enemy,touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1); touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BakedBloom.,"As a Enemy, this object moves steadily over a medium distance with some vertical variation. Its motion phases over time: HORIZ_LOW:0.50;HORIZ_MID:0.50. Key positions along its path: f14:[-16.370,-11.370,119.000];f14:[-16.370,-11.370,87.000];f14:[-16.370,-11.370,55.000];f14:[-16.370,-11.370,23.000];f15:[3.494,-17.885,111.000];f15:[7.862,-16.774,79.000];f15:[11.932,-14.838,47.000];f15:[19.148,-8.011,15.000];f16:[22.661,9.734,103.000];f16:[21.401,13.826,71.000];f16:[19.424,17.594,39.000];f16:[16.807,20.921,7.000]. It touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1); touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BakedBloom. Notable moments: Peak speed ~113.753 between frames 14-15. Vertical span from -18.028 (f15) to 20.921 (f16)."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BoxLight,Mesh,14,16,"[16.37,21.37,119.0]","[-16.807,-10.921,7.0]",226.6076282652748,121.1916746728091,113.3038141326374,1.0,stable,huge,HORIZ_HIGH,HORIZ_HIGH:1.00,"f14:[16.370,21.370,119.000];f14:[16.370,21.370,87.000];f14:[16.370,21.370,55.000];f14:[16.370,21.370,23.000];f15:[-3.494,27.885,111.000];f15:[-7.862,26.774,79.000];f15:[-11.932,24.838,47.000];f15:[-19.148,18.011,15.000];f16:[-22.661,0.266,103.000];f16:[-21.401,-3.826,71.000];f16:[-19.424,-7.594,39.000];f16:[-16.807,-10.921,7.000]",Peak speed ~113.753 between frames 14-15.,Vertical span from -10.921 (f16) to 28.028 (f15).,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: moves across the scene in a high region.,Enemy,touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional; touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BakedBloom.,"As a Enemy, this object moves steadily over a medium distance with some vertical variation. Its motion phases over time: HORIZ_HIGH:1.00. Key positions along its path: f14:[16.370,21.370,119.000];f14:[16.370,21.370,87.000];f14:[16.370,21.370,55.000];f14:[16.370,21.370,23.000];f15:[-3.494,27.885,111.000];f15:[-7.862,26.774,79.000];f15:[-11.932,24.838,47.000];f15:[-19.148,18.011,15.000];f16:[-22.661,0.266,103.000];f16:[-21.401,-3.826,71.000];f16:[-19.424,-7.594,39.000];f16:[-16.807,-10.921,7.000]. It touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional; touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BakedBloom. Notable moments: Peak speed ~113.753 between frames 14-15. Vertical span from -10.921 (f16) to 28.028 (f15)."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BoxLight,Mesh,14,16,"[-16.37,21.37,119.0]","[15.921,-11.807,7.0]",226.6076282652748,121.1916746728091,113.3038141326374,1.0,stable,huge,HORIZ_HIGH;HORIZ_LOW,HORIZ_HIGH:0.50;HORIZ_LOW:0.50,"f14:[-16.370,21.370,119.000];f14:[-16.370,21.370,87.000];f14:[-16.370,21.370,55.000];f14:[-16.370,21.370,23.000];f15:[-22.885,1.506,111.000];f15:[-21.774,-2.862,79.000];f15:[-19.838,-6.932,47.000];f15:[-13.011,-14.148,15.000];f16:[4.734,-17.661,103.000];f16:[8.826,-16.401,71.000];f16:[12.594,-14.424,39.000];f16:[15.921,-11.807,7.000]",Peak speed ~113.753 between frames 14-15.,Vertical span from -18.003 (f16) to 21.370 (f14).,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: moves across the scene in a high region; moves across the scene in a low region.,Enemy,touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3); touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BakedBloom.,"As a Enemy, this object moves steadily over a medium distance with strong changes in height. Its motion phases over time: HORIZ_HIGH:0.50;HORIZ_LOW:0.50. Key positions along its path: f14:[-16.370,21.370,119.000];f14:[-16.370,21.370,87.000];f14:[-16.370,21.370,55.000];f14:[-16.370,21.370,23.000];f15:[-22.885,1.506,111.000];f15:[-21.774,-2.862,79.000];f15:[-19.838,-6.932,47.000];f15:[-13.011,-14.148,15.000];f16:[4.734,-17.661,103.000];f16:[8.826,-16.401,71.000];f16:[12.594,-14.424,39.000];f16:[15.921,-11.807,7.000]. It touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3); touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BakedBloom. Notable moments: Peak speed ~113.753 between frames 14-15. Vertical span from -18.003 (f16) to 21.370 (f14)."
BigTrackLaneRing(Clone)/Ring,Mesh,14,16,"[0.0,5.0,119.0]","[0.0,5.0,7.0]",224.0,112.0,112.0,1.0,stable,huge,HORIZ_HIGH,HORIZ_HIGH:1.00,"f14:[0.000,5.000,119.000];f14:[0.000,5.000,87.000];f14:[0.000,5.000,55.000];f14:[0.000,5.000,23.000];f15:[0.000,5.000,111.000];f15:[0.000,5.000,79.000];f15:[0.000,5.000,47.000];f15:[0.000,5.000,15.000];f16:[0.000,5.000,103.000];f16:[0.000,5.000,71.000];f16:[0.000,5.000,39.000];f16:[0.000,5.000,7.000]",Peak speed ~112.000 between frames 14-15.,,medium,medium,none,Overall: moves at a moderate speed over a medium distance. Phases: moves across the scene in a high region.,DynamicObject,touches BigTrackLaneRing(Clone).,"As a DynamicObject, this object moves steadily over a medium distance. Its motion phases over time: HORIZ_HIGH:1.00. Key positions along its path: f14:[0.000,5.000,119.000];f14:[0.000,5.000,87.000];f14:[0.000,5.000,55.000];f14:[0.000,5.000,23.000];f15:[0.000,5.000,111.000];f15:[0.000,5.000,79.000];f15:[0.000,5.000,47.000];f15:[0.000,5.000,15.000];f16:[0.000,5.000,103.000];f16:[0.000,5.000,71.000];f16:[0.000,5.000,39.000];f16:[0.000,5.000,7.000]. It touches BigTrackLaneRing(Clone). Notable moments: Peak speed ~112.000 between frames 14-15."
SmallTrackLaneRing(Clone)/Ring,Mesh,14,16,"[0.0,1.4,115.5]","[0.0,1.4,14.0]",203.0,101.5,101.5,1.0,stable,huge,HORIZ_HIGH,HORIZ_HIGH:1.00,"f14:[0.000,1.400,115.500];f14:[0.000,1.400,87.500];f14:[0.000,1.400,59.500];f14:[0.000,1.400,31.500];f15:[0.000,1.400,108.500];f15:[0.000,1.400,80.500];f15:[0.000,1.400,52.500];f15:[0.000,1.400,24.500];f16:[0.000,1.400,101.500];f16:[0.000,1.400,73.500];f16:[0.000,1.400,45.500];f16:[0.000,1.400,14.000]",Peak speed ~101.500 between frames 14-15.,,medium,medium,none,Overall: moves at a moderate speed over a medium distance. Phases: moves across the scene in a high region.,DynamicObject,touches SmallTrackLaneRing(Clone).,"As a DynamicObject, this object moves steadily over a medium distance. Its motion phases over time: HORIZ_HIGH:1.00. Key positions along its path: f14:[0.000,1.400,115.500];f14:[0.000,1.400,87.500];f14:[0.000,1.400,59.500];f14:[0.000,1.400,31.500];f15:[0.000,1.400,108.500];f15:[0.000,1.400,80.500];f15:[0.000,1.400,52.500];f15:[0.000,1.400,24.500];f16:[0.000,1.400,101.500];f16:[0.000,1.400,73.500];f16:[0.000,1.400,45.500];f16:[0.000,1.400,14.000]. It touches SmallTrackLaneRing(Clone). Notable moments: Peak speed ~101.500 between frames 14-15."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3),Empty,14,16,"[-16.37,21.37,119.0]","[15.921,-11.807,7.0]",226.6076282652748,121.1916746728091,113.3038141326374,0.0,unknown,unknown,HORIZ_HIGH;HORIZ_LOW,HORIZ_HIGH:0.50;HORIZ_LOW:0.50,"f14:[-16.370,21.370,119.000];f14:[-16.370,21.370,87.000];f14:[-16.370,21.370,55.000];f14:[-16.370,21.370,23.000];f15:[-22.885,1.506,111.000];f15:[-21.774,-2.862,79.000];f15:[-19.838,-6.932,47.000];f15:[-13.011,-14.148,15.000];f16:[4.734,-17.661,103.000];f16:[8.826,-16.401,71.000];f16:[12.594,-14.424,39.000];f16:[15.921,-11.807,7.000]",Peak speed ~113.753 between frames 14-15.,Vertical span from -18.003 (f16) to 21.370 (f14).,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: moves across the scene in a high region; moves across the scene in a low region.,Enemy,touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BakedBloom; touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BoxLight.,"As a Enemy, this object moves steadily over a medium distance with strong changes in height. Its motion phases over time: HORIZ_HIGH:0.50;HORIZ_LOW:0.50. Key positions along its path: f14:[-16.370,21.370,119.000];f14:[-16.370,21.370,87.000];f14:[-16.370,21.370,55.000];f14:[-16.370,21.370,23.000];f15:[-22.885,1.506,111.000];f15:[-21.774,-2.862,79.000];f15:[-19.838,-6.932,47.000];f15:[-13.011,-14.148,15.000];f16:[4.734,-17.661,103.000];f16:[8.826,-16.401,71.000];f16:[12.594,-14.424,39.000];f16:[15.921,-11.807,7.000]. It touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BakedBloom; touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BoxLight. Notable moments: Peak speed ~113.753 between frames 14-15. Vertical span from -18.003 (f16) to 21.370 (f14)."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BakedBloom,Mesh,14,16,"[16.37,-11.37,119.0]","[-15.921,21.807,7.0]",226.6076282652748,121.1916746728091,113.3038141326374,0.0,unknown,unknown,HORIZ_LOW;HORIZ_HIGH,HORIZ_LOW:0.50;HORIZ_HIGH:0.50,"f14:[16.370,-11.370,119.000];f14:[16.370,-11.370,87.000];f14:[16.370,-11.370,55.000];f14:[16.370,-11.370,23.000];f15:[22.885,8.494,111.000];f15:[21.774,12.862,79.000];f15:[19.838,16.932,47.000];f15:[13.011,24.148,15.000];f16:[-4.734,27.661,103.000];f16:[-8.826,26.401,71.000];f16:[-12.594,24.424,39.000];f16:[-15.921,21.807,7.000]",Peak speed ~113.753 between frames 14-15.,Vertical span from -11.370 (f14) to 28.003 (f16).,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: moves across the scene in a low region; moves across the scene in a high region.,Enemy,touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2); touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BoxLight.,"As a Enemy, this object moves steadily over a medium distance with strong changes in height. Its motion phases over time: HORIZ_LOW:0.50;HORIZ_HIGH:0.50. Key positions along its path: f14:[16.370,-11.370,119.000];f14:[16.370,-11.370,87.000];f14:[16.370,-11.370,55.000];f14:[16.370,-11.370,23.000];f15:[22.885,8.494,111.000];f15:[21.774,12.862,79.000];f15:[19.838,16.932,47.000];f15:[13.011,24.148,15.000];f16:[-4.734,27.661,103.000];f16:[-8.826,26.401,71.000];f16:[-12.594,24.424,39.000];f16:[-15.921,21.807,7.000]. It touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2); touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BoxLight. Notable moments: Peak speed ~113.753 between frames 14-15. Vertical span from -11.370 (f14) to 28.003 (f16)."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BakedBloom,Mesh,14,16,"[-16.37,21.37,119.0]","[15.921,-11.807,7.0]",226.6076282652748,121.1916746728091,113.3038141326374,0.0,unknown,unknown,HORIZ_HIGH;HORIZ_LOW,HORIZ_HIGH:0.50;HORIZ_LOW:0.50,"f14:[-16.370,21.370,119.000];f14:[-16.370,21.370,87.000];f14:[-16.370,21.370,55.000];f14:[-16.370,21.370,23.000];f15:[-22.885,1.506,111.000];f15:[-21.774,-2.862,79.000];f15:[-19.838,-6.932,47.000];f15:[-13.011,-14.148,15.000];f16:[4.734,-17.661,103.000];f16:[8.826,-16.401,71.000];f16:[12.594,-14.424,39.000];f16:[15.921,-11.807,7.000]",Peak speed ~113.753 between frames 14-15.,Vertical span from -18.003 (f16) to 21.370 (f14).,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: moves across the scene in a high region; moves across the scene in a low region.,Enemy,touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3); touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BoxLight.,"As a Enemy, this object moves steadily over a medium distance with strong changes in height. Its motion phases over time: HORIZ_HIGH:0.50;HORIZ_LOW:0.50. Key positions along its path: f14:[-16.370,21.370,119.000];f14:[-16.370,21.370,87.000];f14:[-16.370,21.370,55.000];f14:[-16.370,21.370,23.000];f15:[-22.885,1.506,111.000];f15:[-21.774,-2.862,79.000];f15:[-19.838,-6.932,47.000];f15:[-13.011,-14.148,15.000];f16:[4.734,-17.661,103.000];f16:[8.826,-16.401,71.000];f16:[12.594,-14.424,39.000];f16:[15.921,-11.807,7.000]. It touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3); touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BoxLight. Notable moments: Peak speed ~113.753 between frames 14-15. Vertical span from -18.003 (f16) to 21.370 (f14)."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BakedBloom,Mesh,14,16,"[16.37,21.37,119.0]","[-16.807,-10.921,7.0]",226.6076282652748,121.1916746728091,113.3038141326374,0.0,unknown,unknown,HORIZ_HIGH,HORIZ_HIGH:1.00,"f14:[16.370,21.370,119.000];f14:[16.370,21.370,87.000];f14:[16.370,21.370,55.000];f14:[16.370,21.370,23.000];f15:[-3.494,27.885,111.000];f15:[-7.862,26.774,79.000];f15:[-11.932,24.838,47.000];f15:[-19.148,18.011,15.000];f16:[-22.661,0.266,103.000];f16:[-21.401,-3.826,71.000];f16:[-19.424,-7.594,39.000];f16:[-16.807,-10.921,7.000]",Peak speed ~113.753 between frames 14-15.,Vertical span from -10.921 (f16) to 28.028 (f15).,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: moves across the scene in a high region.,Enemy,touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional; touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BoxLight.,"As a Enemy, this object moves steadily over a medium distance with some vertical variation. Its motion phases over time: HORIZ_HIGH:1.00. Key positions along its path: f14:[16.370,21.370,119.000];f14:[16.370,21.370,87.000];f14:[16.370,21.370,55.000];f14:[16.370,21.370,23.000];f15:[-3.494,27.885,111.000];f15:[-7.862,26.774,79.000];f15:[-11.932,24.838,47.000];f15:[-19.148,18.011,15.000];f16:[-22.661,0.266,103.000];f16:[-21.401,-3.826,71.000];f16:[-19.424,-7.594,39.000];f16:[-16.807,-10.921,7.000]. It touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional; touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BoxLight. Notable moments: Peak speed ~113.753 between frames 14-15. Vertical span from -10.921 (f16) to 28.028 (f15)."
