FrameIndex,ObjectName,"WorldPosition (x,y,z)",RotationEuler,RendererSize,ColliderSize
19,BeatEffect(Clone)/SpriteV,"[17.000,0.020,7.779]","[90.000,0.000,0.000]","[0.219,0.200,3.281]",[]
20,BeatEffect(Clone)/SpriteV,"[0.900,0.129,17.060]","[0.000,0.000,0.000]","[0.000,21.875,0.200]",[]
20,BeatEffect(Clone)/SpriteV,"[-0.900,0.129,17.060]","[0.000,0.000,0.000]","[0.000,21.875,0.200]",[]
20,BeatEffect(Clone)/SpriteV,"[0.300,0.129,17.060]","[0.000,0.000,0.000]","[0.000,21.875,0.200]",[]
20,BeatEffect(Clone)/SpriteV,"[-0.300,0.129,17.060]","[0.000,0.000,0.000]","[0.000,21.875,0.200]",[]
20,BeatEffect(Clone)/SpriteV,"[17.000,0.020,7.779]","[90.000,0.000,0.000]","[0.219,0.200,3.281]",[]
21,BeatEffect(Clone)/SpriteV,"[0.900,0.129,17.060]","[0.000,0.000,0.000]","[0.000,21.875,0.200]",[]
21,BeatEffect(Clone)/SpriteV,"[-0.900,0.129,17.060]","[0.000,0.000,0.000]","[0.000,21.875,0.200]",[]
21,BeatEffect(Clone)/SpriteV,"[0.300,0.129,17.060]","[0.000,0.000,0.000]","[0.000,21.875,0.200]",[]
21,BeatEffect(Clone)/SpriteV,"[-0.300,0.129,17.060]","[0.000,0.000,0.000]","[0.000,21.875,0.200]",[]
21,BeatEffect(Clone)/SpriteV,"[17.000,0.020,7.779]","[90.000,0.000,0.000]","[0.219,0.200,3.281]",[]
21,BeatEffect(Clone)/SpriteV,"[17.000,0.020,7.779]","[90.000,0.000,0.000]","[0.219,0.200,3.281]",[]
21,BeatEffect(Clone)/SpriteV,"[17.000,0.020,7.779]","[90.000,0.000,0.000]","[0.219,0.200,3.281]",[]
21,BeatEffect(Clone)/SpriteV,"[17.000,0.020,7.779]","[90.000,0.000,0.000]","[0.219,0.200,3.281]",[]
21,BeatEffect(Clone)/SpriteV,"[17.000,0.020,7.779]","[90.000,0.000,0.000]","[0.219,0.200,3.281]",[]
