ObjectName,FrameCount (frames recorded),FirstFrame (start frame),LastFrame (end frame),TotalPathLength (total movement distance),MaxStepDistance (largest single movement),StartX,StartY,StartZ,EndX,EndY,EndZ,VisibleFrames,MedianRenderVolume (typical on-screen volume),HierarchyLevel (depth in scene tree),ObjectType (Unity class/type),IsActive (true/false),HasRenderer,HasCollider,NetDisplacement (start to end distance),VisibilityRatio (fraction visible),ImportanceScore (movement × visibility × size)
NormalGameNote(Clone)/NoteCube,75,19,21,15539.197971034237,4979.121122630479,-0.3,0.25,32.858,0.0,1.0,0.0,75,0.12128737499999999,1.0,Mesh,True,True,False,32.867927589064685,1.0,23985.517432508103
NormalGameNote(Clone)/NoteCube/NoteArrow,75,19,21,15537.572111188065,4978.992117216697,-0.3,0.358,32.605,0.0,1.108,-0.254,75,0.00027,2.0,Mesh,True,True,False,32.868927287029,1.0,23307.931186699047
BigTrackLaneRing(Clone)/Ring,45,19,21,560.0,112.0,0.0,5.0,119.0,0.0,5.0,7.0,45,3675.3027200000006,1.0,Mesh,True,True,False,112.0,1.0,6540.818564939487
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BoxLight,45,19,21,563.8545636112935,113.13339302345705,-16.376,-11.363,119.0,-16.788,20.94,7.0,45,2.29169556,2.0,Mesh,True,True,False,116.5660909227036,1.0,1139.2348825059316
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BoxLight,45,19,21,563.8545636112935,113.13339302345705,16.363,-11.376,119.0,-15.94,-11.788,7.0,45,2.29169556,2.0,Mesh,True,True,False,116.5660909227036,1.0,1139.2348825059316
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (3)/BoxLight,45,19,21,563.8545636112935,113.13339302345705,-16.363,21.376,119.0,15.94,21.788,7.0,45,2.29169556,2.0,Mesh,True,True,False,116.5660909227036,1.0,1139.2348825059316
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BoxLight,45,19,21,563.8545636112935,113.13339302345705,16.376,21.363,119.0,16.788,-10.94,7.0,45,2.29169556,2.0,Mesh,True,True,False,116.5660909227036,1.0,1139.2348825059316
Obstacle(Clone)/HideWrapper/ObstacleFakeGlow,75,19,21,219.25268137388642,86.31303493679272,0.0,0.5,0.5,0.0,0.5,0.5,75,3.4772658749999996,2.0,Mesh,False,True,False,0.0,1.0,478.3980421496841
Obstacle(Clone)/HideWrapper/ObstacleFrame,75,19,21,219.25268137388642,86.31303493679272,0.0,0.5,0.5,0.0,0.5,0.5,75,1.0,2.0,Mesh,False,True,False,0.0,1.0,391.1052730098754
Obstacle(Clone)/ObstacleCore,75,19,21,219.25268137388642,86.31303493679272,0.0,0.5,0.5,0.0,0.5,0.5,75,0.9702989999999999,1.0,Mesh,False,True,False,0.0,1.0,389.64508877412817
Obstacle(Clone)/ObstacleCore/DepthWrite,75,19,21,219.25268137388642,86.31303493679272,0.0,0.5,0.5,0.0,0.5,0.5,75,0.9702989999999999,2.0,Mesh,False,True,False,0.0,1.0,389.64508877412817
BombNote(Clone)/Mesh,105,19,21,78.74103026386936,35.57202508994955,-0.9,0.25,35.56,0.0,0.463,0.0,105,0.14545924999999998,1.0,Mesh,True,True,True,35.57202508994955,1.0,122.19044961853223
BeatEffect(Clone)/SpriteV,72,19,21,83.63285845513299,19.63259641514591,17.0,0.02,7.779,17.0,0.02,7.779,64,0.14370780000000002,1.0,Empty,False,True,False,0.0,0.8888888888888888,120.12218267660393
NoteDebrisHD(Clone)/NoteDebrisMesh,120,19,21,65.29075459264921,14.585879850046757,0.0,1.0,0.0,0.0,1.0,0.0,120,0.12128737499999999,1.0,Mesh,False,True,False,0.0,1.0,100.77949553012652
FlyingSpriteEffect(Clone),72,19,21,47.45743844751842,11.864359611879605,0.0,0.59,2.327,0.0,0.59,2.327,72,0.32768,0.0,Empty,False,True,False,0.0,1.0,76.41329117709122
FlyingScoreEffect(Clone)/Line,72,19,21,5.452914083313618,1.3632285208284045,0.0,-0.298,6.532,0.0,-0.298,6.532,72,0.00256,1.0,Empty,False,True,False,0.0,1.0,8.184600904576211
