Frame,ObjectName,Position,RotationEuler,RotationQuat,RendererCenter,RendererSize,ColliderCenter,ColliderSize
4,ProBuilderSelectionMeshObject,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000]",[],[]
4,ProBuilderSelectionMeshObject,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[-15.000,18.000,37.500]","[16.000,0.000,31.000]",[],[]
4,zoneQUARRY,"[34.500,0.000,225.400]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
4,zoneQUARRY/cellQuarry_Entrance,"[92.900,8.140,189.700]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
4,zoneQUARRY/cellQuarry_Entrance/cellQuarry_Entrance Proxy,"[92.900,8.140,189.700]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[112.147,4.208,194.111]","[130.464,123.476,132.595]",[],[]
4,zoneQUARRY/cellQuarry_CaveHub,"[229.220,-4.480,174.730]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
4,zoneQUARRY/cellQuarry_CaveHub/cellQuarry_CaveHub Proxy,"[229.220,-4.480,174.730]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[245.499,32.444,157.582]","[178.362,207.014,172.122]",[],[]
4,zoneQUARRY/cellQuarry_DonutHole,"[357.700,0.000,170.500]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
4,zoneQUARRY/cellQuarry_DonutHole/cellQuarry_DonutHole Proxy,"[357.700,0.000,170.500]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[372.798,6.144,146.425]","[166.266,150.060,171.569]",[],[]
4,zoneQUARRY/cellQuarry_Bridgeway,"[384.900,-1.100,329.600]","[0.000,270.000,0.000]","[0.000,-0.707,0.000,0.707]",[],[],[],[]
4,zoneQUARRY/cellQuarry_Bridgeway/cellQuarry_Bridgeway Proxy,"[384.900,-1.100,329.600]","[0.000,270.000,0.000]","[0.000,-0.707,0.000,0.707]","[386.880,-4.288,315.157]","[44.197,26.718,104.838]",[],[]
4,zoneQUARRY/cellQuarry_Onsen,"[385.800,-3.040,257.100]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
4,zoneQUARRY/cellQuarry_Onsen/cellQuarry_Onsen Proxy,"[385.800,-3.040,257.100]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[369.835,-2.067,232.633]","[110.256,107.483,96.600]",[],[]
4,zoneQUARRY/cellQuarry_MirrorIsland,"[388.500,-6.300,403.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
4,zoneQUARRY/cellQuarry_MirrorIsland/cellQuarry_MirrorIsland Proxy,"[388.500,-6.300,403.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[441.652,8.398,355.006]","[184.335,119.621,140.330]",[],[]
4,zoneQUARRY/cellQuarry_OverUnder,"[227.700,-4.431,319.200]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]",[],[],[],[]
4,zoneQUARRY/cellQuarry_OverUnder/cellQuarry_OverUnder Proxy,"[227.700,-4.431,319.200]","[0.000,0.000,0.000]","[0.000,0.000,0.000,1.000]","[222.634,4.372,302.840]","[159.181,157.657,188.792]",[],[]
