ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
Directional Light,HelicopterPhysics,None,0,Light,Default,True,"[0.000,3.000,0.000]","[50.000,330.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform|Light
Canvas/Panel/Row - INFO,HelicopterPhysics,Canvas/Panel,2,Empty,UI,True,"[0.000,1440.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|VerticalLayoutGroup
Canvas/Panel/Row - Pedal/Text (TMP) - Title,HelicopterPhysics,Canvas/Panel/Row - Pedal,3,Empty,UI,True,"[0.000,1440.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI
Level_Manager/FX_GRP,HelicopterPhysics,Level_Manager,1,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
Canvas/Panel/Row - Sticky Throttle,HelicopterPhysics,Canvas/Panel,2,Empty,UI,True,"[0.000,1440.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|HorizontalLayoutGroup
Canvas/Panel/Row - Pedal/Text (TMP) - Content,HelicopterPhysics,Canvas/Panel/Row - Pedal,3,Empty,UI,True,"[0.000,1440.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI
Level_Manager/Audio_GRP,HelicopterPhysics,Level_Manager,1,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
Canvas/Panel/Row - Raw Throttle,HelicopterPhysics,Canvas/Panel,2,Empty,UI,True,"[0.000,1440.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|HorizontalLayoutGroup
Canvas/Panel/Row - Raw Throttle/Text (TMP) - Content,HelicopterPhysics,Canvas/Panel/Row - Raw Throttle,3,Empty,UI,True,"[0.000,1440.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI
Level_Manager/PostProcessing,HelicopterPhysics,Level_Manager,1,Empty,PostProcessing,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform|PostProcessVolume
Level_Manager/Lighting_GRP,HelicopterPhysics,Level_Manager,1,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
Canvas/Panel/Row - Sticky Throttle/Text (TMP) - Title,HelicopterPhysics,Canvas/Panel/Row - Sticky Throttle,3,Empty,UI,True,"[0.000,1440.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI
R22_Helicopter_V2/Graphics_Group,HelicopterPhysics,R22_Helicopter_V2,1,Empty,Default,True,"[0.810,0.890,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
R22_Helicopter_V2/Audio Group,HelicopterPhysics,R22_Helicopter_V2,1,Empty,Default,True,"[0.810,0.890,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
Canvas/Panel/Row - INFO/Text (TMP) - Content,HelicopterPhysics,Canvas/Panel/Row - INFO,3,Empty,UI,True,"[0.000,1440.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI
Level_Manager/Geo_GRP,HelicopterPhysics,Level_Manager,1,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
Canvas,HelicopterPhysics,None,0,Empty,UI,True,"[1720.000,720.000,0.000]","[0.000,0.000,0.000]","[1.333,1.333,1.333]",False,False,False,RectTransform|Canvas|CanvasScaler|GraphicRaycaster
Level_Manager,HelicopterPhysics,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform
Canvas/Panel/Row - Cyclic/Text (TMP) - Content,HelicopterPhysics,Canvas/Panel/Row - Cyclic,3,Empty,UI,True,"[0.000,1440.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI
Canvas/Panel/Row - Cyclic,HelicopterPhysics,Canvas/Panel,2,Empty,UI,True,"[0.000,1440.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|HorizontalLayoutGroup
Canvas/Panel/Row - Collective/Text (TMP) - Content,HelicopterPhysics,Canvas/Panel/Row - Collective,3,Empty,UI,True,"[0.000,1440.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI
HeliPad_001,HelicopterPhysics,None,0,Mesh,Default,True,"[1.550,0.000,-0.670]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
Canvas/Panel/Row - Cyclic/Text (TMP) - Title,HelicopterPhysics,Canvas/Panel/Row - Cyclic,3,Empty,UI,True,"[0.000,1440.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI
Canvas/Panel/Row - Sticky Collective/Text (TMP) - Content,HelicopterPhysics,Canvas/Panel/Row - Sticky Collective,3,Empty,UI,True,"[0.000,1440.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI
