ObjectName,"ObjectType (from static file, if available)",StartFrame (first frame where object is relevant),EndFrame (last frame where object is relevant),"StartPosition (x,y,z at StartFrame)","EndPosition (x,y,z at EndFrame)",AvgSpeed (avg world units per frame),VisibilityRatio (fraction of frames visible),SizeChange (grow/shrink/stable),RelativeSize (approx. size compared to average scene object),PathSummary (detailed 3D path narrative),MovementSummary (short overall description)
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo,Mesh,1,8,"[0.18,1.812,0.306]","[-15.168,1.599,9.968]",21.499418426017947,1.0,grow,huge,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.13 units right-backward. Frame 4→5: quickly rises 32.05 units, moves 11.10 units right-forward. Frame 5→6: quickly descends 31.58 units, moves 7.63 units left-backward. Frame 6→7: quickly rises 38.35 units, moves 20.91 units left-backward. Frame 7→8: quickly descends 38.72 units, moves 4.29 units right-backward.",Very large object moves quickly along a complex 3D path.
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_LBlade_Geo,Empty,1,8,"[0.684,3.162,-0.294]","[-13.634,2.22,9.882]",21.492217783326087,1.0,grow,huge,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units, moves 0.25 units right-forward. Frame 3→4: quickly rises 0.56 units, moves 0.08 units left-backward. Frame 4→5: quickly rises 31.58 units, moves 11.31 units right-forward. Frame 5→6: quickly descends 31.41 units, moves 8.40 units left-backward. Frame 6→7: quickly rises 38.03 units, moves 21.44 units left-backward. Frame 7→8: quickly descends 38.84 units, moves 5.70 units right-backward.",Very large object moves quickly along a complex 3D path.
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_RBlade_Geo,Empty,1,8,"[0.933,3.162,-0.299]","[-13.789,2.337,10.038]",21.44156348430595,1.0,grow,huge,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units, moves 0.25 units left-backward. Frame 3→4: quickly rises 0.56 units, moves 0.07 units left-forward. Frame 4→5: quickly rises 31.53 units, moves 11.26 units right-forward. Frame 5→6: quickly descends 31.29 units, moves 8.23 units left-backward. Frame 6→7: quickly rises 37.95 units, moves 21.56 units left-backward. Frame 7→8: quickly descends 38.70 units, moves 5.82 units right-backward.",Very large object moves quickly along a complex 3D path.
R22_Helicopter_V2/Collider Group/Tail_COL,Empty,1,8,"[0.81,2.004,-1.535]","[-13.546,0.715,9.326]",21.42659242859438,1.0,grow,huge,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.25 units left-backward. Frame 4→5: quickly rises 31.60 units, moves 9.33 units left-forward. Frame 5→6: quickly descends 31.59 units, moves 7.40 units left-backward. Frame 6→7: quickly rises 38.01 units, moves 21.78 units left-backward. Frame 7→8: quickly descends 39.00 units, moves 4.93 units right-forward. Lands back near the ground.",Very large object descends along a 3D path and comes down near the ground.
R22_Helicopter_V2/Collider Group/Mast_COL,Empty,1,8,"[0.81,2.62,-0.29]","[-14.006,1.827,10.02]",21.423840279923972,1.0,stable,huge,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Frame 3→4: quickly rises 0.56 units, moves 0.04 units left-backward. Frame 4→5: quickly rises 31.62 units, moves 11.06 units right-forward. Frame 5→6: quickly descends 31.26 units, moves 7.97 units left-backward. Frame 6→7: quickly rises 37.92 units, moves 21.60 units left-backward. Frame 7→8: quickly descends 38.76 units, moves 5.39 units right-backward.",Very large object moves quickly along a complex 3D path.
R22_Helicopter_V2/Collider Group/Fuselage_COL,Empty,1,8,"[0.81,1.675,0.0]","[-14.695,1.173,10.292]",21.36265062204792,1.0,grow,huge,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.01 units right-forward. Frame 4→5: quickly rises 31.75 units, moves 11.00 units right-forward. Frame 5→6: quickly descends 31.03 units, moves 7.49 units left-backward. Frame 6→7: quickly rises 37.76 units, moves 21.77 units left-backward. Frame 7→8: quickly descends 38.67 units, moves 4.97 units right-backward. Lands back near the ground.",Very large object descends along a 3D path and comes down near the ground.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Chairs_Geo,Mesh,1,8,"[0.803,1.187,0.336]","[-15.174,0.926,10.541]",21.337846286536863,1.0,grow,huge,"Starts near the ground. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.07 units right-forward. Frame 4→5: quickly rises 31.84 units, moves 11.21 units right-forward. Frame 5→6: quickly descends 30.85 units, moves 7.29 units left-backward. Frame 6→7: quickly rises 37.66 units, moves 21.87 units left-backward. Frame 7→8: quickly descends 38.60 units, moves 4.98 units right-backward. Lands back near the ground.","Very large object takes off, flies along a 3D path, and lands again."
R22_Helicopter_V2/Graphics_Group/R22_Mechanical_Group/R22_Mechanical_Motor_Geo,Mesh,1,8,"[0.803,0.882,0.244]","[-15.278,0.627,10.516]",21.321212996102954,1.0,grow,huge,"Starts near the ground. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.06 units right-forward. Frame 4→5: quickly rises 31.87 units, moves 10.96 units right-forward. Frame 5→6: quickly descends 30.84 units, moves 7.13 units left-backward. Frame 6→7: quickly rises 37.63 units, moves 21.91 units left-backward. Frame 7→8: quickly descends 38.61 units, moves 4.82 units right-backward. Lands back near the ground.","Very large object takes off, flies along a 3D path, and lands again."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Windshield_Geo,Mesh,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",21.32008018743839,1.0,grow,huge,"Starts near the ground. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.01 units right-forward. Frame 4→5: quickly rises 31.85 units, moves 10.67 units right-forward. Frame 5→6: quickly descends 30.91 units, moves 7.10 units left-backward. Frame 6→7: quickly rises 37.66 units, moves 21.90 units left-backward. Frame 7→8: quickly descends 38.66 units, moves 4.65 units right-backward. Lands back near the ground.","Very large object takes off, flies along a 3D path, and lands again."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Geo,Mesh,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",21.32008018743839,1.0,grow,huge,"Starts near the ground. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.01 units right-forward. Frame 4→5: quickly rises 31.85 units, moves 10.67 units right-forward. Frame 5→6: quickly descends 30.91 units, moves 7.10 units left-backward. Frame 6→7: quickly rises 37.66 units, moves 21.90 units left-backward. Frame 7→8: quickly descends 38.66 units, moves 4.65 units right-backward. Lands back near the ground.","Very large object takes off, flies along a 3D path, and lands again."
