ObjectName,"ObjectType (from static file, if available)",StartFrame,EndFrame,StartPosition,EndPosition,AvgSpeed,VisibilityRatio,SizeChange,RelativeSize,PathSummary
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo,Mesh,1,8,"[0.18,1.812,0.306]","[-15.168,1.599,9.968]",21.499418426017947,1.0,grow,huge,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_LBlade_Geo,Empty,1,8,"[0.684,3.162,-0.294]","[-13.634,2.22,9.882]",21.492217783326087,1.0,grow,huge,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: remains nearly still; descends and shifts slightly; ascends and shifts slightly; moves across the scene."
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_RBlade_Geo,Empty,1,8,"[0.933,3.162,-0.299]","[-13.789,2.337,10.038]",21.44156348430595,1.0,grow,huge,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: remains nearly still; descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Collider Group/Tail_COL,Empty,1,8,"[0.81,2.004,-1.535]","[-13.546,0.715,9.326]",21.42659242859438,1.0,grow,huge,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: remains nearly still; descends and shifts slightly; ascends and shifts slightly; moves across the scene."
R22_Helicopter_V2/Collider Group/Mast_COL,Empty,1,8,"[0.81,2.62,-0.29]","[-14.006,1.827,10.02]",21.423840279923972,1.0,stable,huge,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Collider Group/Fuselage_COL,Empty,1,8,"[0.81,1.675,0.0]","[-14.695,1.173,10.292]",21.36265062204792,1.0,grow,huge,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Chairs_Geo,Mesh,1,8,"[0.803,1.187,0.336]","[-15.174,0.926,10.541]",21.337846286536863,1.0,grow,huge,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Graphics_Group/R22_Mechanical_Group/R22_Mechanical_Motor_Geo,Mesh,1,8,"[0.803,0.882,0.244]","[-15.278,0.627,10.516]",21.321212996102954,1.0,grow,huge,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Windshield_Geo,Mesh,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",21.32008018743839,1.0,grow,huge,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Geo,Mesh,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",21.32008018743839,1.0,grow,huge,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo,Mesh,1,8,"[1.413,1.796,0.312]","[-14.492,1.266,10.944]",21.260017042895516,1.0,grow,huge,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Double-side blur quad,Mesh,1,8,"[0.809,3.153,-0.297]","[-13.717,2.272,9.961]",21.460636465904322,0.625,grow,huge,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: remains nearly still; descends and shifts slightly; ascends and shifts slightly; moves across the scene."
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Blur Quad,Mesh,1,8,"[0.809,3.153,-0.297]","[-13.717,2.272,9.961]",21.460636465904322,0.625,grow,huge,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: remains nearly still; descends and shifts slightly; ascends and shifts slightly; moves across the scene."
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Double-side blur quad,Mesh,1,8,"[0.537,2.062,-2.237]","[-13.223,0.5,8.678]",21.53052567460779,0.625,grow,large,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: remains nearly still; descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Blur quad,Mesh,1,8,"[0.537,2.062,-2.237]","[-13.223,0.5,8.678]",21.53052567460779,0.625,grow,large,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: remains nearly still; descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Collider Group/L_Skid_COL,Empty,1,8,"[0.068,0.923,0.0]","[-15.512,0.736,9.784]",21.478101428869458,1.0,grow,medium,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Cockpit_LDoor_Geo,Mesh,1,8,"[0.268,1.616,0.107]","[-15.098,1.317,9.936]",21.469868157200715,1.0,grow,medium,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_Mast_Geo,Mesh,1,8,"[0.809,3.024,-0.297]","[-13.786,2.163,9.974]",21.45177450013985,1.0,grow,medium,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: remains nearly still; descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo/R22_Body_RDoorGlass_Geo,Mesh,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",21.32008018743839,1.0,grow,medium,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Body_LDoorGlass_Geo,Mesh,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",21.32008018743839,1.0,grow,medium,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo/R22_Cockpit_RDoor_Geo,Mesh,1,8,"[1.339,1.617,0.107]","[-14.499,1.038,10.78]",21.260620600182808,1.0,grow,medium,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
R22_Helicopter_V2/Collider Group/R_Skid_COL,Empty,1,8,"[1.541,0.923,0.0]","[-14.69,0.352,10.944]",21.18562804890496,1.0,grow,medium,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and shifts slightly; ascends and moves across the scene; descends and moves across the scene."
Canvas/Panel/Row - INFO/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,899.933,0.0]",86.62193945802291,0.0,unknown,unknown,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and moves across the scene; remains nearly still."
Canvas/Panel/Row - INFO,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,933.267,0.0]",82.40896377066697,0.0,unknown,unknown,"Overall: moves quickly along a long, primarily vertical path with large vertical variation. Phases: descends and moves across the scene; remains nearly still."
Canvas/Panel/Row - Pedal/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1073.333,0.0]",80.10398621753336,0.0,unknown,unknown,"Overall: moves quickly along a long, multi-directional path with large vertical variation. Phases: descends and moves across the scene; remains nearly still."
Canvas/Panel/Row - Cyclic/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1140.0,0.0]",74.22677509373776,0.0,unknown,unknown,"Overall: moves quickly along a long, primarily horizontal path with large vertical variation. Phases: descends and moves across the scene; remains nearly still."
