ObjectName (Name of the Object),ObjectCategory (Potential Object Type),StartFrame (Frame where the object first appears),EndFrame (Frame where the object last appears),"StartPosition [x,y,z] at first valid position","EndPosition [x,y,z] at last valid position","PathLength (Sum of all displacements, added stepwise with abs value)",NetDisplacement (Vector value of end position - start position),AvgSpeed (Mean step speed over valid steps),VisibilityRatio (Percentage of frames where the object is visible),"SizeChange (Change in perceived size of the object, can be due to camera movement)",RelativeSize (Compared to other objects in the game),"MotionPhases (Symbolic phase sequence, e.g. STILL_LOW;ASCEND_MID)",DistBand (Categorical range of total distance covered: none/short/medium/long),SpeedBand (Categorical range of average movement speed: none/slow/medium/fast),VertBand (Categorical range of vertical displacement: none/flat/moderate/large),"PathSummary (Short, deterministic natural-language description)"
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo,Mesh,1,8,"[0.18,1.812,0.306]","[-15.168,1.599,9.968]",150.49592898212563,18.13727424394305,21.499418426017947,1.0,grow,huge,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_LBlade_Geo,Empty,1,8,"[0.684,3.162,-0.294]","[-13.634,2.22,9.882]",150.4455244832826,17.591005201522737,21.492217783326087,1.0,grow,huge,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_RBlade_Geo,Empty,1,8,"[0.933,3.162,-0.299]","[-13.789,2.337,10.038]",150.09094439014163,18.0075394765637,21.44156348430595,1.0,grow,huge,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Collider Group/Tail_COL,Empty,1,8,"[0.81,2.004,-1.535]","[-13.546,0.715,9.326]",149.98614700016066,18.047647436715955,21.42659242859438,1.0,grow,huge,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Collider Group/Mast_COL,Empty,1,8,"[0.81,2.62,-0.29]","[-14.006,1.827,10.02]",149.9668819594678,18.067617579526086,21.423840279923972,1.0,stable,huge,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Collider Group/Fuselage_COL,Empty,1,8,"[0.81,1.675,0.0]","[-14.695,1.173,10.292]",149.53855435433545,18.61672079073004,21.36265062204792,1.0,grow,huge,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Chairs_Geo,Mesh,1,8,"[0.803,1.187,0.336]","[-15.174,0.926,10.541]",149.36492400575804,18.959817377812477,21.337846286536863,1.0,grow,huge,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,moderate,Overall: moves slowly over a short distance with moderate vertical variation. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Mechanical_Group/R22_Mechanical_Motor_Geo,Mesh,1,8,"[0.803,0.882,0.244]","[-15.278,0.627,10.516]",149.24849097272067,19.08343705939787,21.321212996102954,1.0,grow,huge,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,moderate,Overall: moves slowly over a short distance with moderate vertical variation. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Windshield_Geo,Mesh,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",149.24056131206873,19.00854108026179,21.32008018743839,1.0,grow,huge,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Geo,Mesh,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",149.24056131206873,19.00854108026179,21.32008018743839,1.0,grow,huge,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo,Mesh,1,8,"[1.413,1.796,0.312]","[-14.492,1.266,10.944]",148.8201193002686,19.13868723293215,21.260017042895516,1.0,grow,huge,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Double-side blur quad,Mesh,1,8,"[0.809,3.153,-0.297]","[-13.717,2.272,9.961]",150.22445526133026,17.804701654338384,21.460636465904322,0.625,grow,huge,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Blur Quad,Mesh,1,8,"[0.809,3.153,-0.297]","[-13.717,2.272,9.961]",150.22445526133026,17.804701654338384,21.460636465904322,0.625,grow,huge,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
Canvas/Panel/Row - INFO/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,899.933,0.0]",606.3535762061604,606.3535762061604,606.3535762061604,0.0,unknown,unknown,STILL_HIGH;DESCEND_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves downward in a high region; stays mostly still in a high region.
Canvas/Panel/Row - INFO,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,933.267,0.0]",576.8627463946688,576.8627463946688,576.8627463946688,0.0,unknown,unknown,STILL_HIGH;DESCEND_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves downward in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Pedal/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1073.333,0.0]",560.7279035227335,560.7279035227335,560.7279035227335,0.0,unknown,unknown,STILL_HIGH;HORIZ_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves across the scene in a high region; stays mostly still in a high region.
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Double-side blur quad,Mesh,1,8,"[0.537,2.062,-2.237]","[-13.223,0.5,8.678]",150.71367972225454,17.6327725840266,21.53052567460779,0.625,grow,large,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Blur quad,Mesh,1,8,"[0.537,2.062,-2.237]","[-13.223,0.5,8.678]",150.71367972225454,17.6327725840266,21.53052567460779,0.625,grow,large,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Collider Group/L_Skid_COL,Empty,1,8,"[0.068,0.923,0.0]","[-15.512,0.736,9.784]",150.3467100020862,18.39831581966132,21.478101428869458,1.0,grow,medium,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Cockpit_LDoor_Geo,Mesh,1,8,"[0.268,1.616,0.107]","[-15.098,1.317,9.936]",150.289077100405,18.243152085097577,21.469868157200715,1.0,grow,medium,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_Mast_Geo,Mesh,1,8,"[0.809,3.024,-0.297]","[-13.786,2.163,9.974]",150.16242150097895,17.86753444099101,21.45177450013985,1.0,grow,medium,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Body_LDoorGlass_Geo,Mesh,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",149.24056131206873,19.00854108026179,21.32008018743839,1.0,grow,medium,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo/R22_Body_RDoorGlass_Geo,Mesh,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",149.24056131206873,19.00854108026179,21.32008018743839,1.0,grow,medium,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo/R22_Cockpit_RDoor_Geo,Mesh,1,8,"[1.339,1.617,0.107]","[-14.499,1.038,10.78]",148.82434420127964,19.107339270552558,21.260620600182808,1.0,grow,medium,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Collider Group/R_Skid_COL,Empty,1,8,"[1.541,0.923,0.0]","[-14.69,0.352,10.944]",148.29939634233472,19.584242083879577,21.18562804890496,1.0,grow,medium,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
Canvas/Panel/Row - Cyclic/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1140.0,0.0]",519.5874256561643,519.5874256561643,519.5874256561643,0.0,unknown,unknown,STILL_HIGH;HORIZ_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves across the scene in a high region; stays mostly still in a high region.
Canvas/Panel/Row - INFO/Text (TMP) - Title,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,1006.667,0.0]",513.5852254280685,513.5852254280685,513.5852254280685,0.0,unknown,unknown,STILL_HIGH;DESCEND_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves downward in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Sticky Collective/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1206.667,0.0]",484.16462261197904,484.16462261197904,484.16462261197904,0.0,unknown,unknown,STILL_HIGH;HORIZ_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves across the scene in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Pedal,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,1073.333,0.0]",458.7341101095491,458.7341101095491,458.7341101095491,0.0,unknown,unknown,STILL_HIGH;DESCEND_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves downward in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Collective/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1273.333,0.0]",455.7948900426594,455.7948900426594,455.7948900426594,0.0,unknown,unknown,STILL_HIGH;HORIZ_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves across the scene in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Sticky Throttle/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1340.0,0.0]",435.85673437495495,435.85673437495495,435.85673437495495,0.0,unknown,unknown,STILL_HIGH;HORIZ_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves across the scene in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Raw Throttle/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1406.667,0.0]",425.537521011955,425.537521011955,425.537521011955,0.0,unknown,unknown,STILL_HIGH;HORIZ_HIGH;STILL_HIGH,long,fast,flat,Overall: moves quickly over a long distance with almost no vertical change. Phases: stays mostly still in a high region; moves across the scene in a high region; stays mostly still in a high region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Handle01_Geo,Mesh,1,8,"[0.803,1.763,0.382]","[-14.894,1.432,10.51]",149.5922347146245,18.68372965978688,21.37031924494636,1.0,grow,small,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_PannelButtons_Geo,Mesh,1,8,"[0.806,1.586,0.643]","[-15.153,1.408,10.689]",149.54187485793904,18.85851216294647,21.363124979705578,1.0,grow,small,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,moderate,Overall: moves slowly over a short distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
Canvas/Panel/Row - Cyclic,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,1140.0,0.0]",407.4215199139584,407.4215199139584,407.4215199139584,0.0,unknown,unknown,STILL_HIGH;DESCEND_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves downward in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Pedal/Text (TMP) - Title,Empty,1,8,"[0.0,1440.0,0.0]","[148.563,1073.333,0.0]",395.62059331890185,395.62059331890185,395.62059331890185,0.0,unknown,unknown,STILL_HIGH;DESCEND_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves downward in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Sticky Collective,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,1206.667,0.0]",361.1600528546866,361.1600528546866,361.1600528546866,0.0,unknown,unknown,STILL_HIGH;HORIZ_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves across the scene in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Cyclic/Text (TMP) - Title,Empty,1,8,"[0.0,1440.0,0.0]","[148.563,1140.0,0.0]",334.77001802580827,334.77001802580827,334.77001802580827,0.0,unknown,unknown,STILL_HIGH;DESCEND_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves downward in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Collective,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,1273.333,0.0]",322.13379794427027,322.13379794427027,322.13379794427027,0.0,unknown,unknown,STILL_HIGH;HORIZ_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves across the scene in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Sticky Throttle,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,1340.0,0.0]",293.2444285728204,293.2444285728204,293.2444285728204,0.0,unknown,unknown,STILL_HIGH;HORIZ_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves across the scene in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Raw Throttle,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,1406.667,0.0]",277.6749606608417,277.6749606608417,277.6749606608417,0.0,unknown,unknown,STILL_HIGH;HORIZ_HIGH;STILL_HIGH,long,fast,flat,Overall: moves quickly over a long distance with almost no vertical change. Phases: stays mostly still in a high region; moves across the scene in a high region; stays mostly still in a high region.
Canvas/Panel/Row - Sticky Collective/Text (TMP) - Title,Empty,1,8,"[0.0,1440.0,0.0]","[148.563,1206.667,0.0]",276.61390756431615,276.61390756431615,276.61390756431615,0.0,unknown,unknown,STILL_HIGH;DESCEND_HIGH;STILL_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: stays mostly still in a high region; moves downward in a high region; stays mostly still in a high region.
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_LTailBlade_Geo,Mesh,1,8,"[0.542,2.033,-2.236]","[-13.227,0.524,8.696]",150.71128542646437,17.645709563517133,21.530183632352053,1.0,grow,tiny,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_RTailBlade_Geo,Mesh,1,8,"[0.542,2.084,-2.236]","[-13.213,0.48,8.672]",150.70061290786066,17.62830976015568,21.528658986837236,1.0,grow,tiny,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_TailMast_Geo,Mesh,1,8,"[0.743,2.062,-2.237]","[-13.108,0.446,8.84]",150.42007857956233,17.80903102361271,21.48858265422319,1.0,grow,tiny,STILL_MID;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever02_Geo,Mesh,1,8,"[0.529,1.218,0.659]","[-15.515,1.179,10.518]",149.78977212382614,18.831126838296218,21.398538874832305,1.0,grow,tiny,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle01_Geo,Mesh,1,8,"[0.661,1.689,0.782]","[-15.267,1.598,10.648]",149.79911595514454,18.736259525316147,21.39987370787779,1.0,grow,tiny,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle03_Geo,Mesh,1,8,"[0.708,1.596,0.769]","[-15.282,1.502,10.687]",149.69722190947323,18.81636681190075,21.385317415639033,1.0,grow,tiny,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever01_Geo,Mesh,1,8,"[0.647,1.218,0.659]","[-15.449,1.148,10.612]",149.6207476468514,18.92480713243863,21.374392520978773,1.0,grow,tiny,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle04_Geo,Mesh,1,8,"[0.746,1.524,0.722]","[-15.269,1.409,10.696]",149.60733183092213,18.867276592025675,21.37247597584602,1.0,grow,tiny,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle05_Geo,Mesh,1,8,"[0.746,1.518,0.655]","[-15.23,1.371,10.656]",149.59926620638197,18.848718417972083,21.37132374376885,1.0,grow,tiny,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Needle02_Geo,Mesh,1,8,"[0.948,1.689,0.782]","[-15.106,1.523,10.875]",149.41127193260962,18.963837190821902,21.34446741894423,1.0,grow,tiny,STILL_MID;STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,moderate,Overall: moves slowly over a short distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Hanlde02_Geo,Mesh,1,8,"[0.803,1.35,0.39]","[-15.12,1.089,10.557]",149.42835643835622,18.893859822704307,21.346908062622315,1.0,grow,tiny,STILL_LOW;ASCEND_MID;DESCEND_MID;ASCEND_MID;DESCEND_MID,short,slow,moderate,Overall: moves slowly over a short distance with moderate vertical variation. Phases: stays mostly still in a low region; moves upward in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region.
