ObjectName (Name of the Object),ObjectCategory (Potential Object Type),StartFrame (Frame where the object first appears),EndFrame (Frame where the object last appears),"StartPosition [x,y,z] at first valid position","EndPosition [x,y,z] at last valid position","PathLength (Sum of all displacements, added stepwise with abs value)",NetDisplacement (Vector value of end position - start position),AvgSpeed (Mean step speed over valid steps),VisibilityRatio (Percentage of frames where the object is visible),"SizeChange (Change in perceived size of the object, can be due to camera movement)",RelativeSize (Compared to other objects in the game),"MotionPhases (Symbolic phase sequence, e.g. STILL_LOW;ASCEND_MID)",PhaseTimeline (Motion phases with approximate relative durations),PathTrace (Downsampled key positions along the trajectory),MaxSpeedEvent (Notable peak speed moment),LargestVerticalChangeEvent (Notable vertical excursion),DistBand (Categorical range of total distance covered: none/short/medium/long),SpeedBand (Categorical range of average movement speed: none/slow/medium/fast),VertBand (Categorical range of vertical displacement: none/flat/moderate/large),"PathSummary (Short, deterministic natural-language description from core stats)",SemanticRole (Heuristic high-level role: Player/Enemy/Projectile/etc.),InteractionSummary (Close-approach / touch events with other objects),"NarrativeSummary (Compact narrative description using motion, phases & interactions)"
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_RBlade_Geo,Empty,1,17,"[0.933,3.162,-0.299]","[4.583,2.289,-4.745]",29.287305922110473,5.818208057469241,1.8304566201319046,1.0,grow,huge,STILL_MID;DESCEND_MID;HORIZ_MID;ASCEND_HIGH;DESCEND_HIGH;HORIZ_MID,STILL_MID:0.06;DESCEND_MID:0.06;HORIZ_MID:0.38;ASCEND_MID:0.12;ASCEND_HIGH:0.06;DESCEND_HIGH:0.12;DESCEND_MID:0.12;HORIZ_MID:0.06,"f1:[0.933,3.162,-0.299];f2:[0.933,3.158,-0.299];f3:[0.933,2.289,-0.299];f5:[0.791,2.289,-0.420];f6:[0.924,2.289,-0.250];f8:[0.875,2.289,-0.402];f9:[0.868,2.289,-0.187];f11:[1.570,8.505,-1.519];f12:[2.599,14.704,-3.152];f14:[2.732,10.879,-4.236];f15:[3.853,8.365,-3.994];f17:[4.583,2.289,-4.745]",Peak speed ~6.493 between frames 11-12.,Vertical span from 2.230 (f16) to 14.704 (f12).,long,slow,flat,Overall: moves slowly over a long distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves downward in a mid-height region; moves across the scene in a mid-height region; moves upward in a high region.,DynamicObject,moves close to R22_Helicopter_V2/Camera LookAt Target; moves close to R22_Helicopter_V2/Collider Group/Mast_COL; touches R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast.,"As a DynamicObject, this object moves broadly across the scene with almost no vertical change. Its motion phases over time: STILL_MID:0.06;DESCEND_MID:0.06;HORIZ_MID:0.38;ASCEND_MID:0.12;ASCEND_HIGH:0.06;DESCEND_HIGH:0.12;DESCEND_MID:0.12;HORIZ_MID:0.06. Key positions along its path: f1:[0.933,3.162,-0.299];f2:[0.933,3.158,-0.299];f3:[0.933,2.289,-0.299];f5:[0.791,2.289,-0.420];f6:[0.924,2.289,-0.250];f8:[0.875,2.289,-0.402];f9:[0.868,2.289,-0.187];f11:[1.570,8.505,-1.519];f12:[2.599,14.704,-3.152];f14:[2.732,10.879,-4.236];f15:[3.853,8.365,-3.994];f17:[4.583,2.289,-4.745]. It moves close to R22_Helicopter_V2/Camera LookAt Target; moves close to R22_Helicopter_V2/Collider Group/Mast_COL; touches R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast. Notable moments: Peak speed ~6.493 between frames 11-12. Vertical span from 2.230 (f16) to 14.704 (f12)."
R22_Helicopter_V2/Graphics_Group/R22_Mechanical_Group/R22_Mechanical_Motor_Geo,Mesh,1,17,"[0.803,0.882,0.244]","[4.988,0.009,-4.904]",28.95209445315612,6.691655848891214,2.895209445315612,1.0,grow,huge,STILL_LOW;DESCEND_LOW;ASCEND_LOW;DESCEND_HIGH;HORIZ_MID;DESCEND_LOW,STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06,"f1:[0.803,0.882,0.244];f2:[0.803,0.878,0.244];f3:[0.803,0.009,0.244];f5:[0.803,0.009,0.244];f6:[0.803,0.009,0.244];f8:[0.803,0.009,0.244];f9:[0.803,0.009,0.244];f11:[1.962,6.241,-1.000];f12:[3.557,12.657,-3.665];f14:[2.451,8.581,-3.925];f15:[4.758,6.824,-5.485];f17:[4.988,0.009,-4.904]",Peak speed ~7.128 between frames 11-12.,Vertical span from 0.009 (f3) to 12.657 (f12).,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: stays mostly still in a low region; moves downward in a low region; moves upward in a low region; moves downward in a high region.,DynamicObject,touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group; moves close to R22_Helicopter_V2/COG.,"As a DynamicObject, this object moves steadily over a medium distance with some vertical variation. Its motion phases over time: STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06. Key positions along its path: f1:[0.803,0.882,0.244];f2:[0.803,0.878,0.244];f3:[0.803,0.009,0.244];f5:[0.803,0.009,0.244];f6:[0.803,0.009,0.244];f8:[0.803,0.009,0.244];f9:[0.803,0.009,0.244];f11:[1.962,6.241,-1.000];f12:[3.557,12.657,-3.665];f14:[2.451,8.581,-3.925];f15:[4.758,6.824,-5.485];f17:[4.988,0.009,-4.904]. It touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group; moves close to R22_Helicopter_V2/COG. Notable moments: Peak speed ~7.128 between frames 11-12. Vertical span from 0.009 (f3) to 12.657 (f12)."
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Chairs_Geo,Mesh,1,17,"[0.803,1.187,0.336]","[5.068,0.314,-4.95]",28.748224092882353,6.84793034427191,2.8748224092882353,1.0,grow,huge,STILL_MID;DESCEND_LOW;ASCEND_LOW;DESCEND_HIGH;HORIZ_MID;DESCEND_LOW,STILL_MID:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06,"f1:[0.803,1.187,0.336];f2:[0.803,1.183,0.336];f3:[0.803,0.314,0.336];f5:[0.803,0.314,0.336];f6:[0.803,0.314,0.336];f8:[0.803,0.314,0.336];f9:[0.803,0.314,0.336];f11:[2.079,6.533,-1.051];f12:[3.561,12.974,-3.648];f14:[2.622,8.828,-4.028];f15:[4.756,7.109,-5.345];f17:[5.068,0.314,-4.950]",Peak speed ~7.101 between frames 11-12.,Vertical span from 0.314 (f3) to 12.974 (f12).,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; moves downward in a low region; moves upward in a low region; moves downward in a high region.,DynamicObject,moves close to R22_Helicopter_V2; moves close to R22_Helicopter_V2/Audio Group; moves close to R22_Helicopter_V2/COG.,"As a DynamicObject, this object moves steadily over a medium distance with some vertical variation. Its motion phases over time: STILL_MID:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06. Key positions along its path: f1:[0.803,1.187,0.336];f2:[0.803,1.183,0.336];f3:[0.803,0.314,0.336];f5:[0.803,0.314,0.336];f6:[0.803,0.314,0.336];f8:[0.803,0.314,0.336];f9:[0.803,0.314,0.336];f11:[2.079,6.533,-1.051];f12:[3.561,12.974,-3.648];f14:[2.622,8.828,-4.028];f15:[4.756,7.109,-5.345];f17:[5.068,0.314,-4.950]. It moves close to R22_Helicopter_V2; moves close to R22_Helicopter_V2/Audio Group; moves close to R22_Helicopter_V2/COG. Notable moments: Peak speed ~7.101 between frames 11-12. Vertical span from 0.314 (f3) to 12.974 (f12)."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Windshield_Geo,Mesh,1,17,"[0.81,0.89,0.0]","[4.774,0.017,-4.788]",28.627907297632042,6.276971323815332,2.8627907297632045,1.0,grow,huge,STILL_LOW;DESCEND_LOW;ASCEND_LOW;DESCEND_HIGH;HORIZ_MID;DESCEND_LOW,STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06,"f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]",Peak speed ~7.019 between frames 11-12.,Vertical span from 0.017 (f3) to 12.592 (f12).,short,medium,flat,Overall: moves at a moderate speed over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves downward in a low region; moves upward in a low region; moves downward in a high region.,DynamicObject,moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group.,"As a DynamicObject, this object shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06. Key positions along its path: f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]. It moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group. Notable moments: Peak speed ~7.019 between frames 11-12. Vertical span from 0.017 (f3) to 12.592 (f12)."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Geo,Mesh,1,17,"[0.81,0.89,0.0]","[4.774,0.017,-4.788]",28.627907297632042,6.276971323815332,2.8627907297632045,1.0,grow,huge,STILL_LOW;DESCEND_LOW;ASCEND_LOW;DESCEND_HIGH;HORIZ_MID;DESCEND_LOW,STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06,"f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]",Peak speed ~7.019 between frames 11-12.,Vertical span from 0.017 (f3) to 12.592 (f12).,short,medium,flat,Overall: moves at a moderate speed over a short distance with almost no vertical change. Phases: stays mostly still in a low region; moves downward in a low region; moves upward in a low region; moves downward in a high region.,DynamicObject,moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group.,"As a DynamicObject, this object shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_LOW:0.06;DESCEND_LOW:0.06;STILL_LOW:0.38;ASCEND_LOW:0.06;ASCEND_MID:0.12;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;DESCEND_LOW:0.06. Key positions along its path: f1:[0.810,0.890,0.000];f2:[0.810,0.886,0.000];f3:[0.810,0.017,0.000];f5:[0.810,0.017,0.000];f6:[0.810,0.017,0.000];f8:[0.810,0.017,0.000];f9:[0.810,0.017,0.000];f11:[1.720,6.267,-1.011];f12:[3.335,12.592,-3.590];f14:[2.256,8.680,-3.817];f15:[4.554,6.714,-5.408];f17:[4.774,0.017,-4.788]. It moves close to HeliPad_001; touches R22_Helicopter_V2; touches R22_Helicopter_V2/Audio Group. Notable moments: Peak speed ~7.019 between frames 11-12. Vertical span from 0.017 (f3) to 12.592 (f12)."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo,Mesh,1,17,"[0.18,1.812,0.306]","[5.354,0.939,-4.395]",28.361845495450986,7.0449844570446,2.8361845495450986,1.0,grow,huge,STILL_MID;DESCEND_MID;STILL_MID;ASCEND_MID;DESCEND_HIGH;HORIZ_MID,STILL_MID:0.06;DESCEND_MID:0.06;STILL_MID:0.38;ASCEND_MID:0.19;DESCEND_HIGH:0.06;DESCEND_MID:0.19;HORIZ_MID:0.06,"f1:[0.180,1.812,0.306];f2:[0.180,1.808,0.306];f3:[0.180,0.939,0.306];f5:[0.180,0.939,0.306];f6:[0.180,0.939,0.306];f8:[0.180,0.939,0.306];f9:[0.180,0.939,0.306];f11:[2.101,7.256,-0.544];f12:[3.598,13.528,-2.961];f14:[3.121,9.419,-3.601];f15:[4.901,7.357,-4.509];f17:[5.354,0.939,-4.395]",Peak speed ~6.886 between frames 11-12.,Vertical span from 0.939 (f3) to 13.528 (f12).,short,slow,moderate,Overall: moves slowly over a short distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; moves downward in a mid-height region; stays mostly still in a mid-height region; moves upward in a mid-height region.,Interactable,moves close to R22_Helicopter_V2/COG; moves close to R22_Helicopter_V2/Camera LookAt Target; moves close to R22_Helicopter_V2/Collider Group/Fuselage_COL.,"As a Interactable, this object shifts short across the scene with some vertical variation. Its motion phases over time: STILL_MID:0.06;DESCEND_MID:0.06;STILL_MID:0.38;ASCEND_MID:0.19;DESCEND_HIGH:0.06;DESCEND_MID:0.19;HORIZ_MID:0.06. Key positions along its path: f1:[0.180,1.812,0.306];f2:[0.180,1.808,0.306];f3:[0.180,0.939,0.306];f5:[0.180,0.939,0.306];f6:[0.180,0.939,0.306];f8:[0.180,0.939,0.306];f9:[0.180,0.939,0.306];f11:[2.101,7.256,-0.544];f12:[3.598,13.528,-2.961];f14:[3.121,9.419,-3.601];f15:[4.901,7.357,-4.509];f17:[5.354,0.939,-4.395]. It moves close to R22_Helicopter_V2/COG; moves close to R22_Helicopter_V2/Camera LookAt Target; moves close to R22_Helicopter_V2/Collider Group/Fuselage_COL. Notable moments: Peak speed ~6.886 between frames 11-12. Vertical span from 0.939 (f3) to 13.528 (f12)."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo,Mesh,1,17,"[1.413,1.796,0.312]","[4.743,0.923,-5.466]",28.305739296569264,6.725794599896729,2.830573929656927,1.0,grow,huge,STILL_MID;DESCEND_MID;ASCEND_MID;DESCEND_HIGH;HORIZ_MID;HORIZ_MID,STILL_MID:0.06;DESCEND_MID:0.06;STILL_MID:0.38;ASCEND_MID:0.19;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06,"f1:[1.413,1.796,0.312];f2:[1.413,1.792,0.312];f3:[1.413,0.923,0.312];f5:[1.413,0.923,0.312];f6:[1.413,0.923,0.312];f8:[1.413,0.923,0.312];f9:[1.413,0.923,0.312];f11:[2.102,7.029,-1.756];f12:[3.161,13.581,-4.112];f14:[2.486,9.402,-4.658];f15:[4.261,7.806,-5.463];f17:[4.743,0.923,-5.466]",Peak speed ~7.043 between frames 11-12.,Vertical span from 0.923 (f3) to 13.581 (f12).,short,slow,moderate,Overall: moves slowly over a short distance with moderate vertical variation. Phases: stays mostly still in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region; moves downward in a high region.,Interactable,moves close to R22_Helicopter_V2/COG; moves close to R22_Helicopter_V2/Camera LookAt Target; moves close to R22_Helicopter_V2/Collider Group/Fuselage_COL.,"As a Interactable, this object shifts short across the scene with some vertical variation. Its motion phases over time: STILL_MID:0.06;DESCEND_MID:0.06;STILL_MID:0.38;ASCEND_MID:0.19;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06. Key positions along its path: f1:[1.413,1.796,0.312];f2:[1.413,1.792,0.312];f3:[1.413,0.923,0.312];f5:[1.413,0.923,0.312];f6:[1.413,0.923,0.312];f8:[1.413,0.923,0.312];f9:[1.413,0.923,0.312];f11:[2.102,7.029,-1.756];f12:[3.161,13.581,-4.112];f14:[2.486,9.402,-4.658];f15:[4.261,7.806,-5.463];f17:[4.743,0.923,-5.466]. It moves close to R22_Helicopter_V2/COG; moves close to R22_Helicopter_V2/Camera LookAt Target; moves close to R22_Helicopter_V2/Collider Group/Fuselage_COL. Notable moments: Peak speed ~7.043 between frames 11-12. Vertical span from 0.923 (f3) to 13.581 (f12)."
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_LBlade_Geo,Empty,1,17,"[0.684,3.162,-0.294]","[4.451,2.289,-4.533]",28.255880995655488,5.737729428964039,1.765992562228468,1.0,grow,huge,STILL_MID;DESCEND_MID;HORIZ_MID;ASCEND_HIGH;DESCEND_HIGH;HORIZ_MID,STILL_MID:0.06;DESCEND_MID:0.06;HORIZ_MID:0.38;ASCEND_MID:0.12;ASCEND_HIGH:0.06;DESCEND_HIGH:0.12;DESCEND_MID:0.12;HORIZ_MID:0.06,"f1:[0.684,3.162,-0.294];f2:[0.684,3.158,-0.294];f3:[0.684,2.289,-0.294];f5:[0.827,2.289,-0.173];f6:[0.693,2.289,-0.343];f8:[0.743,2.289,-0.190];f9:[0.750,2.289,-0.407];f11:[1.648,8.539,-1.285];f12:[2.362,14.634,-3.119];f14:[2.778,10.914,-3.994];f15:[3.624,8.363,-4.094];f17:[4.451,2.289,-4.533]",Peak speed ~6.405 between frames 11-12.,Vertical span from 2.289 (f3) to 14.634 (f12).,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves downward in a mid-height region; moves across the scene in a mid-height region; moves upward in a high region.,DynamicObject,moves close to R22_Helicopter_V2/Camera LookAt Target; moves close to R22_Helicopter_V2/Collider Group/Mast_COL; touches R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast.,"As a DynamicObject, this object shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_MID:0.06;DESCEND_MID:0.06;HORIZ_MID:0.38;ASCEND_MID:0.12;ASCEND_HIGH:0.06;DESCEND_HIGH:0.12;DESCEND_MID:0.12;HORIZ_MID:0.06. Key positions along its path: f1:[0.684,3.162,-0.294];f2:[0.684,3.158,-0.294];f3:[0.684,2.289,-0.294];f5:[0.827,2.289,-0.173];f6:[0.693,2.289,-0.343];f8:[0.743,2.289,-0.190];f9:[0.750,2.289,-0.407];f11:[1.648,8.539,-1.285];f12:[2.362,14.634,-3.119];f14:[2.778,10.914,-3.994];f15:[3.624,8.363,-4.094];f17:[4.451,2.289,-4.533]. It moves close to R22_Helicopter_V2/Camera LookAt Target; moves close to R22_Helicopter_V2/Collider Group/Mast_COL; touches R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast. Notable moments: Peak speed ~6.405 between frames 11-12. Vertical span from 2.289 (f3) to 14.634 (f12)."
R22_Helicopter_V2/Collider Group/Fuselage_COL,Empty,1,17,"[0.81,1.675,0.0]","[4.774,0.802,-4.788]",27.928351960280946,6.276971323815332,2.792835196028095,1.0,grow,huge,STILL_MID;DESCEND_MID;ASCEND_MID;DESCEND_HIGH;HORIZ_MID;HORIZ_LOW,STILL_MID:0.06;DESCEND_MID:0.06;STILL_LOW:0.38;ASCEND_MID:0.19;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;HORIZ_LOW:0.06,"f1:[0.810,1.675,0.000];f2:[0.810,1.671,0.000];f3:[0.810,0.802,0.000];f5:[0.810,0.802,0.000];f6:[0.810,0.802,0.000];f8:[0.810,0.802,0.000];f9:[0.810,0.802,0.000];f11:[1.784,7.038,-1.145];f12:[3.131,13.340,-3.467];f14:[2.510,9.407,-3.969];f15:[4.356,7.334,-4.970];f17:[4.774,0.802,-4.788]",Peak speed ~6.850 between frames 11-12.,Vertical span from 0.802 (f3) to 13.340 (f12).,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves downward in a mid-height region; moves upward in a mid-height region; moves downward in a high region.,DynamicObject,moves close to R22_Helicopter_V2; moves close to R22_Helicopter_V2/Audio Group; touches R22_Helicopter_V2/COG.,"As a DynamicObject, this object shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_MID:0.06;DESCEND_MID:0.06;STILL_LOW:0.38;ASCEND_MID:0.19;DESCEND_HIGH:0.06;DESCEND_MID:0.06;HORIZ_MID:0.06;DESCEND_MID:0.06;HORIZ_LOW:0.06. Key positions along its path: f1:[0.810,1.675,0.000];f2:[0.810,1.671,0.000];f3:[0.810,0.802,0.000];f5:[0.810,0.802,0.000];f6:[0.810,0.802,0.000];f8:[0.810,0.802,0.000];f9:[0.810,0.802,0.000];f11:[1.784,7.038,-1.145];f12:[3.131,13.340,-3.467];f14:[2.510,9.407,-3.969];f15:[4.356,7.334,-4.970];f17:[4.774,0.802,-4.788]. It moves close to R22_Helicopter_V2; moves close to R22_Helicopter_V2/Audio Group; touches R22_Helicopter_V2/COG. Notable moments: Peak speed ~6.850 between frames 11-12. Vertical span from 0.802 (f3) to 13.340 (f12)."
R22_Helicopter_V2/Collider Group/Mast_COL,Empty,1,17,"[0.81,2.62,-0.29]","[4.523,1.747,-4.644]",27.359018751710956,5.788420682707849,2.7359018751710957,1.0,stable,huge,STILL_MID;DESCEND_MID;STILL_MID;ASCEND_HIGH;DESCEND_HIGH;HORIZ_MID,STILL_MID:0.06;DESCEND_MID:0.06;STILL_MID:0.38;ASCEND_MID:0.12;ASCEND_HIGH:0.06;DESCEND_HIGH:0.12;DESCEND_MID:0.12;HORIZ_MID:0.06,"f1:[0.810,2.620,-0.290];f2:[0.810,2.616,-0.290];f3:[0.810,1.747,-0.290];f5:[0.810,1.747,-0.290];f6:[0.810,1.747,-0.290];f8:[0.810,1.747,-0.290];f9:[0.810,1.747,-0.290];f11:[1.571,7.990,-1.310];f12:[2.627,14.155,-3.224];f14:[2.585,10.392,-4.014];f15:[3.881,7.940,-4.349];f17:[4.523,1.747,-4.644]",Peak speed ~6.541 between frames 11-12.,Vertical span from 1.747 (f3) to 14.155 (f12).,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: stays mostly still in a mid-height region; moves downward in a mid-height region; stays mostly still in a mid-height region; moves upward in a high region.,DynamicObject,moves close to R22_Helicopter_V2/COG; moves close to R22_Helicopter_V2/Camera LookAt Target; moves close to R22_Helicopter_V2/Collider Group/Fuselage_COL.,"As a DynamicObject, this object shifts short across the scene with almost no vertical change. Its motion phases over time: STILL_MID:0.06;DESCEND_MID:0.06;STILL_MID:0.38;ASCEND_MID:0.12;ASCEND_HIGH:0.06;DESCEND_HIGH:0.12;DESCEND_MID:0.12;HORIZ_MID:0.06. Key positions along its path: f1:[0.810,2.620,-0.290];f2:[0.810,2.616,-0.290];f3:[0.810,1.747,-0.290];f5:[0.810,1.747,-0.290];f6:[0.810,1.747,-0.290];f8:[0.810,1.747,-0.290];f9:[0.810,1.747,-0.290];f11:[1.571,7.990,-1.310];f12:[2.627,14.155,-3.224];f14:[2.585,10.392,-4.014];f15:[3.881,7.940,-4.349];f17:[4.523,1.747,-4.644]. It moves close to R22_Helicopter_V2/COG; moves close to R22_Helicopter_V2/Camera LookAt Target; moves close to R22_Helicopter_V2/Collider Group/Fuselage_COL. Notable moments: Peak speed ~6.541 between frames 11-12. Vertical span from 1.747 (f3) to 14.155 (f12)."
