ObjectName,FramesSeen,FirstFrame,LastFrame,PathLen,MaxStep,StartX,StartY,StartZ,EndX,EndY,EndZ,VisFrames,MedRendererSizeProd,Level,Type,Active,HasRenderer,HasCollider,StartEndDisp,VisRatio,Importance
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Geo,8,1,8,149.24056131206873,43.56850280879526,0.81,0.89,0.0,-15.115,0.515,10.372,8,16.62570993,3,Mesh,True,True,False,19.00854108026179,1.0,458.6852635307529
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Blur Quad,8,1,8,150.22445526133026,43.65266578343183,0.809,3.153,-0.297,-13.717,2.272,9.961,5,30.797074746,3,Mesh,True,True,False,17.804701654338384,0.625,401.3192133209981
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Double-side blur quad,8,1,8,150.22445526133026,43.65266578343183,0.809,3.153,-0.297,-13.717,2.272,9.961,5,30.797074746,3,Mesh,True,True,False,17.804701654338384,0.625,401.3192133209981
R22_Helicopter_V2/Graphics_Group/R22_Mechanical_Group/R22_Mechanical_Motor_Geo,8,1,8,149.2484909727207,43.55037453340672,0.803,0.882,0.244,-15.278,0.627,10.516,8,7.81421156,3,Mesh,True,True,False,19.08343705939787,1.0,385.74213099806445
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Chairs_Geo,8,1,8,149.36492400575804,43.55142032127082,0.803,1.187,0.336,-15.174,0.926,10.541,8,2.13334908,3,Mesh,True,True,False,18.959817377812477,1.0,298.0863413744367
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Windshield_Geo,8,1,8,149.24056131206873,43.56850280879526,0.81,0.89,0.0,-15.115,0.515,10.372,8,1.9628971335000003,3,Mesh,True,True,False,19.00854108026179,1.0,293.70225184503875
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_LBlade_Geo,8,1,8,150.4455244832826,43.65810873136857,0.684,3.162,-0.294,-13.634,2.22,9.882,8,0.9762862255,3,Empty,True,True,False,17.591005201522737,1.0,267.5672731570123
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_RBlade_Geo,8,1,8,150.09094439014163,43.64800972553044,0.933,3.162,-0.299,-13.789,2.337,10.038,8,0.9858050425,3,Empty,True,True,False,18.0075394765637,1.0,267.25750000443577
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo,8,1,8,150.49592898212563,43.67919676459264,0.18,1.812,0.306,-15.168,1.599,9.968,8,0.38975581800000003,3,Mesh,True,True,False,18.13727424394305,1.0,245.1041340743825
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo,8,1,8,148.8201193002686,43.48192596930362,1.413,1.796,0.312,-14.492,1.266,10.944,8,0.38975581800000003,3,Mesh,True,True,False,19.13868723293215,1.0,242.37483844676575
