FrameIndex,ObjectName,"WorldPosition (x,y,z)",RotationEuler,RendererSize,ColliderSize
1,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Geo,"[0.810,0.890,0.000]","[0.000,0.000,0.000]","[1.239,1.769,3.377]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Geo,"[0.824,0.578,-0.001]","[0.003,9.894,359.982]","[1.801,1.769,3.540]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Geo,"[-18.851,39.172,7.608]","[344.094,207.711,333.555]","[3.058,2.979,4.008]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Geo,"[-15.115,0.515,10.372]","[331.438,313.803,342.709]","[3.779,3.421,3.208]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo,"[0.180,1.812,0.306]","[0.000,0.000,0.000]","[0.220,0.856,0.731]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo,"[0.256,1.500,0.409]","[0.003,9.894,359.982]","[0.342,0.856,0.758]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo,"[-18.710,40.320,7.544]","[344.094,207.711,333.555]","[0.753,1.031,1.053]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo,"[-15.168,1.599,9.968]","[331.438,313.803,342.709]","[1.044,1.124,0.704]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Body_LDoorGlass_Geo,"[0.810,0.890,0.000]","[0.000,0.000,0.000]","[0.171,0.436,0.554]",[]
4,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Body_LDoorGlass_Geo,"[0.824,0.578,-0.001]","[0.003,9.894,359.982]","[0.263,0.436,0.575]",[]
7,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Body_LDoorGlass_Geo,"[-18.851,39.172,7.608]","[344.094,207.711,333.555]","[0.515,0.600,0.709]",[]
8,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Body_LDoorGlass_Geo,"[-15.115,0.515,10.372]","[331.438,313.803,342.709]","[0.680,0.675,0.515]",[]
1,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Cockpit_LDoor_Geo,"[0.268,1.616,0.107]","[0.000,0.000,0.000]","[0.129,0.397,0.556]",[]
