ObjectName,FrameCount (frames recorded),FirstFrame (start frame),LastFrame (end frame),TotalPathLength (total movement distance),MaxStepDistance (largest single movement),StartX,StartY,StartZ,EndX,EndY,EndZ,VisibleFrames,MedianRenderVolume (typical on-screen volume),HierarchyLevel (depth in scene tree),ObjectType (Unity class/type),IsActive (true/false),HasRenderer,HasCollider,NetDisplacement (start to end distance),VisibilityRatio (fraction visible),ImportanceScore (movement × visibility × size)
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Geo,4,1,8,83.23060367518619,43.98294376232677,0.81,0.89,0.0,-15.115,0.515,10.372,4,23.895168257999998,3,Mesh,True,True,False,19.00854108026179,1.0,278.87081770888256
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Blur Quad,4,1,8,83.6330577049346,44.12713420334477,0.809,3.153,-0.297,-13.717,2.272,9.961,3,35.112694656,3,Mesh,True,True,False,17.804701654338384,0.75,256.2730645360699
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Double-side blur quad,4,1,8,83.6330577049346,44.12713420334477,0.809,3.153,-0.297,-13.717,2.272,9.961,3,35.112694656,3,Mesh,True,True,False,17.804701654338384,0.75,256.2730645360699
R22_Helicopter_V2/Graphics_Group/R22_Mechanical_Group/R22_Mechanical_Motor_Geo,4,1,8,83.25493265150692,44.03012572091976,0.803,0.882,0.244,-15.278,0.627,10.516,4,10.590099859999999,3,Mesh,True,True,False,19.08343705939787,1.0,230.42151478914718
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Chairs_Geo,4,1,8,83.31026005249656,44.072818584701395,0.803,1.187,0.336,-15.174,0.926,10.541,4,2.831292117,3,Mesh,True,True,False,18.959817377812477,1.0,174.8340691805527
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Windshield_Geo,4,1,8,83.23060367518619,43.98294376232677,0.81,0.89,0.0,-15.115,0.515,10.372,4,2.5824492985000003,3,Mesh,True,True,False,19.00854108026179,1.0,171.75892639749054
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_RBlade_Geo,4,1,8,83.66834454137185,44.11351667006383,0.933,3.162,-0.299,-13.789,2.337,10.038,4,1.0795121,3,Empty,True,True,False,18.0075394765637,1.0,150.71025273200422
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_LBlade_Geo,4,1,8,83.77116692255208,44.14188444097058,0.684,3.162,-0.294,-13.634,2.22,9.882,4,1.068350428,3,Empty,True,True,False,17.591005201522737,1.0,150.69257509549638
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo,4,1,8,83.78587379473066,44.459769691261336,1.413,1.796,0.312,-14.492,1.266,10.944,4,0.5196975974999999,3,Mesh,True,True,False,19.13868723293215,1.0,139.54084755735917
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo,4,1,8,83.08590798993129,43.79052158858124,0.18,1.812,0.306,-15.168,1.599,9.968,4,0.5196975974999999,3,Mesh,True,True,False,18.13727424394305,1.0,138.37509231439103
