ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
HeliPad_001,HelicopterPhysics,,0,Mesh,Default,True,"[1.550,0.000,-0.670]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
Plane,HelicopterPhysics,,0,Mesh,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[100.000,100.000,100.000]",True,True,True,Transform|MeshFilter|MeshRenderer|MeshCollider
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo/R22_Body_RDoorGlass_Geo,HelicopterPhysics,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo,4,Mesh,Default,True,"[0.810,0.890,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo,HelicopterPhysics,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop,3,Mesh,Default,True,"[1.413,1.796,0.312]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Chairs_Geo,HelicopterPhysics,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop,3,Mesh,Default,True,"[0.803,1.187,0.336]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Windshield_Geo,HelicopterPhysics,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop,3,Mesh,Default,True,"[0.810,0.890,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_Geo,HelicopterPhysics,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop,3,Mesh,Default,True,"[0.810,0.890,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Body_LDoorGlass_Geo,HelicopterPhysics,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo,4,Mesh,Default,True,"[0.810,0.890,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo,HelicopterPhysics,R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop,3,Mesh,Default,True,"[0.180,1.812,0.306]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_LLever02_Geo,HelicopterPhysics,R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop,3,Mesh,Default,True,"[0.529,1.218,0.659]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|MeshFilter|MeshRenderer
