ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
DummyGameObject,DontDestroyOnLoad,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform|OpenAccGenericPlugin
IPA_PluginManager,DontDestroyOnLoad,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform|PluginComponent
SystemContext,DontDestroyOnLoad,None,0,Empty,Default,True,"[443.924,258.594,-634.809]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|InControlManager|SystemContext|UWPContext|PS4Context|SentrySdk|GameCoreXboxContext
GameContext,DontDestroyOnLoad,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform|LookupDirector|SlimeShaders|AutoSaveDirector|UITemplates|InputDirector|MessageDirector|MusicDirector|CanvasRenderer|GameContext|OptionsDirector|GifRecorder|PerformanceTracker|GalaxyDirector|RailDirector|RaycastBatcher
[DOTween],DontDestroyOnLoad,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform|DOTweenComponent
SteamManager,DontDestroyOnLoad,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,Transform|SteamManager
LoadingUI(Clone)/AutoSaveTipPanel/AutoSaveAnim,DontDestroyOnLoad,LoadingUI(Clone)/AutoSaveTipPanel,2,Empty,UI,True,"[3347.264,1293.168,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|Image|ImageCycler
LoadingUI(Clone)/AutoSaveTipPanel/AutoSaveTip,DontDestroyOnLoad,LoadingUI(Clone)/AutoSaveTipPanel,2,Empty,UI,True,"[3192.703,1293.168,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|XlateText|TextMeshProUGUI|MeshTextStyler
LoadingUI(Clone)/AutoSaveTipPanel/Shadow RightCorner,DontDestroyOnLoad,LoadingUI(Clone)/AutoSaveTipPanel,2,Empty,Default,True,"[3474.003,1458.547,77.280]","[0.000,0.000,0.000]","[-4.500,4.500,1.000]",False,False,False,RectTransform|CanvasRenderer|Image
LoadingUI(Clone)/AutoSaveTipPanel,DontDestroyOnLoad,LoadingUI(Clone),1,Empty,UI,True,"[3347.264,1409.088,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform
LoadingUI(Clone)/TipText,DontDestroyOnLoad,LoadingUI(Clone),1,Empty,UI,True,"[1720.000,142.196,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI|MeshTextStyler
LoadingUI(Clone)/LoadingText,DontDestroyOnLoad,LoadingUI(Clone),1,Empty,UI,True,"[287.482,1409.088,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|XlateTextEllipsize|TextMeshProUGUI|MeshTextStyler
LoadingUI(Clone)/Happy Slime,DontDestroyOnLoad,LoadingUI(Clone),1,Empty,UI,True,"[146.832,1212.024,0.000]","[0.000,0.000,8.133]","[1.643,1.367,1.500]",False,False,False,RectTransform|CanvasRenderer|Image|IconStyler|Animator
LoadingUI(Clone)/Background,DontDestroyOnLoad,LoadingUI(Clone),1,Empty,UI,True,"[1720.000,720.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,RectTransform|CanvasRenderer|Image
LoadingUI(Clone),DontDestroyOnLoad,None,0,Empty,UI,True,"[1720.000,720.000,0.000]","[0.000,0.000,0.000]","[1.546,1.546,1.546]",False,False,False,RectTransform|Canvas|CanvasScaler|LoadingUI
Timers,DontDestroyOnLoad,None,0,Empty,Default,True,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,False,False,Transform|vp_Timer
