ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
MainMenuUI/MessageOfTheDay/MessageBox/MessageComponents/BodyPanel/Button/GamepadIndicatorAltSubmit,MainMenu,MainMenuUI/MessageOfTheDay/MessageBox/MessageComponents/BodyPanel/Button,6,Empty,UI,True,"[-185.472,266.617,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|Image|LayoutElement|SelectImageForAction|PressButtonOnAction|EnableImageGamepadMode
Slimes/Sky 3/slimeRock/Appearance/bone_root/bone_attachment/rocks_ball(Clone),MainMenu,Slimes/Sky 3/slimeRock/Appearance/bone_root/bone_attachment,6,Mesh,Actor,True,"[-10.730,301.170,11.350]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject
Slimes/Sky 3/slimeRock/Appearance/bone_root/bone_slime/rocks_spine_LOD1(Clone),MainMenu,Slimes/Sky 3/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[-10.730,300.670,11.350]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject
Slimes/Sky 3/slimeRock/Appearance/rocks_spine_LOD0(Clone),MainMenu,Slimes/Sky 3/slimeRock/Appearance,4,Empty,Actor,True,"[-10.730,300.670,11.350]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|SkinnedMeshRenderer|SlimeAppearanceObject
Slimes/Sky 3/slimeRock/Appearance/bone_root/bone_slime/slime_default_LOD3(Clone),MainMenu,Slimes/Sky 3/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[-10.730,300.670,11.350]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject|BodyMeshMarker|TarrFlashMarker
Slimes/Sky 3/slimeRock/Appearance/bone_root/bone_slime/slime_default_LOD2(Clone),MainMenu,Slimes/Sky 3/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[-10.730,300.670,11.350]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject|BodyMeshMarker|TarrFlashMarker
Slimes/Sky 3/slimeRock/Appearance/bone_root/bone_slime/slime_default_LOD1(Clone),MainMenu,Slimes/Sky 3/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[-10.730,300.670,11.350]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject|BodyMeshMarker|TarrFlashMarker
Slimes/Sky 3/slimeRock/Appearance/slime_default(Clone),MainMenu,Slimes/Sky 3/slimeRock/Appearance,4,Empty,Actor,True,"[-10.730,300.670,11.350]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|SkinnedMeshRenderer|SlimeAppearanceObject
Slimes/Sky 5/slimeRock/Appearance/bone_root/bone_attachment/rocks_ball(Clone),MainMenu,Slimes/Sky 5/slimeRock/Appearance/bone_root/bone_attachment,6,Mesh,Actor,True,"[2.170,809.420,4.380]","[40.829,122.544,22.647]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject
Slimes/Sky 5/slimeRock/Appearance/bone_root/bone_slime/rocks_spine_LOD1(Clone),MainMenu,Slimes/Sky 5/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[1.812,809.071,4.380]","[40.829,122.544,22.647]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject
Slimes/Sky 5/slimeRock/Appearance/rocks_spine_LOD0(Clone),MainMenu,Slimes/Sky 5/slimeRock/Appearance,4,Empty,Actor,True,"[1.812,809.071,4.380]","[40.829,122.544,22.647]","[1.000,1.000,1.000]",False,True,False,Transform|SkinnedMeshRenderer|SlimeAppearanceObject
Slimes/Sky 5/slimeRock/Appearance/bone_root/bone_slime/slime_default_LOD3(Clone),MainMenu,Slimes/Sky 5/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[1.812,809.071,4.380]","[40.829,122.544,22.647]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject|BodyMeshMarker|TarrFlashMarker
Slimes/Sky 5/slimeRock/Appearance/bone_root/bone_slime/slime_default_LOD2(Clone),MainMenu,Slimes/Sky 5/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[1.812,809.071,4.380]","[40.829,122.544,22.647]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject|BodyMeshMarker|TarrFlashMarker
Slimes/Sky 5/slimeRock/Appearance/bone_root/bone_slime/slime_default_LOD1(Clone),MainMenu,Slimes/Sky 5/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[1.812,809.071,4.380]","[40.829,122.544,22.647]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject|BodyMeshMarker|TarrFlashMarker
Slimes/Sky 5/slimeRock/Appearance/slime_default(Clone),MainMenu,Slimes/Sky 5/slimeRock/Appearance,4,Empty,Actor,True,"[1.812,809.071,4.380]","[40.829,122.544,22.647]","[1.000,1.000,1.000]",False,True,False,Transform|SkinnedMeshRenderer|SlimeAppearanceObject
Slimes/Sky 4/slimeRock/Appearance/bone_root/bone_attachment/rocks_ball(Clone),MainMenu,Slimes/Sky 4/slimeRock/Appearance/bone_root/bone_attachment,6,Mesh,Actor,True,"[4.540,451.170,-9.820]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject
Slimes/Sky 4/slimeRock/Appearance/bone_root/bone_slime/rocks_spine_LOD1(Clone),MainMenu,Slimes/Sky 4/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[4.540,450.670,-9.820]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject
Slimes/Sky 4/slimeRock/Appearance/rocks_spine_LOD0(Clone),MainMenu,Slimes/Sky 4/slimeRock/Appearance,4,Empty,Actor,True,"[4.540,450.670,-9.820]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|SkinnedMeshRenderer|SlimeAppearanceObject
Slimes/Sky 4/slimeRock/Appearance/bone_root/bone_slime/slime_default_LOD3(Clone),MainMenu,Slimes/Sky 4/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[4.540,450.670,-9.820]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject|BodyMeshMarker|TarrFlashMarker
Slimes/Sky 4/slimeRock/Appearance/bone_root/bone_slime/slime_default_LOD2(Clone),MainMenu,Slimes/Sky 4/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[4.540,450.670,-9.820]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject|BodyMeshMarker|TarrFlashMarker
Slimes/Sky 4/slimeRock/Appearance/bone_root/bone_slime/slime_default_LOD1(Clone),MainMenu,Slimes/Sky 4/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[4.540,450.670,-9.820]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject|BodyMeshMarker|TarrFlashMarker
Slimes/Sky 4/slimeRock/Appearance/slime_default(Clone),MainMenu,Slimes/Sky 4/slimeRock/Appearance,4,Empty,Actor,True,"[4.540,450.670,-9.820]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|SkinnedMeshRenderer|SlimeAppearanceObject
Slimes/Sky 7/slimeRock/Appearance/bone_root/bone_attachment/rocks_ball(Clone),MainMenu,Slimes/Sky 7/slimeRock/Appearance/bone_root/bone_attachment,6,Mesh,Actor,True,"[-12.370,1104.620,8.310]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject
Slimes/Sky 7/slimeRock/Appearance/bone_root/bone_slime/rocks_spine_LOD1(Clone),MainMenu,Slimes/Sky 7/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[-12.370,1104.120,8.310]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject
Slimes/Sky 7/slimeRock/Appearance/rocks_spine_LOD0(Clone),MainMenu,Slimes/Sky 7/slimeRock/Appearance,4,Empty,Actor,True,"[-12.370,1104.120,8.310]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|SkinnedMeshRenderer|SlimeAppearanceObject
Slimes/Sky 7/slimeRock/Appearance/bone_root/bone_slime/slime_default_LOD3(Clone),MainMenu,Slimes/Sky 7/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[-12.370,1104.120,8.310]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject|BodyMeshMarker|TarrFlashMarker
Slimes/Sky 7/slimeRock/Appearance/bone_root/bone_slime/slime_default_LOD2(Clone),MainMenu,Slimes/Sky 7/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[-12.370,1104.120,8.310]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject|BodyMeshMarker|TarrFlashMarker
Slimes/Sky 7/slimeRock/Appearance/bone_root/bone_slime/slime_default_LOD1(Clone),MainMenu,Slimes/Sky 7/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[-12.370,1104.120,8.310]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject|BodyMeshMarker|TarrFlashMarker
Slimes/Sky 7/slimeRock/Appearance/slime_default(Clone),MainMenu,Slimes/Sky 7/slimeRock/Appearance,4,Empty,Actor,True,"[-12.370,1104.120,8.310]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|SkinnedMeshRenderer|SlimeAppearanceObject
Slimes/Sky 2/slimeRock/Appearance/bone_root/bone_attachment/rocks_ball(Clone),MainMenu,Slimes/Sky 2/slimeRock/Appearance/bone_root/bone_attachment,6,Mesh,Actor,True,"[-12.370,204.620,8.310]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject
Slimes/Sky 2/slimeRock/Appearance/bone_root/bone_slime/rocks_spine_LOD1(Clone),MainMenu,Slimes/Sky 2/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[-12.370,204.120,8.310]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject
Slimes/Sky 2/slimeRock/Appearance/rocks_spine_LOD0(Clone),MainMenu,Slimes/Sky 2/slimeRock/Appearance,4,Empty,Actor,True,"[-12.370,204.120,8.310]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|SkinnedMeshRenderer|SlimeAppearanceObject
Slimes/Sky 2/slimeRock/Appearance/bone_root/bone_slime/slime_default_LOD3(Clone),MainMenu,Slimes/Sky 2/slimeRock/Appearance/bone_root/bone_slime,6,Mesh,Actor,True,"[-12.370,204.120,8.310]","[0.000,86.354,0.000]","[1.000,1.000,1.000]",False,True,False,Transform|MeshFilter|MeshRenderer|SlimeAppearanceObject|BodyMeshMarker|TarrFlashMarker
