ObjectName,Scene,Parent,Level,Type,Layer,Active,Position,Rotation,Scale,InView,HasRenderer,HasCollider,Components
XboxUserChangePopupUI/DimmerPanel,NoScene,XboxUserChangePopupUI,1,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|Image
GameCoreEngagementPopupUI/DimmerPanel,NoScene,GameCoreEngagementPopupUI,1,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|Image
XboxUserChangePopupUI,NoScene,None,0,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000]",True,False,False,RectTransform|Canvas|GraphicRaycaster|UIInputLocker|CanvasScaler|XboxUserChangePopupUI
GameCoreEngagementPopupUI,NoScene,None,0,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000]",True,False,False,RectTransform|Canvas|GraphicRaycaster|UIInputLocker|CanvasScaler|SetInputMode|GameCoreEngagementPopupUI
XboxUserChangePopupUI/MainPanel,NoScene,XboxUserChangePopupUI,1,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|Image|PanelStyler|VerticalLayoutGroup
GameCoreEngagementPopupUI/MainPanel,NoScene,GameCoreEngagementPopupUI,1,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|Image|PanelStyler|VerticalLayoutGroup
XboxUserChangePopupUI/MainPanel/Message,NoScene,XboxUserChangePopupUI/MainPanel,2,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI|MeshTextStyler|LayoutElement|XlateText
GameCoreEngagementPopupUI/MainPanel/PressMenu,NoScene,GameCoreEngagementPopupUI/MainPanel,2,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI|MeshTextStyler|LayoutElement|XlateText
GameCoreEngagementPopupUI/MainPanel/Message,NoScene,GameCoreEngagementPopupUI/MainPanel,2,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI|MeshTextStyler|LayoutElement|XlateText
UWPControllerDisconnectPopupUI/MainPanel,NoScene,UWPControllerDisconnectPopupUI,1,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|Image|PanelStyler|VerticalLayoutGroup
UWPControllerDisconnectPopupUI,NoScene,None,0,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000]",True,False,False,RectTransform|Canvas|GraphicRaycaster|UIInputLocker|CanvasScaler|UWPControllerDisconnectPopupUI
UWPUserSignOutPopupUI/DimmerPanel,NoScene,UWPUserSignOutPopupUI,1,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|Image
UWPUserSignOutPopupUI/MainPanel,NoScene,UWPUserSignOutPopupUI,1,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|Image|PanelStyler|VerticalLayoutGroup
UWPUserSignOutPopupUI/MainPanel/Message,NoScene,UWPUserSignOutPopupUI/MainPanel,2,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI|MeshTextStyler|LayoutElement|XlateText
UWPUserSignOutPopupUI,NoScene,None,0,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.000,0.000,0.000]",True,False,False,RectTransform|Canvas|GraphicRaycaster|UIInputLocker|CanvasScaler|UWPUserSignedOutPopupUI
UWPControllerDisconnectPopupUI/MainPanel/Message,NoScene,UWPControllerDisconnectPopupUI/MainPanel,2,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|TextMeshProUGUI|MeshTextStyler|LayoutElement|XlateText
UWPControllerDisconnectPopupUI/DimmerPanel,NoScene,UWPControllerDisconnectPopupUI,1,Empty,UI,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,False,RectTransform|CanvasRenderer|Image
plortGold,NoScene,None,0,PhysicsBody,ActorIgnorePlayer,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[0.333,0.333,0.333]",True,True,True,Transform|MeshFilter|MeshRenderer|Rigidbody|Vacuumable|Identifiable|PlortInvulnerability|SphereCollider|DragFloatReactor|PlortInstability|PlaySoundOnHit|CollisionAggregator|DestroyOnIgnite|RegionMember|DestroyPlortAfterTime
FX Splat,NoScene,None,0,Empty,Default,False,"[0.000,0.000,0.000]","[270.000,0.000,0.000]","[1.000,1.000,1.000]",True,True,False,Transform|ParticleSystem|ParticleSystemRenderer|CFX_AutoDestructShuriken|RecolorSlimeMaterial
moduleSlimeStandard,NoScene,None,0,PhysicsBody,Default,False,"[0.000,0.000,0.000]","[0.000,0.000,0.000]","[1.000,1.000,1.000]",True,False,True,Transform|SphereCollider|Rigidbody|Vacuumable|GotoConsumable|SlimeEat|SlimeRandomMove|SlimeHealth|SlimeEmotions|SlimeSubbehaviourPlexer|Identifiable|KeepUpright|FleeThreats|SlimeAudio|SECTR_PointSource|SlimeFeral|EscapeStuck|MaybeCullOnReenable|DragFloatReactor|SplatOnImpact|AweTowardsLargos|SlimeFaceAnimator|CalmedByWaterSpray|TotemLinkerHelper|CollisionAggregator|AweTowardsAttractors|AttachFashions|SlimeEyeComponents|SlimeMouthComponents|PlayWithToys|SlimeIgniteReact|RegionMember|GlitchSlime|Chomper
