ObjectName,"ObjectType (from static file, if available)",StartFrame (first frame where object is relevant),EndFrame (last frame where object is relevant),"StartPosition (x,y,z at StartFrame)","EndPosition (x,y,z at EndFrame)",AvgSpeed (avg world units per frame),VisibilityRatio (fraction of frames visible),SizeChange (grow/shrink/stable),RelativeSize (approx. size compared to average scene object),PathSummary (detailed 3D path narrative),MovementSummary (short overall description)
zoneDESERT/SandSea/Pillars/cliffDesert19 (3),Mesh,8,12,"[535.3,1086.3,1440.001]","[-543.3,1086.3,-196.0]",979.7802345425479,1.0,stable,huge,Starts in the air. Frame 8→9: quickly moves 1959.56 units right-backward. Frame 9→10: hovers with negligible movement. Frame 10→11: hovers with negligible movement. Frame 11→12: quickly moves 1959.56 units right-backward.,Very large object moves quickly along a complex 3D path.
zoneDESERT/SandSea/Pillars/cliffDesert19 (9),Mesh,8,12,"[673.001,1070.0,1125.0]","[-681.0,1070.0,119.0]",843.4089618923017,1.0,stable,huge,Starts in the air. Frame 8→9: quickly moves 1686.82 units right-backward. Frame 9→10: hovers with negligible movement. Frame 10→11: hovers with negligible movement. Frame 11→12: quickly moves 1686.82 units right-backward.,Very large object moves quickly along a complex 3D path.
zoneDESERT/SandSea/Pillars/cliffDesert19 (11),Mesh,8,12,"[737.1,1070.0,382.2]","[-745.101,1070.0,861.8]",778.9313134675291,1.0,stable,huge,Starts in the air. Frame 8→9: quickly moves 1557.86 units right-forward. Frame 9→10: hovers with negligible movement. Frame 10→11: hovers with negligible movement. Frame 11→12: quickly moves 1557.86 units right-forward.,Very large object moves quickly along a complex 3D path.
zoneDESERT/SandSea/Pillars/cliffDesert19 (10),Mesh,8,12,"[-688.301,1070.0,750.5]","[680.3,1070.0,493.5]",696.2610317260691,1.0,stable,huge,Starts in the air. Frame 8→9: quickly moves 1392.52 units left-backward. Frame 9→10: hovers with negligible movement. Frame 10→11: hovers with negligible movement. Frame 11→12: quickly moves 1392.52 units left-backward.,Very large object moves quickly along a complex 3D path.
zoneDESERT/SandSea/Pillars/cliffDesert19 (8),Mesh,8,12,"[-873.0,1070.0,237.0]","[381.0,1070.0,-247.0]",672.0810962971656,1.0,stable,huge,Starts in the air. Frame 8→9: quickly moves 1344.16 units left-backward. Frame 9→10: hovers with negligible movement. Frame 10→11: hovers with negligible movement. Frame 11→12: quickly moves 1344.16 units left-backward.,Very large object moves quickly along a complex 3D path.
zoneDESERT/SandSea/Pillars/cliffDesert19 (4),Mesh,8,12,"[676.2,1070.0,-39.0]","[657.001,1070.0,1302.201]",670.6692038557459,1.0,stable,huge,Starts in the air. Frame 8→9: quickly moves 1341.34 units right-forward. Frame 9→10: hovers with negligible movement. Frame 10→11: hovers with negligible movement. Frame 11→12: quickly moves 1341.34 units right-forward.,Very large object moves quickly along a complex 3D path.
zoneDESERT/SandSea/Pillars/cliffDesert19 (5),Mesh,8,12,"[843.9,1070.0,415.4]","[-210.6,1070.0,-225.9]",617.0972249167874,1.0,stable,huge,Starts in the air. Frame 8→9: quickly moves 1234.19 units right-backward. Frame 9→10: hovers with negligible movement. Frame 10→11: hovers with negligible movement. Frame 11→12: quickly moves 1234.19 units right-backward.,Very large object moves quickly along a complex 3D path.
zoneDESERT/SandSea/Pillars/cliffDesert19,Mesh,8,12,"[618.0,990.8,84.0]","[-542.0,990.8,0.0]",581.5187013329838,1.0,stable,huge,Starts in the air. Frame 8→9: quickly moves 1163.04 units right-backward. Frame 9→10: hovers with negligible movement. Frame 10→11: hovers with negligible movement. Frame 11→12: quickly moves 1163.04 units right-backward.,Very large object moves quickly along a complex 3D path.
zoneDESERT/SandSea/Pillars/cliffDesert19 (1),Mesh,8,12,"[-713.361,996.5,223.092]","[394.908,996.5,-87.36]",575.465164163957,1.0,stable,huge,Starts in the air. Frame 8→9: quickly moves 1150.93 units left-backward. Frame 9→10: hovers with negligible movement. Frame 10→11: hovers with negligible movement. Frame 11→12: quickly moves 1150.93 units left-backward.,Very large object moves quickly along a complex 3D path.
zoneDESERT/SandSea/Pillars/cliffDesert19 (7),Mesh,8,12,"[-773.881,993.0,472.991]","[145.009,993.0,-147.88]",554.4906741192767,1.0,stable,huge,Starts in the air. Frame 8→9: quickly moves 1108.98 units left-backward. Frame 9→10: hovers with negligible movement. Frame 10→11: hovers with negligible movement. Frame 11→12: quickly moves 1108.98 units left-backward.,Very large object moves quickly along a complex 3D path.
