ObjectName (Name of the Object),ObjectCategory (Potential Object Type),StartFrame (Frame where the object first appears),EndFrame (Frame where the object last appears),"StartPosition [x,y,z] at first valid position","EndPosition [x,y,z] at last valid position","PathLength (Sum of all displacements, added stepwise with abs value)",NetDisplacement (Vector value of end position - start position),AvgSpeed (Mean step speed over valid steps),VisibilityRatio (Percentage of frames where the object is visible),"SizeChange (Change in perceived size of the object, can be due to camera movement)",RelativeSize (Compared to other objects in the game),"MotionPhases (Symbolic phase sequence, e.g. STILL_LOW;ASCEND_MID)",DistBand (Categorical range of total distance covered: none/short/medium/long),SpeedBand (Categorical range of average movement speed: none/slow/medium/fast),VertBand (Categorical range of vertical displacement: none/flat/moderate/large),"PathSummary (Short, deterministic natural-language description)"
zoneDESERT/SandSea/Pillars/cliffDesert19 (3),Mesh,8,12,"[535.3,1086.3,1440.001]","[-543.3,1086.3,-196.0]",3919.1209381701915,1959.5604690850957,1959.5604690850957,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.
zoneDESERT/SandSea/Pillars/cliffDesert19 (9),Mesh,8,12,"[673.001,1070.0,1125.0]","[-681.0,1070.0,119.0]",3373.635847569207,1686.8179237846034,1686.8179237846034,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.
zoneDESERT/SandSea/Pillars/cliffDesert19 (11),Mesh,8,12,"[737.1,1070.0,382.2]","[-745.101,1070.0,861.8]",3115.7252538701164,1557.8626269350582,1557.8626269350582,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.
zoneDESERT/SandSea/Pillars/cliffDesert19 (10),Mesh,8,12,"[-688.301,1070.0,750.5]","[680.3,1070.0,493.5]",2785.0441269042763,1392.5220634521381,1392.5220634521381,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.
zoneDESERT/SandSea/Pillars/cliffDesert19 (8),Mesh,8,12,"[-873.0,1070.0,237.0]","[381.0,1070.0,-247.0]",2688.3243851886623,1344.1621925943311,1344.1621925943311,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.
zoneDESERT/SandSea/Pillars/cliffDesert19 (4),Mesh,8,12,"[676.2,1070.0,-39.0]","[657.001,1070.0,1302.201]",2682.6768154229835,1341.3384077114918,1341.3384077114918,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.
zoneDESERT/SandSea/Pillars/cliffDesert19 (5),Mesh,8,12,"[843.9,1070.0,415.4]","[-210.6,1070.0,-225.9]",2468.3888996671494,1234.1944498335747,1234.1944498335747,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.
zoneDESERT/SandSea/Pillars/cliffDesert19,Mesh,8,12,"[618.0,990.8,84.0]","[-542.0,990.8,0.0]",2326.0748053319353,1163.0374026659676,1163.0374026659676,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.
zoneDESERT/SandSea/Pillars/cliffDesert19 (1),Mesh,8,12,"[-713.361,996.5,223.092]","[394.908,996.5,-87.36]",2301.860656655828,1150.930328327914,1150.930328327914,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.
zoneDESERT/SandSea/Pillars/cliffDesert19 (7),Mesh,8,12,"[-773.881,993.0,472.991]","[145.009,993.0,-147.88]",2217.962696477107,1108.9813482385534,1108.9813482385534,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.
