ObjectName (Name of the Object),ObjectCategory (Potential Object Type),StartFrame (Frame where the object first appears),EndFrame (Frame where the object last appears),"StartPosition [x,y,z] at first valid position","EndPosition [x,y,z] at last valid position","PathLength (Sum of all displacements, added stepwise with abs value)",NetDisplacement (Vector value of end position - start position),AvgSpeed (Mean step speed over valid steps),VisibilityRatio (Percentage of frames where the object is visible),"SizeChange (Change in perceived size of the object, can be due to camera movement)",RelativeSize (Compared to other objects in the game),"MotionPhases (Symbolic phase sequence, e.g. STILL_LOW;ASCEND_MID)",PhaseTimeline (Motion phases with approximate relative durations),PathTrace (Downsampled key positions along the trajectory),MaxSpeedEvent (Notable peak speed moment),LargestVerticalChangeEvent (Notable vertical excursion),DistBand (Categorical range of total distance covered: none/short/medium/long),SpeedBand (Categorical range of average movement speed: none/slow/medium/fast),VertBand (Categorical range of vertical displacement: none/flat/moderate/large),"PathSummary (Short, deterministic natural-language description from core stats)",SemanticRole (Heuristic high-level role: Player/Enemy/Projectile/etc.),InteractionSummary (Close-approach / touch events with other objects),"NarrativeSummary (Compact narrative description using motion, phases & interactions)"
zoneDESERT/SandSea/Pillars/cliffDesert19 (3),Mesh,8,12,"[535.3,1086.3,1440.001]","[-543.3,1086.3,-196.0]",3919.1209381701915,1959.5604690850957,1959.5604690850957,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25,"f8:[535.300,1086.300,1440.001];f8:[814.000,1086.300,82.700];f8:[-543.300,1086.300,-196.000];f9:[814.000,1086.300,82.700];f9:[-822.001,1086.300,1161.300];f10:[-543.300,1086.300,-196.000];f10:[814.000,1086.300,82.700];f11:[535.300,1086.300,1440.001];f11:[814.000,1086.300,82.700];f11:[-543.300,1086.300,-196.000];f12:[814.000,1086.300,82.700];f12:[-543.300,1086.300,-196.000]",Peak speed ~1959.560 between frames 8-9.,,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.,DynamicObject,,"As a DynamicObject, this object travels quickly over a long distance. Its motion phases over time: HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25. Key positions along its path: f8:[535.300,1086.300,1440.001];f8:[814.000,1086.300,82.700];f8:[-543.300,1086.300,-196.000];f9:[814.000,1086.300,82.700];f9:[-822.001,1086.300,1161.300];f10:[-543.300,1086.300,-196.000];f10:[814.000,1086.300,82.700];f11:[535.300,1086.300,1440.001];f11:[814.000,1086.300,82.700];f11:[-543.300,1086.300,-196.000];f12:[814.000,1086.300,82.700];f12:[-543.300,1086.300,-196.000]. Notable moments: Peak speed ~1959.560 between frames 8-9."
zoneDESERT/SandSea/Pillars/cliffDesert19 (9),Mesh,8,12,"[673.001,1070.0,1125.0]","[-681.0,1070.0,119.0]",3373.635847569207,1686.8179237846034,1686.8179237846034,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25,"f8:[673.001,1070.000,1125.000];f8:[499.000,1070.000,-55.000];f8:[-681.000,1070.000,119.000];f9:[499.000,1070.000,-55.000];f9:[-507.000,1070.000,1299.000];f10:[-681.000,1070.000,119.000];f10:[499.000,1070.000,-55.000];f11:[673.001,1070.000,1125.000];f11:[499.000,1070.000,-55.000];f11:[-681.000,1070.000,119.000];f12:[499.000,1070.000,-55.000];f12:[-681.000,1070.000,119.000]",Peak speed ~1686.818 between frames 8-9.,,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.,DynamicObject,,"As a DynamicObject, this object travels quickly over a long distance. Its motion phases over time: HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25. Key positions along its path: f8:[673.001,1070.000,1125.000];f8:[499.000,1070.000,-55.000];f8:[-681.000,1070.000,119.000];f9:[499.000,1070.000,-55.000];f9:[-507.000,1070.000,1299.000];f10:[-681.000,1070.000,119.000];f10:[499.000,1070.000,-55.000];f11:[673.001,1070.000,1125.000];f11:[499.000,1070.000,-55.000];f11:[-681.000,1070.000,119.000];f12:[499.000,1070.000,-55.000];f12:[-681.000,1070.000,119.000]. Notable moments: Peak speed ~1686.818 between frames 8-9."
zoneDESERT/SandSea/Pillars/cliffDesert19 (11),Mesh,8,12,"[737.1,1070.0,382.2]","[-745.101,1070.0,861.8]",3115.7252538701164,1557.8626269350582,1557.8626269350582,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25,"f8:[737.100,1070.000,382.200];f8:[-243.800,1070.000,-119.100];f8:[-745.101,1070.000,861.800];f9:[-243.800,1070.000,-119.100];f9:[235.800,1070.000,1363.101];f10:[-745.101,1070.000,861.800];f10:[-243.800,1070.000,-119.100];f11:[737.100,1070.000,382.200];f11:[-243.800,1070.000,-119.100];f11:[-745.101,1070.000,861.800];f12:[-243.800,1070.000,-119.100];f12:[-745.101,1070.000,861.800]",Peak speed ~1557.863 between frames 8-9.,,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.,DynamicObject,,"As a DynamicObject, this object travels quickly over a long distance. Its motion phases over time: HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25. Key positions along its path: f8:[737.100,1070.000,382.200];f8:[-243.800,1070.000,-119.100];f8:[-745.101,1070.000,861.800];f9:[-243.800,1070.000,-119.100];f9:[235.800,1070.000,1363.101];f10:[-745.101,1070.000,861.800];f10:[-243.800,1070.000,-119.100];f11:[737.100,1070.000,382.200];f11:[-243.800,1070.000,-119.100];f11:[-745.101,1070.000,861.800];f12:[-243.800,1070.000,-119.100];f12:[-745.101,1070.000,861.800]. Notable moments: Peak speed ~1557.863 between frames 8-9."
zoneDESERT/SandSea/Pillars/cliffDesert19 (10),Mesh,8,12,"[-688.301,1070.0,750.5]","[680.3,1070.0,493.5]",2785.0441269042763,1392.5220634521381,1392.5220634521381,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25,"f8:[-688.301,1070.000,750.500];f8:[124.500,1070.000,1306.301];f8:[680.300,1070.000,493.500];f9:[124.500,1070.000,1306.301];f9:[-132.500,1070.000,-62.300];f10:[680.300,1070.000,493.500];f10:[124.500,1070.000,1306.301];f11:[-688.301,1070.000,750.500];f11:[124.500,1070.000,1306.301];f11:[680.300,1070.000,493.500];f12:[124.500,1070.000,1306.301];f12:[680.300,1070.000,493.500]",Peak speed ~1392.522 between frames 8-9.,,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.,DynamicObject,,"As a DynamicObject, this object travels quickly over a long distance. Its motion phases over time: HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25. Key positions along its path: f8:[-688.301,1070.000,750.500];f8:[124.500,1070.000,1306.301];f8:[680.300,1070.000,493.500];f9:[124.500,1070.000,1306.301];f9:[-132.500,1070.000,-62.300];f10:[680.300,1070.000,493.500];f10:[124.500,1070.000,1306.301];f11:[-688.301,1070.000,750.500];f11:[124.500,1070.000,1306.301];f11:[680.300,1070.000,493.500];f12:[124.500,1070.000,1306.301];f12:[680.300,1070.000,493.500]. Notable moments: Peak speed ~1392.522 between frames 8-9."
zoneDESERT/SandSea/Pillars/cliffDesert19 (8),Mesh,8,12,"[-873.0,1070.0,237.0]","[381.0,1070.0,-247.0]",2688.3243851886623,1344.1621925943311,1344.1621925943311,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25,"f8:[-873.000,1070.000,237.000];f8:[-389.000,1070.000,1491.000];f8:[381.000,1070.000,-247.000];f9:[-389.000,1070.000,1491.000];f9:[865.001,1070.000,1007.000];f10:[381.000,1070.000,-247.000];f10:[-389.000,1070.000,1491.000];f11:[-873.000,1070.000,237.000];f11:[-389.000,1070.000,1491.000];f11:[381.000,1070.000,-247.000];f12:[-389.000,1070.000,1491.000];f12:[381.000,1070.000,-247.000]",Peak speed ~1344.162 between frames 8-9.,,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.,DynamicObject,,"As a DynamicObject, this object travels quickly over a long distance. Its motion phases over time: HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25. Key positions along its path: f8:[-873.000,1070.000,237.000];f8:[-389.000,1070.000,1491.000];f8:[381.000,1070.000,-247.000];f9:[-389.000,1070.000,1491.000];f9:[865.001,1070.000,1007.000];f10:[381.000,1070.000,-247.000];f10:[-389.000,1070.000,1491.000];f11:[-873.000,1070.000,237.000];f11:[-389.000,1070.000,1491.000];f11:[381.000,1070.000,-247.000];f12:[-389.000,1070.000,1491.000];f12:[381.000,1070.000,-247.000]. Notable moments: Peak speed ~1344.162 between frames 8-9."
zoneDESERT/SandSea/Pillars/cliffDesert19 (4),Mesh,8,12,"[676.2,1070.0,-39.0]","[657.001,1070.0,1302.201]",2682.6768154229835,1341.3384077114918,1341.3384077114918,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25,"f8:[676.200,1070.000,-39.000];f8:[-684.201,1070.000,1283.000];f8:[657.001,1070.000,1302.201];f9:[-684.201,1070.000,1283.000];f9:[-665.000,1070.000,-58.200];f10:[657.001,1070.000,1302.201];f10:[-684.201,1070.000,1283.000];f11:[676.200,1070.000,-39.000];f11:[-684.201,1070.000,1283.000];f11:[657.001,1070.000,1302.201];f12:[-684.201,1070.000,1283.000];f12:[657.001,1070.000,1302.201]",Peak speed ~1341.338 between frames 8-9.,,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.,DynamicObject,,"As a DynamicObject, this object travels quickly over a long distance. Its motion phases over time: HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25. Key positions along its path: f8:[676.200,1070.000,-39.000];f8:[-684.201,1070.000,1283.000];f8:[657.001,1070.000,1302.201];f9:[-684.201,1070.000,1283.000];f9:[-665.000,1070.000,-58.200];f10:[657.001,1070.000,1302.201];f10:[-684.201,1070.000,1283.000];f11:[676.200,1070.000,-39.000];f11:[-684.201,1070.000,1283.000];f11:[657.001,1070.000,1302.201];f12:[-684.201,1070.000,1283.000];f12:[657.001,1070.000,1302.201]. Notable moments: Peak speed ~1341.338 between frames 8-9."
zoneDESERT/SandSea/Pillars/cliffDesert19 (5),Mesh,8,12,"[843.9,1070.0,415.4]","[-210.6,1070.0,-225.9]",2468.3888996671494,1234.1944498335747,1234.1944498335747,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25,"f8:[843.900,1070.000,415.400];f8:[-851.901,1070.000,828.600];f8:[-210.600,1070.000,-225.900];f9:[-851.901,1070.000,828.600];f9:[202.600,1070.000,1469.901];f10:[-210.600,1070.000,-225.900];f10:[-851.901,1070.000,828.600];f11:[843.900,1070.000,415.400];f11:[-851.901,1070.000,828.600];f11:[-210.600,1070.000,-225.900];f12:[-851.901,1070.000,828.600];f12:[-210.600,1070.000,-225.900]",Peak speed ~1234.194 between frames 8-9.,,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.,DynamicObject,,"As a DynamicObject, this object travels quickly over a long distance. Its motion phases over time: HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25. Key positions along its path: f8:[843.900,1070.000,415.400];f8:[-851.901,1070.000,828.600];f8:[-210.600,1070.000,-225.900];f9:[-851.901,1070.000,828.600];f9:[202.600,1070.000,1469.901];f10:[-210.600,1070.000,-225.900];f10:[-851.901,1070.000,828.600];f11:[843.900,1070.000,415.400];f11:[-851.901,1070.000,828.600];f11:[-210.600,1070.000,-225.900];f12:[-851.901,1070.000,828.600];f12:[-210.600,1070.000,-225.900]. Notable moments: Peak speed ~1234.194 between frames 8-9."
zoneDESERT/SandSea/Pillars/cliffDesert19,Mesh,8,12,"[618.0,990.8,84.0]","[-542.0,990.8,0.0]",2326.0748053319353,1163.0374026659676,1163.0374026659676,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25,"f8:[618.000,990.800,84.000];f8:[534.000,990.800,1244.000];f8:[-542.000,990.800,0.000];f9:[534.000,990.800,1244.000];f9:[-626.000,990.800,1160.000];f10:[-542.000,990.800,0.000];f10:[534.000,990.800,1244.000];f11:[618.000,990.800,84.000];f11:[534.000,990.800,1244.000];f11:[-542.000,990.800,0.000];f12:[534.000,990.800,1244.000];f12:[-542.000,990.800,0.000]",Peak speed ~1163.037 between frames 8-9.,,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.,DynamicObject,,"As a DynamicObject, this object travels quickly over a long distance. Its motion phases over time: HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25. Key positions along its path: f8:[618.000,990.800,84.000];f8:[534.000,990.800,1244.000];f8:[-542.000,990.800,0.000];f9:[534.000,990.800,1244.000];f9:[-626.000,990.800,1160.000];f10:[-542.000,990.800,0.000];f10:[534.000,990.800,1244.000];f11:[618.000,990.800,84.000];f11:[534.000,990.800,1244.000];f11:[-542.000,990.800,0.000];f12:[534.000,990.800,1244.000];f12:[-542.000,990.800,0.000]. Notable moments: Peak speed ~1163.037 between frames 8-9."
zoneDESERT/SandSea/Pillars/cliffDesert19 (1),Mesh,8,12,"[-713.361,996.5,223.092]","[394.908,996.5,-87.36]",2301.860656655828,1150.930328327914,1150.930328327914,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25,"f8:[-713.361,996.500,223.092];f8:[705.361,996.500,1020.908];f8:[394.908,996.500,-87.360];f9:[705.361,996.500,1020.908];f9:[-402.908,996.500,1331.361];f10:[394.908,996.500,-87.360];f10:[705.361,996.500,1020.908];f11:[-713.361,996.500,223.092];f11:[705.361,996.500,1020.908];f11:[394.908,996.500,-87.360];f12:[705.361,996.500,1020.908];f12:[394.908,996.500,-87.360]",Peak speed ~1150.930 between frames 8-9.,,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.,DynamicObject,,"As a DynamicObject, this object travels quickly over a long distance. Its motion phases over time: HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25. Key positions along its path: f8:[-713.361,996.500,223.092];f8:[705.361,996.500,1020.908];f8:[394.908,996.500,-87.360];f9:[705.361,996.500,1020.908];f9:[-402.908,996.500,1331.361];f10:[394.908,996.500,-87.360];f10:[705.361,996.500,1020.908];f11:[-713.361,996.500,223.092];f11:[705.361,996.500,1020.908];f11:[394.908,996.500,-87.360];f12:[705.361,996.500,1020.908];f12:[394.908,996.500,-87.360]. Notable moments: Peak speed ~1150.930 between frames 8-9."
zoneDESERT/SandSea/Pillars/cliffDesert19 (7),Mesh,8,12,"[-773.881,993.0,472.991]","[145.009,993.0,-147.88]",2217.962696477107,1108.9813482385534,1108.9813482385534,1.0,stable,huge,HORIZ_HIGH;STILL_HIGH;HORIZ_HIGH,HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25,"f8:[-773.881,993.000,472.991];f8:[765.881,993.000,771.010];f8:[145.009,993.000,-147.880];f9:[765.881,993.000,771.010];f9:[-153.009,993.000,1391.881];f10:[145.009,993.000,-147.880];f10:[765.881,993.000,771.010];f11:[-773.881,993.000,472.991];f11:[765.881,993.000,771.010];f11:[145.009,993.000,-147.880];f12:[765.881,993.000,771.010];f12:[145.009,993.000,-147.880]",Peak speed ~1108.981 between frames 8-9.,,long,fast,none,Overall: moves quickly over a long distance. Phases: moves across the scene in a high region; stays mostly still in a high region; moves across the scene in a high region.,DynamicObject,,"As a DynamicObject, this object travels quickly over a long distance. Its motion phases over time: HORIZ_HIGH:0.25;STILL_HIGH:0.50;HORIZ_HIGH:0.25. Key positions along its path: f8:[-773.881,993.000,472.991];f8:[765.881,993.000,771.010];f8:[145.009,993.000,-147.880];f9:[765.881,993.000,771.010];f9:[-153.009,993.000,1391.881];f10:[145.009,993.000,-147.880];f10:[765.881,993.000,771.010];f11:[-773.881,993.000,472.991];f11:[765.881,993.000,771.010];f11:[145.009,993.000,-147.880];f12:[765.881,993.000,771.010];f12:[145.009,993.000,-147.880]. Notable moments: Peak speed ~1108.981 between frames 8-9."
