ObjectName,FrameCount (frames recorded),FirstFrame (start frame),LastFrame (end frame),TotalPathLength (total movement distance),MaxStepDistance (largest single movement),StartX,StartY,StartZ,EndX,EndY,EndZ,VisibleFrames,MedianRenderVolume (typical on-screen volume),HierarchyLevel (depth in scene tree),ObjectType (Unity class/type),IsActive (true/false),HasRenderer,HasCollider,NetDisplacement (start to end distance),VisibilityRatio (fraction visible),ImportanceScore (movement × visibility × size)
zoneDESERT/SandSea/Pillars/cliffDesert19 (7),20,8,12,25664.2007239132,1568.3374448775364,-773.881,993.0,472.991,145.009,993.0,-147.88,20,408552.553703616,3.0,Mesh,True,True,False,1108.9813482385534,1.0,973265.3242073145
zoneDESERT/SandSea/Pillars/cliffDesert19 (1),20,8,12,26634.98655687837,1627.6616611384566,-713.361,996.5,223.092,394.908,996.5,-87.36,20,260822.509708038,3.0,Mesh,True,True,False,1150.930328327914,1.0,902880.814334231
zoneDESERT/SandSea/Pillars/cliffDesert19,20,8,12,22097.710650653386,1163.0374026659676,618.0,990.8,84.0,-542.0,990.8,0.0,20,530874.0230859001,3.0,Mesh,True,True,False,1163.0374026659676,1.0,894718.9070178911
zoneDESERT/SandSea/Pillars/cliffDesert19 (12),20,8,12,20049.319051999737,1225.2118551499573,-507.75,949.1,273.4,344.6,949.1,118.25,20,679655.49628332,3.0,Mesh,True,True,False,866.3556111666849,1.0,863501.8137424674
zoneDESERT/SandSea/Pillars/cliffDesert19 (3),20,8,12,31492.22918011875,1959.5604690850957,535.3,1086.3,1440.001,-543.3,1086.3,-196.0,20,78047.617389852,3.0,Mesh,True,True,False,1959.5604690850957,1.0,789561.5044128001
zoneDESERT/SandSea/Pillars/cliffDesert19 (4),20,8,12,31041.427210094545,1896.938988160136,676.2,1070.0,-39.0,657.001,1070.0,1302.201,20,77300.34749644,3.0,Mesh,True,True,False,1341.3384077114918,1.0,776389.5942856775
zoneDESERT/SandSea/Pillars/cliffDesert19 (9),20,8,12,27108.956279425947,1686.8179237846034,673.001,1070.0,1125.0,-681.0,1070.0,119.0,20,114894.39370134601,3.0,Mesh,True,True,False,1686.8179237846034,1.0,748651.5198931489
zoneDESERT/SandSea/Pillars/cliffDesert19 (11),20,8,12,25036.51591904442,1557.8626269350582,737.1,1070.0,382.2,-745.101,1070.0,861.8,20,132857.56654156803,3.0,Mesh,True,True,False,1557.8626269350582,1.0,716989.0811959348
zoneDESERT/SandSea/Pillars/cliffDesert19 (5),20,8,12,28561.911929916718,1745.4155011346154,843.9,1070.0,415.4,-210.6,1070.0,-225.9,20,77300.34749644,3.0,Mesh,True,True,False,1234.1944498335747,1.0,714373.4424710993
zoneDESERT/SandSea/Pillars/cliffDesert19 (2),20,8,12,20836.60456978762,1273.3233182507106,574.2,988.7,355.5,-270.5,988.7,43.8,20,187116.6439116,3.0,Mesh,True,True,False,900.3749108010508,1.0,650050.1967452576
zoneDESERT/SandSea/Pillars/cliffDesert19 (8),20,8,12,25539.088124287773,1344.1631255175096,-873.0,1070.0,237.0,381.0,1070.0,-247.0,20,77300.34749644,3.0,Mesh,True,True,False,1344.1621925943311,1.0,638768.3830720861
zoneDESERT/SandSea/Pillars/cliffDesert19 (10),20,8,12,22379.316511258232,1392.5220634521381,-688.301,1070.0,750.5,680.3,1070.0,493.5,20,65429.56394000001,3.0,Mesh,True,True,False,1392.5220634521381,1.0,536887.4391786825
zoneDESERT/SandSea/Pillars/cliffDesert19 (6),20,8,12,14813.545837977787,905.2542847178355,280.3,993.0,974.2,348.2,993.0,337.7,20,136998.10655407998,3.0,Mesh,True,True,False,640.1114434221591,1.0,427493.6995733614
zoneVALLEY/cellValley_RaceTrack2/Sector/Cliffs/cliffBase01,100,8,12,15253.210544978478,233.9729366849935,-115.242,38.84,-822.068,-103.41,22.441,-983.908,100,46203.8733974175,4.0,Mesh,True,True,True,163.09846420184346,1.0,335447.4310026666
zoneRUINS/cellRuins_WaystationTemple/Sector/RuinsBarrier/Barrier/Barrier,20,8,12,3333.54360511843,212.24058057072887,-48.304,50.4,947.8,-3.384,50.4,1072.329,20,958479.90168983,5.0,Mesh,True,True,True,132.38307384631918,1.0,156456.3756052305
zoneSEA/Sea/seaRender/Clouds 1Pass,5,8,12,452.9393295505345,369.50879290755717,-4.0,-7.1,210.0,96.973,-7.1,-140.334,5,1633535618.403618,3.0,Mesh,True,True,False,364.59492355900954,1.0,136588.2825087359
zoneWILDS/cellWilds_Caverns/Sector/Mountains/mtnBluffMoss02/mountaintop,45,8,12,3220.9955912365886,131.61875207963345,-984.932,55.769,670.204,-1029.259,3.292,782.475,45,335469.52902684,5.0,Mesh,True,True,True,131.61875207963345,1.0,116277.31180104367
zoneSEA/Sea/seaKillCube,5,8,12,452.9393295505345,369.50879290755717,-4.0,-29.4,210.0,96.973,-29.4,-140.334,5,730145298.81312,2.0,Mesh,True,True,True,364.59492355900954,1.0,111682.11128106728
zoneVALLEY/cellValley_RaceTrack2/Sector/Mountains/mtnBluffQuar01 (1)/mountaintop,15,8,12,3043.858073197341,293.4386242146728,-236.612,23.805,-1085.647,-92.69,39.481,-830.408,15,309685.62495694996,5.0,Mesh,True,True,True,293.4386242146728,1.0,107707.58043427751
zoneVALLEY/cellValley_RaceTrack2/Sector/Mountains/mtnSpireQuar04/mountaintop,20,8,12,2983.5476629078466,222.6164388202273,-276.82,27.93,-889.25,-106.5,31.551,-1027.348,20,290317.73992496694,5.0,Mesh,True,True,True,219.30132613598118,1.0,103882.64690259748
zoneDESERT/cellDesert_ScorchedPlainsNorthEast/Sector/Cliffs/cliffDesert22,20,8,12,3141.2487488773545,185.12388541730644,201.885,1024.596,631.711,104.14,1028.212,542.754,20,230445.62571515597,4.0,Mesh,True,True,True,132.21387343996847,1.0,103237.19023945727
zoneVALLEY/cellValley_RaceTrack2/Sector/Mountains/mtnBluffQuar01/mountaintop,15,8,12,3091.209788475276,265.571731968973,-67.75,40.0,-849.918,-280.74,24.75,-908.52,15,208904.522159424,5.0,Mesh,True,True,True,221.43056926269236,1.0,99130.48227563336
zoneSLIMULATIONS/cellSlimulationQuarry_DonutHole/Sector/Mountains/mtnBluffQuar01/mountaintop,30,8,12,3334.704127649852,181.17827353190012,1152.2,25.28,1043.4,1065.57,37.952,1080.0,30,141384.100797135,5.0,Mesh,True,True,True,94.89413303255377,1.0,96995.0290827406
zoneVALLEY/cellValley_RaceTrack2/Sector/Mountains/mtnBluffQuar01 (2)/mountaintop,15,8,12,2662.7300538077266,284.0607883974837,-111.5,40.0,-812.0,-284.5,37.461,-1014.0,15,338403.440332944,5.0,Mesh,True,True,True,265.9688826178732,1.0,96333.5161932009
zoneVALLEY/cellValley_RaceTrack1/Sector/Mountains/mtnSpireQuar04/mountaintop,20,8,12,2081.355720620557,170.02785136853313,-702.5,63.361,-878.119,-646.29,50.821,-977.17,20,617802.277983202,5.0,Mesh,True,True,True,114.57711944799446,1.0,87528.62822766011
zoneMOCHI/cellVALLEY_MochiEstate/Sector/Mountains/mtnSpireQuar03 (6)/mountaintop,10,8,12,2349.0963711438067,261.0107079048674,346.8,52.111,-950.42,198.38,46.082,-735.8,10,350945.4779915945,5.0,Mesh,True,True,True,261.0107079048674,1.0,85763.46423307603
zoneSLIMULATIONS/cellSlimulationQuarry_Onsen/Sector/Mountains/mtnBluffQuar01/mountaintop,30,8,12,3117.386968918416,172.8371305622723,1056.91,23.1,1125.43,1211.07,35.959,1113.48,30,105856.972178424,5.0,Mesh,True,True,True,155.15625021570983,1.0,84345.68454948887
zoneSEA/Sea/seaViewCube,5,8,12,452.9393295505345,369.50879290755717,-4.0,-15.75,210.0,96.973,-15.75,-140.334,5,180000000.0,2.0,Mesh,True,True,True,364.59492355900954,1.0,78695.412983513
