FrameIndex,ObjectName,"WorldPosition (x,y,z)",RotationEuler,RendererSize,ColliderSize
10,cratePinkParty(Clone),"[-189.139,7.480,765.642]","[0.000,31.866,0.000]","[1.352,1.004,1.372]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[-352.620,8.686,820.610]","[0.000,352.593,0.000]","[1.081,1.004,1.135]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[-838.831,24.756,900.690]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[-823.893,22.116,882.440]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[-852.572,31.066,765.517]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[-986.672,16.596,991.820]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[-218.724,-2.762,-157.948]","[0.000,45.854,0.000]","[1.399,1.004,1.397]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[241.910,16.526,54.427]","[0.000,41.928,0.000]","[1.394,1.004,1.399]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[-232.555,1.296,53.172]","[0.000,326.374,0.000]","[1.362,1.004,1.379]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[-190.034,-0.264,-144.491]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[-273.520,9.190,229.010]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[150.165,7.336,831.217]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[87.032,25.156,873.227]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[-29.609,19.976,716.235]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[36.335,23.245,827.789]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[341.110,12.304,373.200]","[0.000,354.477,0.000]","[1.051,1.004,1.107]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[513.870,2.460,713.740]","[0.000,40.559,0.000]","[1.391,1.004,1.397]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[119.054,18.286,184.794]","[16.872,30.358,337.572]","[1.670,1.534,1.420]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[239.050,-0.024,166.340]","[0.000,45.053,0.000]","[1.398,1.004,1.398]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone),"[116.750,17.406,352.010]","[0.272,58.463,14.032]","[1.479,1.211,1.534]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[-189.139,7.480,765.642]","[0.000,31.866,0.000]","[1.352,1.004,1.372]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[-352.620,8.686,820.610]","[0.000,352.593,0.000]","[1.081,1.004,1.135]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[-838.831,24.756,900.690]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[-823.893,22.116,882.440]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[-852.572,31.066,765.517]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[-986.672,16.596,991.820]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[-218.724,-2.762,-157.948]","[0.000,45.854,0.000]","[1.399,1.004,1.397]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[241.910,16.526,54.427]","[0.000,41.928,0.000]","[1.394,1.004,1.399]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[-232.555,1.296,53.172]","[0.000,326.374,0.000]","[1.362,1.004,1.379]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[-190.034,-0.264,-144.491]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[-273.520,9.190,229.010]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[150.165,7.336,831.217]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[87.032,25.156,873.227]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[-29.609,19.976,716.235]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[36.335,23.245,827.789]","[0.000,0.000,0.000]","[0.957,1.004,1.020]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[341.110,12.304,373.200]","[0.000,354.477,0.000]","[1.051,1.004,1.107]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[513.870,2.460,713.740]","[0.000,40.559,0.000]","[1.391,1.004,1.397]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[119.054,18.286,184.794]","[16.872,30.358,337.572]","[1.670,1.534,1.420]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[239.050,-0.024,166.340]","[0.000,45.053,0.000]","[1.398,1.004,1.398]","[0.000,0.000,0.000]"
12,cratePinkParty(Clone),"[116.750,17.406,352.010]","[0.272,58.463,14.032]","[1.479,1.211,1.534]","[0.000,0.000,0.000]"
10,cratePinkParty(Clone)/partyBoxRibbon,"[-189.139,7.480,765.642]","[0.000,31.866,0.000]","[1.390,1.178,1.398]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[-352.620,8.686,820.610]","[0.000,352.593,0.000]","[1.124,1.178,1.145]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[-838.831,24.756,900.690]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[-823.893,22.116,882.440]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[-852.572,31.066,765.517]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[-986.672,16.596,991.820]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[-218.724,-2.762,-157.948]","[0.000,45.854,0.000]","[1.432,1.178,1.431]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[241.910,16.526,54.427]","[0.000,41.928,0.000]","[1.429,1.178,1.430]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[-232.555,1.296,53.172]","[0.000,326.374,0.000]","[1.400,1.178,1.407]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[-190.034,-0.264,-144.491]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[-273.520,9.190,229.010]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[150.165,7.336,831.217]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[87.032,25.156,873.227]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[-29.609,19.976,716.235]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[36.335,23.245,827.789]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[341.110,12.304,373.200]","[0.000,354.477,0.000]","[1.094,1.178,1.116]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[513.870,2.460,713.740]","[0.000,40.559,0.000]","[1.426,1.178,1.429]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[119.054,18.286,184.794]","[16.872,30.358,337.572]","[1.785,1.704,1.454]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[239.050,-0.024,166.340]","[0.000,45.053,0.000]","[1.432,1.178,1.432]",[]
10,cratePinkParty(Clone)/partyBoxRibbon,"[116.750,17.406,352.010]","[0.272,58.463,14.032]","[1.526,1.390,1.609]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[-189.139,7.480,765.642]","[0.000,31.866,0.000]","[1.390,1.178,1.398]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[-352.620,8.686,820.610]","[0.000,352.593,0.000]","[1.124,1.178,1.145]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[-838.831,24.756,900.690]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[-823.893,22.116,882.440]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[-852.572,31.066,765.517]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[-986.672,16.596,991.820]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[-218.724,-2.762,-157.948]","[0.000,45.854,0.000]","[1.432,1.178,1.431]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[241.910,16.526,54.427]","[0.000,41.928,0.000]","[1.429,1.178,1.430]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[-232.555,1.296,53.172]","[0.000,326.374,0.000]","[1.400,1.178,1.407]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[-190.034,-0.264,-144.491]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[-273.520,9.190,229.010]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[150.165,7.336,831.217]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[87.032,25.156,873.227]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[-29.609,19.976,716.235]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[36.335,23.245,827.789]","[0.000,0.000,0.000]","[1.001,1.178,1.024]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[341.110,12.304,373.200]","[0.000,354.477,0.000]","[1.094,1.178,1.116]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[513.870,2.460,713.740]","[0.000,40.559,0.000]","[1.426,1.178,1.429]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[119.054,18.286,184.794]","[16.872,30.358,337.572]","[1.785,1.704,1.454]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[239.050,-0.024,166.340]","[0.000,45.053,0.000]","[1.432,1.178,1.432]",[]
12,cratePinkParty(Clone)/partyBoxRibbon,"[116.750,17.406,352.010]","[0.272,58.463,14.032]","[1.526,1.390,1.609]",[]
10,fruitKookadoba(Clone)/Aura,"[-939.791,3.027,775.096]","[359.154,185.428,176.063]","[0.293,0.344,0.279]",[]
10,fruitKookadoba(Clone)/Aura,"[-905.032,14.550,830.968]","[355.003,179.279,192.326]","[0.316,0.390,0.279]",[]
10,fruitKookadoba(Clone)/Aura,"[-955.370,1.546,879.530]","[0.000,142.157,180.000]","[0.350,0.324,0.350]",[]
10,fruitKookadoba(Clone)/Aura,"[-997.031,18.901,714.366]","[0.000,58.938,180.000]","[0.343,0.324,0.343]",[]
10,fruitKookadoba(Clone)/Aura,"[-832.720,24.870,904.260]","[0.000,92.949,180.000]","[0.262,0.324,0.262]",[]
10,fruitKookadoba(Clone)/Aura,"[-867.123,32.218,868.812]","[315.000,27.408,270.000]","[0.450,0.353,0.463]",[]
10,fruitKookadoba(Clone)/Aura,"[-1007.155,9.635,706.893]","[15.000,297.665,270.000]","[0.421,0.306,0.429]",[]
10,fruitKookadoba(Clone)/Aura,"[-854.687,9.798,601.592]","[0.000,153.277,180.000]","[0.335,0.324,0.335]",[]
10,fruitKookadoba(Clone)/Aura,"[-938.271,29.218,670.277]","[324.661,205.829,68.788]","[0.413,0.430,0.414]",[]
10,fruitKookadoba(Clone)/Aura,"[-955.568,5.977,830.099]","[345.000,180.000,179.002]","[0.255,0.381,0.326]",[]
10,fruitKookadoba(Clone)/Aura,"[-896.885,4.910,738.650]","[280.797,226.281,90.001]","[0.435,0.292,0.436]",[]
10,fruitKookadoba(Clone)/Aura,"[-994.000,10.343,816.207]","[341.441,182.961,188.796]","[0.313,0.419,0.360]",[]
10,fruitKookadoba(Clone)/Aura,"[-830.336,-3.033,654.394]","[0.000,180.000,180.000]","[0.250,0.324,0.250]",[]
10,fruitKookadoba(Clone)/Aura,"[-993.803,18.901,715.876]","[0.000,97.353,180.000]","[0.280,0.324,0.280]",[]
10,fruitKookadoba(Clone)/Aura,"[-852.455,-3.032,652.363]","[0.000,316.262,180.000]","[0.353,0.324,0.353]",[]
10,fruitKookadoba(Clone)/Aura,"[-904.323,2.480,848.634]","[0.000,180.000,180.000]","[0.250,0.324,0.250]",[]
10,fruitKookadoba(Clone)/Aura,"[-992.054,3.560,846.347]","[0.000,165.000,180.000]","[0.306,0.324,0.306]",[]
10,fruitKookadoba(Clone)/Aura,"[-912.528,3.388,680.167]","[341.859,116.127,181.261]","[0.412,0.391,0.379]",[]
10,fruitKookadoba(Clone)/Aura,"[-864.594,2.464,762.374]","[0.000,164.945,180.000]","[0.306,0.324,0.306]",[]
10,fruitKookadoba(Clone)/Aura,"[-941.450,23.830,870.190]","[0.000,103.500,180.000]","[0.301,0.324,0.301]",[]
10,fruitKookadoba(Clone)/Aura,"[-885.980,-1.911,617.460]","[0.000,254.069,180.000]","[0.309,0.324,0.309]",[]
10,fruitKookadoba(Clone)/Aura,"[-913.722,14.227,850.471]","[0.000,172.338,270.000]","[1.073,0.757,0.881]",[]
10,fruitKookadoba(Clone)/Aura,"[-944.700,6.435,662.542]","[358.232,141.968,197.340]","[1.252,1.185,1.238]",[]
10,fruitKookadoba(Clone)/Aura,"[-848.020,22.267,834.410]","[0.000,257.079,180.000]","[0.299,0.324,0.299]",[]
10,fruitKookadoba(Clone)/Aura,"[-849.897,31.336,781.827]","[0.000,95.638,180.000]","[0.273,0.324,0.273]",[]
